observation_date,NASDAQCOM
2011-09-30,2415.39990234375
2011-10-03,2335.830078125
2011-10-04,2404.820068359375
2011-10-05,2460.510009765625
2011-10-06,2506.820068359375
2011-10-07,2479.35009765625
2011-10-10,2566.050048828125
2011-10-11,2583.030029296875
2011-10-12,2604.72998046875
2011-10-13,2620.239990234375
2011-10-14,2667.85009765625
2011-10-17,2614.919921875
2011-10-18,2657.429931640625
2011-10-19,2604.0400390625
2011-10-20,2598.6201171875
2011-10-21,2637.4599609375
2011-10-24,2699.43994140625
2011-10-25,2638.419921875
2011-10-26,2650.669921875
2011-10-27,2738.6298828125
2011-10-28,2737.14990234375
2011-10-31,2684.409912109375
2011-11-01,2606.9599609375
2011-11-02,2639.97998046875
2011-11-03,2697.969970703125
2011-11-04,2686.14990234375
2011-11-07,2695.25
2011-11-08,2727.489990234375
2011-11-09,2621.64990234375
2011-11-10,2625.14990234375
2011-11-11,2678.75
2011-11-14,2657.219970703125
2011-11-15,2686.199951171875
2011-11-16,2639.610107421875
2011-11-17,2587.989990234375
2011-11-18,2572.5
2011-11-21,2523.139892578125
2011-11-22,2521.280029296875
2011-11-23,2460.080078125
2011-11-25,2441.510009765625
2011-11-28,2527.340087890625
2011-11-29,2515.510009765625
2011-11-30,2620.340087890625
2011-12-01,2626.199951171875
2011-12-02,2626.929931640625
2011-12-05,2655.760009765625
2011-12-06,2649.56005859375
2011-12-07,2649.2099609375
2011-12-08,2596.3798828125
2011-12-09,2646.85009765625
2011-12-12,2612.260009765625
2011-12-13,2579.27001953125
2011-12-14,2539.31005859375
2011-12-15,2541.010009765625
2011-12-16,2555.330078125
2011-12-19,2523.139892578125
2011-12-20,2603.72998046875
2011-12-21,2577.969970703125
2011-12-22,2599.449951171875
2011-12-23,2618.639892578125
2011-12-27,2625.199951171875
2011-12-28,2589.97998046875
2011-12-29,2613.739990234375
2011-12-30,2605.14990234375
2012-01-03,2648.719970703125
2012-01-04,2648.360107421875
2012-01-05,2669.860107421875
2012-01-06,2674.219970703125
2012-01-09,2676.56005859375
2012-01-10,2702.5
2012-01-11,2710.760009765625
2012-01-12,2724.699951171875
2012-01-13,2710.669921875
2012-01-17,2728.080078125
2012-01-18,2769.7099609375
2012-01-19,2788.330078125
2012-01-20,2786.699951171875
2012-01-23,2784.169921875
2012-01-24,2786.639892578125
2012-01-25,2818.31005859375
2012-01-26,2805.280029296875
2012-01-27,2816.550048828125
2012-01-30,2811.93994140625
2012-01-31,2813.840087890625
2012-02-01,2848.27001953125
2012-02-02,2859.679931640625
2012-02-03,2905.659912109375
2012-02-06,2901.989990234375
2012-02-07,2904.080078125
2012-02-08,2915.860107421875
2012-02-09,2927.22998046875
2012-02-10,2903.8798828125
2012-02-13,2931.389892578125
2012-02-14,2931.830078125
2012-02-15,2915.830078125
2012-02-16,2959.85009765625
2012-02-17,2951.780029296875
2012-02-21,2948.570068359375
2012-02-22,2933.169921875
2012-02-23,2956.97998046875
2012-02-24,2963.75
