date,var_5pcts,var_1pcts
2015-05-26,-1.103403920973242,-1.8213842278696941
2015-05-27,-1.2447985751034751,-2.0989218000898973
2015-05-28,-1.382169312282966,-2.2725798810337703
2015-05-29,-1.2776366217380313,-2.1829062378809416
2015-06-01,-1.3025386266124699,-2.2728662959442785
2015-06-02,-1.2322140469135128,-2.033237248698664
2015-06-03,-1.1617548457222677,-1.8474098093599638
2015-06-04,-1.134509173658271,-1.9046413319773055
2015-06-05,-1.2435873679376548,-1.998012994862797
2015-06-08,-1.1555514642402327,-1.8975162396979766
2015-06-09,-1.2273363463368896,-2.043597139773103
2015-06-10,-1.132196729694555,-1.8784876003207798
2015-06-11,-1.3550412231926128,-2.313220339017759
2015-06-12,-1.2206238067442028,-2.015820961017666
2015-06-15,-1.2714288415534607,-2.1253142957885274
2015-06-16,-1.2388675386166792,-2.019091027264514
2015-06-17,-1.2005225076001036,-2.0616932256200666
2015-06-18,-1.1577571574010088,-1.9499844206357224
2015-06-19,-1.3262888826148267,-2.2344743057923195
2015-06-22,-1.256439477135533,-2.078762523513129
2015-06-23,-1.2568666245216067,-2.259383629933961
2015-06-24,-1.2185351915426341,-2.0827842863355515
2015-06-25,-1.2553190374801841,-2.0997924675559667
2015-06-26,-1.2393612099672227,-2.054602404699948
2015-06-29,-1.2012271238300503,-2.075934498266533
2015-06-30,-1.7104620898011487,-2.7894077239122677
2015-07-01,-1.582706039322152,-2.556067645964114
2015-07-02,-1.5757293124093403,-2.545661318033997
2015-07-06,-1.4059229732723146,-2.2920447878443624
2015-07-07,-1.392443784857683,-2.344750289639719
2015-07-08,-1.3347144746198705,-2.2440420626414137
2015-07-09,-1.6203182078892586,-2.5617463332810577
2015-07-10,-1.4920919039186618,-2.5152674946324587
2015-07-13,-1.6647668783505576,-2.6910379024024627
2015-07-14,-1.737176578456849,-2.751396571851952
2015-07-15,-1.6516799188899054,-2.650071566908991
2015-07-16,-1.5444161078265177,-2.566809880049297
2015-07-17,-1.6037142076778315,-2.5739504964768356
2015-07-20,-1.5275883131774675,-2.447853277806169
2015-07-21,-1.4177187991658893,-2.342321049019535
2015-07-22,-1.3902770173591323,-2.326052894634521
2015-07-23,-1.2907834474642599,-2.177377311836306
2015-07-24,-1.3105718326760787,-2.2458362624924306
2015-07-27,-1.4931406075937896,-2.523316108624926
2015-07-28,-1.4775613488965107,-2.582492091590894
2015-07-29,-1.6103330633619928,-2.5702637641593533
2015-07-30,-1.5547532581235042,-2.558341854427683
2015-07-31,-1.4184164550458647,-2.3424754901620473
2015-08-03,-1.322068300305771,-2.407069963127597
2015-08-04,-1.2670888914447096,-2.1508460582308118
2015-08-05,-1.196668858768059,-1.999947207131335
2015-08-06,-1.1970645851499944,-2.0368001097852457
2015-08-07,-1.3607448223737741,-2.2604032076957954
2015-08-10,-1.2954240163950996,-2.2061927917807296
2015-08-11,-1.4540099165277334,-2.4353726258704516
2015-08-12,-1.612275175416904,-2.6243913201795603
2015-08-13,-1.4376452899405672,-2.3904468681932105
2015-08-14,-1.3193926576715411,-2.3244240244314063
2015-08-17,-1.2938688698932166,-2.2200844750528215
2015-08-18,-1.2995498995193355,-2.161462319333503
2015-08-19,-1.2472547780781074,-2.108345446044346
2015-08-20,-1.2916833714913467,-2.235148028567623
2015-08-21,-1.801883163217851,-2.825590915694144
2015-08-24,-2.0333020521881306,-3.337883922215659
2015-08-25,-2.8463551846599304,-4.563517967449203
2015-08-26,-2.807035963814516,-4.514087106955811
2015-08-27,-3.1641468787610023,-4.853886356122732
2015-08-28,-3.089586314364612,-4.7607126275336435
2015-08-31,-2.8705546280054435,-4.61364916931014
2015-09-01,-2.8761381914433133,-4.549147442212646
2015-09-02,-3.0884242273872045,-4.911302870663824
2015-09-03,-3.109119687475467,-4.85721692324048
2015-09-04,-2.982109891395519,-4.571949341643002
2015-09-08,-2.8006433845075467,-4.589669884467028
2015-09-09,-3.0824720564778127,-4.797659967149799
2015-09-10,-2.975456157048011,-4.751787555054081
2015-09-11,-2.8610575917296597,-4.537203078051643
2015-09-14,-2.645640150744885,-4.213737824221356
2015-09-15,-2.346548193637022,-4.006944177387668
2015-09-16,-2.5023343805464253,-4.29434035696188
2015-09-17,-2.3671368083212934,-3.9445277367805534
2015-09-18,-2.2051537785909208,-3.6692520972609124
2015-09-21,-2.3034026543372117,-3.793390277089894
2015-09-22,-2.148884741514919,-3.76816313206989
2015-09-23,-2.3159553721914743,-3.859202956037701
2015-09-24,-2.1412671879151253,-3.555673772133934
2015-09-25,-2.0313673625981754,-3.3439881000901384
2015-09-28,-2.0057826496517213,-3.2742737763080374
2015-09-29,-2.56700229900198,-4.06112225305474
2015-09-30,-2.248549631769618,-3.7772790918223875
2015-10-01,-2.518306712418971,-4.229029076916813
2015-10-02,-2.4050116602949156,-3.8473072590138218
2015-10-05,-2.4608886383353217,-4.091992966357112
2015-10-06,-2.6553200041088214,-4.2058189892947135
2015-10-07,-2.3997009962053886,-4.071585299459402
2015-10-08,-2.253626502906547,-3.792967474524022
2015-10-09,-2.248439424342084,-3.843976364860348
2015-10-12,-2.043305557215437,-3.4168059811651768
