date,Historical,RiskMetrics,Covariance,CCC-GARCH,Student-Copula-GARCH,Student-Copula-MSM
2014-08-26,-1.7291612678357058,-0.9915290534659372,-1.7027157611624808,-0.9979593392721264,-0.9979715799567511,-1.0341860916156054
2014-08-27,-1.7291612678357058,-0.9646315749246185,-1.7002920392289211,-0.966843666506277,-0.9668982042595161,-1.0079473316165475
2014-08-28,-1.7291612678357058,-0.9352515201717863,-1.7005863390412164,-0.9384207247018306,-0.9384686908706422,-0.9830121269846553
2014-08-29,-1.7291612678357058,-0.910894541559893,-1.7006745434435255,-0.9255644496059066,-0.9256033802283337,-0.9772995746208002
2014-09-02,-1.7291612678357058,-0.8986649070167908,-1.700530709795822,-0.9172506244483245,-0.9172826535978328,-0.9818124353854293
2014-09-03,-1.7291612678357058,-0.8739141396534048,-1.7004978795039984,-0.9010250321856448,-0.9010566699997189,-0.9627706849907779
2014-09-04,-1.7291612678357058,-0.8569505779125666,-1.7010837378876855,-0.9090423497433184,-0.9090761224876337,-0.9759091703928066
2014-09-05,-1.7291612678357058,-0.8343343546826714,-1.7013071531546804,-0.898365844203451,-0.8983991841202377,-0.9498211855554682
2014-09-08,-1.7291612678357058,-0.8313897627978236,-1.701295194619018,-0.9031119206248519,-0.9031442328435416,-0.9685438290628201
2014-09-09,-1.7291612678357058,-0.8063298190928107,-1.7013228391392474,-0.8960834937991351,-0.8961148953500837,-0.9487798619233972
2014-09-10,-1.7291612678357058,-0.8404429146194993,-1.702554812392579,-0.9812578427331904,-0.9812920508294861,-1.0655511858179547
2014-09-11,-1.7291612678357058,-0.8451285294715857,-1.7024402372784564,-0.9826009982478019,-0.9826363600656103,-1.0614695043547668
2014-09-12,-1.7291612678357058,-0.820406657020423,-1.7026802697827241,-0.951331157955801,-0.9513655542434915,-1.001752209938189
2014-09-15,-1.7291612678357058,-0.8271634709767293,-1.7037069210947955,-0.9866533074928114,-0.9866875949522181,-1.052040678213612
2014-09-16,-1.7291612678357058,-0.8343649832409294,-1.7044461640826059,-1.033499552740285,-1.0335512817136248,-1.1030342699553768
2014-09-17,-1.7291612678357058,-0.8629913749918807,-1.7040190940487447,-1.0581410693370323,-1.0581820620575946,-1.1348247512056946
2014-09-18,-1.7291612678357058,-0.8394411132237445,-1.7042122117096903,-1.0189433183145282,-1.0189828997537826,-1.061376760804526
2014-09-19,-1.7291612678357058,-0.8473309711816205,-1.70419967543268,-1.0176161625772475,-1.0176555658373565,-1.074723712569621
2014-09-22,-1.7291612678357058,-0.824454734452391,-1.7044118129741916,-0.9922572567129491,-0.992297112822331,-1.033239202252273
2014-09-23,-1.7291612678357058,-0.8905347500336169,-1.7051524889442775,-1.1081274366573426,-1.108170839290888,-1.1780360871145452
2014-09-24,-1.7291612678357058,-0.886588872519385,-1.706131054831852,-1.1099609099134722,-1.1100004001640025,-1.1591499220442105
2014-09-25,-1.7291612678357058,-0.9334774157039978,-1.7061557985821956,-1.1472585010954464,-1.147299187507023,-1.2332106157156348
2014-09-26,-1.7682407358493757,-1.15867884920699,-1.7092033781802243,-1.480618877054055,-1.480668851762179,-1.581675492881708
2014-09-29,-1.7682407358493757,-1.184611872494198,-1.7087907188671634,-1.4659279554465823,-1.4659774569061947,-1.5662104481870538
2014-09-30,-1.7682407358493757,-1.1512855803652904,-1.7089949875116615,-1.3905990004954154,-1.3906461183055645,-1.4589028454613722
2014-10-01,-1.7682407358493757,-1.1218163279060382,-1.7096098318296864,-1.3280410195706753,-1.3280861864109577,-1.3705472383784278
2014-10-02,-1.7682407358493757,-1.2377928814200174,-1.7125726458759165,-1.502592642243486,-1.5026432272673187,-1.5961888403565094
2014-10-03,-1.7682407358493757,-1.2006554969835086,-1.711960605814415,-1.4152678098325453,-1.4153156896583168,-1.4569874646864893
2014-10-06,-1.7682407358493757,-1.2406716805294566,-1.7120134306572743,-1.4378507700131165,-1.437917313077616,-1.5382409847322513
2014-10-07,-1.7682407358493757,-1.2094038172433494,-1.712663044326445,-1.3732909840067034,-1.373337411067957,-1.449890074986824
2014-10-08,-1.7682407358493757,-1.3283869787742555,-1.7159382332806186,-1.5641233514972497,-1.564156599705875,-1.6485564684526286
2014-10-09,-1.7682407358493757,-1.4795413587170554,-1.7159337991727301,-1.734094334663217,-1.734139316408725,-1.739814252012422
2014-10-10,-1.7743936397881699,-1.6580982821922534,-1.720978047175738,-1.9922775110814641,-1.9923393092028605,-1.841132086889459
2014-10-13,-1.7743936397881699,-1.7563251353878735,-1.7250421564476124,-2.1100635700033634,-2.1101334879087297,-1.9164299869435049
2014-10-14,-1.7743936397881699,-1.8161484197040434,-1.7283090574815827,-2.1621570496039175,-2.162249476813003,-1.9730805610360005
2014-10-15,-1.7743936397881699,-1.7634508311537438,-1.7282834185206015,-2.0146992838012614,-2.0147798416303804,-1.7772012301740452
2014-10-16,-1.7743936397881699,-1.7238763309654768,-1.7290500270008096,-1.9176947518459941,-1.9177362541773428,-1.6992015355691306
2014-10-17,-1.7743936397881699,-1.6714092193591938,-1.729217799333745,-1.790470663771143,-1.7905541282051058,-1.5540085301454303
2014-10-20,-1.7743936397881699,-1.6826256860086752,-1.7260841090467243,-1.7717126101383267,-1.7717609378991344,-1.6241164592760111
2014-10-21,-1.7743936397881699,-1.693399565429894,-1.7260424004927097,-1.7483380579184666,-1.748372716341413,-1.6695339200673855
2014-10-22,-1.7743936397881699,-1.8569061093271075,-1.727456297846906,-1.9736020505745773,-1.9736856796964863,-1.8731614000590633
2014-10-23,-1.7743936397881699,-1.8277302349535993,-1.7286375984951845,-1.8985740311285144,-1.8986511001516024,-1.7839232129153246
2014-10-24,-1.7743936397881699,-1.8600263462268556,-1.7289082815269416,-1.9071118678985381,-1.9071752254981575,-1.833143273455201
2014-10-27,-1.7743936397881699,-1.825130789749178,-1.7288973824392089,-1.8115365013485412,-1.811596823324088,-1.7397055995506652
2014-10-28,-1.7743936397881699,-1.7696469109152742,-1.7285231774755256,-1.6965946904223983,-1.6966513870860986,-1.6155453318391606
