,Copula-MSM student
2014-04-29,-1.4401606188789733
2014-04-30,-1.4029957193719749
2014-05-01,-1.3109196663887936
2014-05-02,-1.2151539813654986
2014-05-05,-1.1579762516779772
2014-05-06,-1.1058680698743077
2014-05-07,-1.3148424688104432
2014-05-08,-1.2788102187562316
2014-05-09,-1.2129821910944978
2014-05-12,-1.149430775573597
2014-05-13,-1.3692951569640817
2014-05-14,-1.2930584303599215
2014-05-15,-1.2935966394718352
2014-05-16,-1.3529147604628105
2014-05-19,-1.292852846109869
2014-05-20,-1.2649141292508177
2014-05-21,-1.2884754786070456
2014-05-22,-1.3181825155370281
2014-05-23,-1.2471452556032383
2014-05-27,-1.2290939205573994
2014-05-28,-1.285061732675234
2014-05-29,-1.2179303934356096
2014-05-30,-1.1919858649254285
2014-06-02,-1.1370808590382242
2014-06-03,-1.0858132097555155
2014-06-04,-1.03609937940069
2014-06-05,-0.9963009601599482
2014-06-06,-1.0956591787861525
2014-06-09,-1.080771640583432
2014-06-10,-1.0337858183479078
2014-06-11,-0.9834263899113478
2014-06-12,-0.9617255890263813
2014-06-13,-1.0582225650315535
2014-06-16,-1.0073363647768907
2014-06-17,-0.9594545605873072
2014-06-18,-1.0249740185942147
2014-06-19,-1.0714591503930082
2014-06-20,-1.0294385103478116
2014-06-23,-1.012070630852515
2014-06-24,-0.8392692628038246
2014-06-25,-1.0339675160921313
2014-06-26,-1.051634463061605
2014-06-27,-0.8663861413172463
2014-06-30,-0.8472704611389349
2014-07-01,-0.8143156395194789
2014-07-02,-1.0836342381204245
2014-07-03,-1.0171828637270723
2014-07-07,-1.0465441658975894
2014-07-08,-0.9904146981120328
2014-07-09,-1.2413778776554016
2014-07-10,-1.1990959459816768
2014-07-11,-1.183013957294211
2014-07-14,-1.1201640432991389
2014-07-15,-1.1135092481523265
2014-07-16,-1.0514549843868441
2014-07-17,-1.064805517004528
2014-07-18,-1.2472672527405408
2014-07-21,-1.4468393640659682
2014-07-22,-1.2877247522316981
2014-07-23,-1.2950633136802847
2014-07-24,-1.1667794476343742
2014-07-25,-1.08618948745179
2014-07-28,-1.088891597347738
2014-07-29,-1.0155090519512413
2014-07-30,-1.0507061799334465
2014-07-31,-1.022801846887038
2014-08-01,-1.535565337872573
2014-08-04,-1.4310302110657702
2014-08-05,-1.4114980799261359
2014-08-06,-1.4551576854538
2014-08-07,-1.332929961035686
2014-08-08,-1.3111841496117087
2014-08-11,-1.3649478936047237
2014-08-12,-1.2997291089542786
2014-08-13,-1.2110877672952367
2014-08-14,-1.24774379054705
2014-08-15,-1.1702270501329002
2014-08-18,-1.103605548518164
2014-08-19,-1.1560844197127067
2014-08-20,-1.1761931510608
2014-08-21,-1.060174545456647
2014-08-22,-1.0137617888382109
2014-08-25,-0.9844453839291419
2014-08-26,-0.9809105904429135
2014-08-27,-0.9583590429289477
2014-08-28,-0.9346776187978483
2014-08-29,-0.93148955626277
2014-09-02,-0.7886740587604575
2014-09-03,-0.9467245442369652
2014-09-04,-0.9601213027877283
2014-09-05,-0.8029085593907285
2014-09-08,-0.9584226855610142
2014-09-09,-0.8111040636164643
2014-09-10,-1.0617896418608948
2014-09-11,-0.948730035950854
2014-09-12,-0.9936915363634227
2014-09-15,-0.9403156742403619
2014-09-16,-1.0948248145970645
2014-09-17,-1.1329904578474566
2014-09-18,-1.060760413019324
2014-09-19,-1.0709594742235613
2014-09-22,-1.0264894251127175
2014-09-23,-1.1823073576852698
2014-09-24,-1.1613549957668832
2014-09-25,-1.225794464295094
2014-09-26,-1.6372402927865346
2014-09-29,-1.609594671182498
2014-09-30,-1.5066969507343917
2014-10-01,-1.4137059492988646
2014-10-02,-1.592461370407535
2014-10-03,-1.4858295206170564
2014-10-06,-1.5221053100655206
2014-10-07,-1.4398361666739496
2014-10-08,-1.6182883515727835
2014-10-09,-1.752880653528927
2014-10-10,-1.9001411341626433
2014-10-13,-2.0042785888164536
2014-10-14,-2.0402267018485163
2014-10-15,-1.8764445524395514
2014-10-16,-1.693910938619476
2014-10-17,-1.6033282623778502
2014-10-20,-1.6374507110390935
2014-10-21,-1.7118357979902785
2014-10-22,-1.9427490766240143
2014-10-23,-1.8434221308901158
2014-10-24,-1.8717627546219595
2014-10-27,-1.784594944113279
2014-10-28,-1.6102247168735493
2014-10-29,-1.7529044842921366
2014-10-30,-1.6413709784031913
2014-10-31,-1.580904794863182
2014-11-03,-1.6918494488077847
2014-11-04,-1.5622982142177728
2014-11-05,-1.451264800097644
2014-11-06,-1.3564768072107303
2014-11-07,-1.3384822875028914
2014-11-10,-1.2129232851718954
2014-11-11,-1.133148323289745
2014-11-12,-1.0688239475195327
2014-11-13,-1.0372832778174754
2014-11-14,-1.0061848588492188
2014-11-17,-0.8411626582323508
2014-11-18,-0.790038118204621
2014-11-19,-1.014225830966647
2014-11-20,-0.9123885654927835
2014-11-21,-0.9416606588232915
2014-11-24,-1.008314054720844
2014-11-25,-1.0346649750669497
2014-11-26,-0.9994095581286931
2014-11-28,-1.0046519855067275
2014-12-01,-0.8352905588634433
2014-12-02,-1.1447819138040798
2014-12-03,-1.1226901273480978
2014-12-04,-1.0305594110096437
2014-12-05,-1.0180593330026442
2014-12-08,-0.9837797568751923
2014-12-09,-1.0875182246379205
2014-12-10,-1.0365260386650705
2014-12-11,-1.4291936232518487
2014-12-12,-1.3024478867803182
2014-12-15,-1.566673986157702
2014-12-16,-1.5744455809218767
2014-12-17,-1.64292384817455
2014-12-18,-1.7916157464496707
2014-12-19,-1.8172253863315893
2014-12-22,-1.7253711377664254
2014-12-23,-1.6374319901075536
2014-12-24,-1.534959712211843
2014-12-26,-1.3598209766563931
2014-12-29,-1.3418124475590085
2014-12-30,-1.211047557327071
2014-12-31,-1.2247063570674654
2015-01-02,-1.3259785568105231
2015-01-05,-1.2280488134480658
2015-01-06,-1.6254063475492966
2015-01-07,-1.6551162913042232
2015-01-08,-1.6810501043849344
2015-01-09,-1.7549219662588527
2015-01-12,-1.7189214487551217
2015-01-13,-1.6997508937231973
2015-01-14,-1.5996526478844477
2015-01-15,-1.516218493857172
2015-01-16,-1.6805730535662755
2015-01-20,-1.7262989584795245
2015-01-21,-1.6004824445614105
2015-01-22,-1.5234986599076423
2015-01-23,-1.7125298783996061
2015-01-26,-1.5993254460451274
2015-01-27,-1.4961496114633221
2015-01-28,-1.7218996918278293
2015-01-29,-1.725816785112209
2015-01-30,-1.6770491961086205
2015-02-02,-1.699958183657114
2015-02-03,-1.6865397759664078
2015-02-04,-1.7024346548782165
2015-02-05,-1.6218088527851382
2015-02-06,-1.6437103346345483
2015-02-09,-1.5789873406439887
2015-02-10,-1.4626834661732133
2015-02-11,-1.6123494976974433
2015-02-12,-1.5007607769158433
2015-02-13,-1.576343318766942
2015-02-17,-1.5037554725832836
2015-02-18,-1.3653594874732082
2015-02-19,-1.2179632321536262
2015-02-20,-1.1105921019179474
2015-02-23,-1.1020824162283522
2015-02-24,-1.0206449852311705
2015-02-25,-0.9675314262724333
2015-02-26,-0.933512646104445
2015-02-27,-0.9172987913003879
2015-03-02,-0.9324633431182184
2015-03-03,-0.9877323442450088
2015-03-04,-0.9982290456634908
2015-03-05,-0.9323909915278433
2015-03-06,-0.8941625649241948
2015-03-09,-1.3309654665096515
2015-03-10,-1.2434017736711707
2015-03-11,-1.5348759176452353
2015-03-12,-1.426622663301594
2015-03-13,-1.473954096264887
2015-03-16,-1.4290485802766737
2015-03-17,-1.5190444779868044
2015-03-18,-1.4198262452668218
2015-03-19,-1.4733696178949254
2015-03-20,-1.3903597863581796
2015-03-23,-1.3667670536419751
2015-03-24,-1.3186257900281353
2015-03-25,-1.293039165086157
2015-03-26,-1.661151909104613
2015-03-27,-1.552566686165661
2015-03-30,-1.4708424337883919
2015-03-31,-1.5733275960638735
2015-04-01,-1.598184962145985
2015-04-02,-1.5293411930874568
2015-04-06,-1.4206442090758689
2015-04-07,-1.3571822269098797
2015-04-08,-1.2760272168822486
2015-04-09,-1.2170537773651033
2015-04-10,-1.0763937019295113
2015-04-13,-1.0243899301272976
2015-04-14,-1.0020959155429985
2015-04-15,-0.9403479363498451
2015-04-16,-0.9418946124680324
2015-04-17,-0.9039360730365248
2015-04-20,-1.3722580948777872
2015-04-21,-1.4901704185352584
2015-04-22,-1.362944054555053
2015-04-23,-1.1932776032793568
2015-04-24,-1.0960878740652888
2015-04-27,-1.0568158514123824
2015-04-28,-1.0612709201283963
2015-04-29,-0.9997038664615138
2015-04-30,-1.0191773144942584
2015-05-01,-1.3104753236103868
2015-05-04,-1.5281458149604994
2015-05-05,-1.3425539953876786
2015-05-06,-1.5947212257079715
2015-05-07,-1.5514021555220505
2015-05-08,-1.4592702167207763
2015-05-11,-1.5418599944376452
2015-05-12,-1.5171683915276652
2015-05-13,-1.420520068539972
2015-05-14,-1.2712767134951106
2015-05-15,-1.4449174176159223
2015-05-18,-1.3454111084426827
2015-05-19,-1.2537483678368546
2015-05-20,-1.1312449793731658
2015-05-21,-1.0370613466753278
2015-05-22,-0.9893442309763024
2015-05-26,-0.9517371412022064
2015-05-27,-1.1829678884999266
2015-05-28,-1.4150697162345198
2015-05-29,-1.2702935868759968
2015-06-01,-1.2061656679904373
2015-06-02,-1.0958667933170563
2015-06-03,-1.0231451902100202
2015-06-04,-0.9868476145569236
2015-06-05,-1.105231073100162
2015-06-08,-1.0238348635016703
2015-06-09,-1.1043762132354473
2015-06-10,-1.0538461228240974
2015-06-11,-1.2271188823994157
2015-06-12,-1.1293935537835955
2015-06-15,-1.176620710733012
2015-06-16,-1.1337514495525698
2015-06-17,-1.087535543300285
2015-06-18,-1.0287377415157566
2015-06-19,-1.19031447188686
2015-06-22,-1.1496744628708482
2015-06-23,-1.1341395962683305
2015-06-24,-1.0526055762499191
2015-06-25,-1.1224020139718742
2015-06-26,-1.059587910632145
2015-06-29,-1.0445133662050075
2015-06-30,-1.6912097060493352
2015-07-01,-1.5891463860306725
2015-07-02,-1.5350093853029878
2015-07-06,-1.422618703500247
2015-07-07,-1.3290296829842982
2015-07-08,-1.2405132895939923
2015-07-09,-1.6143356294970146
2015-07-10,-1.4902153318560956
2015-07-13,-1.6260386573326813
2015-07-14,-1.6713243662540989
2015-07-15,-1.6037399421765608
2015-07-16,-1.5016005632934788
2015-07-17,-1.537097174028226
2015-07-20,-1.487929194957925
2015-07-21,-1.346967278362359
2015-07-22,-1.2567909767622645
2015-07-23,-1.227901378722774
2015-07-24,-1.212388994631319
2015-07-27,-1.4376175147745074
2015-07-28,-1.4468674185626558
2015-07-29,-1.5599775458292735
2015-07-30,-1.504126102596205
2015-07-31,-1.3473104557368376
2015-08-03,-1.24149759592758
2015-08-04,-1.1577899209494649
2015-08-05,-1.1061159563768674
2015-08-06,-1.0588227670884325
2015-08-07,-1.2557714401548192
2015-08-10,-1.1791947360300277
2015-08-11,-1.4216008785221712
2015-08-12,-1.5465186618398339
2015-08-13,-1.4121899817131
2015-08-14,-1.2764295083727883
2015-08-17,-1.1886273544013854
2015-08-18,-1.1869811005065465
2015-08-19,-1.154931571501416
2015-08-20,-1.2313024454956467
2015-08-21,-1.8098450407882087
2015-08-24,-2.3177820871887254
2015-08-25,-2.8765998195187374
2015-08-26,-2.718498800475953
2015-08-27,-3.1385071850441135
2015-08-28,-3.137923653648602
2015-08-31,-2.898582944184414
2015-09-01,-2.7366439390110453
2015-09-02,-3.022649038422537
2015-09-03,-3.0098557348221235
2015-09-04,-2.8059718098166524
2015-09-08,-2.678867716229713
2015-09-09,-2.9032449126009405
2015-09-10,-2.79996402388771
2015-09-11,-2.629597809976596
2015-09-14,-2.3936750796301656
2015-09-15,-2.174581763632227
2015-09-16,-2.1688066463227447
2015-09-17,-2.038901852375413
2015-09-18,-1.8536214352991152
2015-09-21,-2.0374646164452965
2015-09-22,-1.8823210716701544
2015-09-23,-1.9954118650196933
2015-09-24,-1.8432778298003947
2015-09-25,-1.7289581040019368
2015-09-28,-1.6805871350339616
2015-09-29,-2.357862317761036
2015-09-30,-2.176870855284944
2015-10-01,-2.38722857218201
2015-10-02,-2.1745039536963247
2015-10-05,-2.24316961783967
2015-10-06,-2.3310828065504645
2015-10-07,-2.1670378202303255
2015-10-08,-2.0523551716952766
2015-10-09,-1.9377506340016342
2015-10-12,-1.8045905131938003
