,Copula-GARCH clayton
2015-06-22,-1.1572509665873287
2015-06-23,-1.1421834500053916
2015-06-24,-1.0824001267996013
2015-06-25,-1.1339098072958576
2015-06-26,-1.0926107041393212
2015-06-29,-1.0720138588087105
2015-06-30,-1.6919093526907483
2015-07-01,-1.5726975028106118
2015-07-02,-1.4932336584967891
2015-07-06,-1.3909803860073668
2015-07-07,-1.325423622037268
2015-07-08,-1.2666767508243872
2015-07-09,-1.574315967105295
2015-07-10,-1.46540316619932
2015-07-13,-1.551359812383472
2015-07-14,-1.5962186130439293
2015-07-15,-1.5036818260045652
2015-07-16,-1.4026368138032348
2015-07-17,-1.4147835058798646
2015-07-20,-1.3537273346194212
2015-07-21,-1.271109117250569
2015-07-22,-1.2233692437015453
2015-07-23,-1.1964223376642615
2015-07-24,-1.1872375411945895
2015-07-27,-1.310798115829672
2015-07-28,-1.3180456426993286
2015-07-29,-1.3820342548649298
2015-07-30,-1.3323641333277478
2015-07-31,-1.2513931259364584
2015-08-03,-1.1850265403985079
2015-08-04,-1.1356805118545223
2015-08-05,-1.088002158633369
2015-08-06,-1.0625484258720708
2015-08-07,-1.2518454841805293
2015-08-10,-1.1960080887999627
2015-08-11,-1.318553963643308
2015-08-12,-1.4102780349972108
2015-08-13,-1.315423609200616
2015-08-14,-1.241236059959377
2015-08-17,-1.1810854069095598
2015-08-18,-1.1677297879344033
2015-08-19,-1.143526602550071
2015-08-20,-1.2006530755701632
2015-08-21,-1.8575488684252315
2015-08-24,-2.734395392819
2015-08-25,-3.5830740086437496
2015-08-26,-3.2855379598719683
2015-08-27,-3.8773985907016466
2015-08-28,-3.768530623157984
2015-08-31,-3.358859328573399
2015-09-01,-3.070696100546892
2015-09-02,-3.383198585055161
2015-09-03,-3.2879833977811286
2015-09-04,-2.942592010547278
2015-09-08,-2.793685376246571
2015-09-09,-2.9738278208312923
2015-09-10,-2.804498991883258
2015-09-11,-2.5390259646462026
2015-09-14,-2.2868324945027525
2015-09-15,-2.0756527046184097
2015-09-16,-2.0094880444025764
2015-09-17,-1.8607041552475163
2015-09-18,-1.6890739065407918
2015-09-21,-1.8594102880866705
2015-09-22,-1.694721419359426
2015-09-23,-1.7916622759590528
2015-09-24,-1.640339122972534
2015-09-25,-1.519571179697602
2015-09-28,-1.459644236684272
2015-09-29,-2.2597931894562473
2015-09-30,-2.066083572610615
2015-10-01,-2.246554737140851
2015-10-02,-2.0404578050422613
2015-10-05,-2.0751889194275006
2015-10-06,-2.146081742966969
2015-10-07,-1.9837415584936495
2015-10-08,-1.8681263341086354
2015-10-09,-1.7534151516529415
2015-10-12,-1.6089865438415187
