,Copula-GARCH gumbel
2014-05-02,-1.2370124554775137
2014-05-05,-1.179672800250999
2014-05-06,-1.1297553068490847
2014-05-07,-1.2633125022257305
2014-05-08,-1.2255377104588248
2014-05-09,-1.1816604740804708
2014-05-12,-1.1341311143706316
2014-05-13,-1.2666264725298018
2014-05-14,-1.2143118325057514
2014-05-15,-1.2104735479237834
2014-05-16,-1.2644367988984437
2014-05-19,-1.2151272996910938
2014-05-20,-1.1908359564613202
2014-05-21,-1.2044806327378512
2014-05-22,-1.2106213856907142
2014-05-23,-1.166018442874855
2014-05-27,-1.1419930172698824
2014-05-28,-1.1712491410857346
2014-05-29,-1.1270434454556493
2014-05-30,-1.1020254401606064
2014-06-02,-1.061192140347607
2014-06-03,-1.0205014044995009
2014-06-04,-0.9844730567816414
2014-06-05,-0.954093848753233
2014-06-06,-1.0019046337247406
2014-06-09,-0.9920546792310362
2014-06-10,-0.9589710515697898
2014-06-11,-0.9266584260312503
2014-06-12,-0.920615482840122
2014-06-13,-0.9991037921339483
2014-06-16,-0.9674405573174443
2014-06-17,-0.9344927395691517
2014-06-18,-0.9100030541104491
2014-06-19,-0.9379325895644036
2014-06-20,-0.9092501025607049
2014-06-23,-0.8808268661582693
2014-06-24,-0.8562664000065525
2014-06-25,-0.9018351337494567
2014-06-26,-0.9104891760200129
2014-06-27,-0.8864847554718638
2014-06-30,-0.8676531550786466
2014-07-01,-0.8447082588886413
2014-07-02,-0.9279461458961524
2014-07-03,-0.8960382020418485
2014-07-07,-0.9039341827907923
2014-07-08,-0.9456346932572564
2014-07-09,-1.0909593031137341
2014-07-10,-1.0700276302224605
2014-07-11,-1.0632519138507386
2014-07-14,-1.0218716110697867
2014-07-15,-1.0044812798002722
2014-07-16,-0.9949219806746866
2014-07-17,-0.9656894764631656
2014-07-18,-1.1845775565825587
2014-07-21,-1.2886456316640142
2014-07-22,-1.2282953997525918
2014-07-23,-1.1938090917711128
2014-07-24,-1.1389873631076919
2014-07-25,-1.085880552512861
2014-07-28,-1.0822124864916725
2014-07-29,-1.0377238628765244
2014-07-30,-1.0180014566727307
2014-07-31,-0.9833983265009262
2014-08-01,-1.4698621807458279
2014-08-04,-1.3992188448768033
2014-08-05,-1.3587355630316476
2014-08-06,-1.3751614017025968
2014-08-07,-1.3000099395294293
2014-08-08,-1.271301538773896
2014-08-11,-1.2918062468195357
2014-08-12,-1.2444750011005883
2014-08-13,-1.1929654711854494
2014-08-14,-1.198877353663519
2014-08-15,-1.1538054176013313
2014-08-18,-1.1040269230627546
2014-08-19,-1.132250146680985
2014-08-20,-1.1004237355993496
2014-08-21,-1.0557781317218933
2014-08-22,-1.0159994677596038
2014-08-25,-0.9816038440688242
2014-08-26,-0.9612717006785998
2014-08-27,-0.9264240825916218
2014-08-28,-0.8982701974346359
2014-08-29,-0.8843421526832772
2014-09-02,-0.8722807755792426
2014-09-03,-0.8545892843592574
2014-09-04,-0.8647141497120919
2014-09-05,-0.8528351744124658
2014-09-08,-0.8540501392343709
2014-09-09,-0.844669120125382
2014-09-10,-0.9371106443146725
2014-09-11,-0.9385663828482745
2014-09-12,-0.9065236309417625
2014-09-15,-0.9432751492862995
2014-09-16,-0.9961371238243845
2014-09-17,-1.0189020795479584
2014-09-18,-0.9791126872855521
2014-09-19,-0.9768630038921805
2014-09-22,-0.9509676608018377
2014-09-23,-1.0697255685205502
2014-09-24,-1.0708217248453513
2014-09-25,-1.1081025860270737
2014-09-26,-1.4460101883084342
2014-09-29,-1.430184012230891
2014-09-30,-1.3543181729552165
2014-10-01,-1.2930678353805332
2014-10-02,-1.462740759799977
2014-10-03,-1.3783825621286532
2014-10-06,-1.3991981690173727
2014-10-07,-1.3393925353390186
2014-10-08,-1.5177338838689494
2014-10-09,-1.6825310638432727
2014-10-10,-1.9363390799967999
2014-10-13,-2.061013490767848
2014-10-14,-2.1120111922000553
2014-10-15,-1.971274806793903
2014-10-16,-1.8809612191717981
2014-10-17,-1.7631322729736252
2014-10-20,-1.7456619603097974
2014-10-21,-1.7241880346631706
2014-10-22,-1.928604085021524
2014-10-23,-1.8599878891118513
2014-10-24,-1.8674166014743372
2014-10-27,-1.7810821167896027
2014-10-28,-1.6775535766302547
2014-10-29,-1.7218784797948687
2014-10-30,-1.6292712823822035
2014-10-31,-1.5531086097919697
2014-11-03,-1.5813288483945203
2014-11-04,-1.492939973331404
2014-11-05,-1.4258647188911078
2014-11-06,-1.361659735777734
2014-11-07,-1.3009723079334505
2014-11-10,-1.2370384816089783
2014-11-11,-1.1869156780424277
2014-11-12,-1.1292423195562875
2014-11-13,-1.0811268856371399
2014-11-14,-1.0324221607813753
2014-11-17,-0.9901408013163214
2014-11-18,-0.961626685977522
2014-11-19,-0.9599597213207762
2014-11-20,-0.9542935265310731
2014-11-21,-0.9319981183353088
2014-11-24,-0.918555687229807
2014-11-25,-0.9277758222857934
2014-11-26,-0.8998024050259013
2014-11-28,-0.8902409976088498
2014-12-01,-0.8741508177248122
2014-12-02,-1.0258719982174862
2014-12-03,-1.0235062750246677
2014-12-04,-0.9943054730510861
2014-12-05,-0.9620423578164745
2014-12-08,-0.9275631032958983
2014-12-09,-1.0055189885270437
2014-12-10,-0.9771665439093281
2014-12-11,-1.3260135889441003
2014-12-12,-1.270078371497554
2014-12-15,-1.4484894915407425
2014-12-16,-1.4444342305823024
2014-12-17,-1.4868364928171014
2014-12-18,-1.7495294030397084
2014-12-19,-2.030071776458762
2014-12-22,-1.8827816748815802
2014-12-23,-1.7498099437886234
2014-12-24,-1.6325822754767667
2014-12-26,-1.5201884151496279
2014-12-29,-1.4384402431890349
2014-12-30,-1.3433522144704173
2014-12-31,-1.3034365570162008
2015-01-02,-1.355443098354098
2015-01-05,-1.276158117344929
2015-01-06,-1.5520761026569012
2015-01-07,-1.5824236642369656
2015-01-08,-1.5928119663714433
2015-01-09,-1.7555287479097055
2015-01-12,-1.6930784455944288
2015-01-13,-1.6479535508779142
2015-01-14,-1.5359826203980809
2015-01-15,-1.4700254901543264
2015-01-16,-1.5428887874243957
2015-01-20,-1.5971315696494186
2015-01-21,-1.4881404260622837
2015-01-22,-1.3951693967602543
2015-01-23,-1.5580961942097515
2015-01-26,-1.4697379529803367
2015-01-27,-1.3727675972258042
2015-01-28,-1.5968987310934926
2015-01-29,-1.6453239191226203
2015-01-30,-1.599413235740947
2015-02-02,-1.6458714058281354
2015-02-03,-1.630550407652207
2015-02-04,-1.6512669869459173
2015-02-05,-1.5466902283096862
2015-02-06,-1.5255358039411175
2015-02-09,-1.4400396792640466
2015-02-10,-1.36691661973344
2015-02-11,-1.4091912329654965
2015-02-12,-1.3117995095950883
2015-02-13,-1.3384702713696153
2015-02-17,-1.27669539344307
2015-02-18,-1.193229191513312
2015-02-19,-1.12114907513832
2015-02-20,-1.0649030585303454
2015-02-23,-1.0534914021904704
2015-02-24,-0.9996532604878234
2015-02-25,-0.9551429014039876
2015-02-26,-0.9181649490948722
2015-02-27,-0.8955381282714691
2015-03-02,-0.9069231883317437
2015-03-03,-0.9484830846444214
2015-03-04,-0.9723985726384038
2015-03-05,-0.9682986909510373
2015-03-06,-0.9290550908080022
2015-03-09,-1.1995140223733383
2015-03-10,-1.1343247251189374
2015-03-11,-1.487281943728174
2015-03-12,-1.3805600888677776
2015-03-13,-1.4081403318286747
2015-03-16,-1.3525679853572872
2015-03-17,-1.4280852977509457
2015-03-18,-1.3322193312461152
2015-03-19,-1.3654822888423892
2015-03-20,-1.2889477267469294
2015-03-23,-1.268247892430197
2015-03-24,-1.1969762955063805
2015-03-25,-1.170608660681234
2015-03-26,-1.5953665227119878
2015-03-27,-1.4816780399944207
2015-03-30,-1.382516185109517
2015-03-31,-1.434731899272556
2015-04-01,-1.452506792039667
2015-04-02,-1.3736078889022891
2015-04-06,-1.281796762968348
2015-04-07,-1.238865329541208
2015-04-08,-1.1686678696239334
2015-04-09,-1.1316237528833235
2015-04-10,-1.0879239675952639
2015-04-13,-1.0569672974685462
2015-04-14,-1.035658169069159
2015-04-15,-0.991385530238978
2015-04-16,-0.9902472908012374
2015-04-17,-0.949479456637935
2015-04-20,-1.222703507785076
2015-04-21,-1.2818339321682954
2015-04-22,-1.20436477399453
2015-04-23,-1.1530916702440914
2015-04-24,-1.093826117155466
2015-04-27,-1.0558181017785695
2015-04-28,-1.062143267802588
2015-04-29,-1.0146619062732583
2015-04-30,-1.0248732376262373
2015-05-01,-1.2682726703046643
2015-05-04,-1.3464479279077806
2015-05-05,-1.2564134624650476
2015-05-06,-1.4437852429922646
2015-05-07,-1.3694436558317462
2015-05-08,-1.2895881812743475
2015-05-11,-1.391698067224048
2015-05-12,-1.3219276895427843
2015-05-13,-1.2539793637342849
2015-05-14,-1.172210565856554
2015-05-15,-1.2805905596102065
2015-05-18,-1.1950234662976522
2015-05-19,-1.139990361866556
2015-05-20,-1.079085704176497
2015-05-21,-1.0250977342462424
2015-05-22,-0.9816196009902375
2015-05-26,-0.9491960882173576
2015-05-27,-1.1334594688648347
2015-05-28,-1.237752909197874
2015-05-29,-1.165004086333521
2015-06-01,-1.166591685668646
2015-06-02,-1.0979625373378654
2015-06-03,-1.045778292711318
2015-06-04,-1.0030887267642752
2015-06-05,-1.0959435100733952
2015-06-08,-1.040329026382007
2015-06-09,-1.1009795242960287
2015-06-10,-1.0459851061271164
2015-06-11,-1.1876967902727613
2015-06-12,-1.118768210756501
2015-06-15,-1.1411700689459896
2015-06-16,-1.1185207098523555
2015-06-17,-1.0912992453460917
2015-06-18,-1.0379128283945176
2015-06-19,-1.1565182103194853
2015-06-22,-1.1332322685893934
2015-06-23,-1.1185091288975268
2015-06-24,-1.0598812536581041
2015-06-25,-1.1103500973686742
2015-06-26,-1.0698483663843297
2015-06-29,-1.0497055578565255
2015-06-30,-1.6576375877414014
2015-07-01,-1.5407810021285913
2015-07-02,-1.4628214461731694
2015-07-06,-1.362615284891058
2015-07-07,-1.2983200669519648
2015-07-08,-1.2405618660710027
2015-07-09,-1.5422284754214703
2015-07-10,-1.4353933174796814
2015-07-13,-1.5197558004828018
2015-07-14,-1.5637936735703701
2015-07-15,-1.473193631720535
2015-07-16,-1.3741544879004557
2015-07-17,-1.3861646271001973
2015-07-20,-1.3263181720376584
2015-07-21,-1.2453684342401348
2015-07-22,-1.1984455064806165
2015-07-23,-1.1721312648185849
2015-07-24,-1.162981865190605
2015-07-27,-1.2839626408315095
2015-07-28,-1.2911812333909736
2015-07-29,-1.3536681547282892
2015-07-30,-1.3049287866892998
2015-07-31,-1.2255171476538493
2015-08-03,-1.160449585306975
2015-08-04,-1.112088436527046
2015-08-05,-1.0653909378869082
2015-08-06,-1.0404885758906983
2015-08-07,-1.2266029882243101
2015-08-10,-1.1717776890774978
2015-08-11,-1.291354883397491
2015-08-12,-1.3813226034308828
2015-08-13,-1.2883418425837507
2015-08-14,-1.2155937855301444
2015-08-17,-1.1565717247443688
2015-08-18,-1.1434976045765
2015-08-19,-1.1198126552746492
2015-08-20,-1.1756059252813964
2015-08-21,-1.8198322196899397
2015-08-24,-2.679401538904107
2015-08-25,-3.5116203973313986
2015-08-26,-3.219804884102318
2015-08-27,-3.7999067097337025
2015-08-28,-3.6931131669036183
2015-08-31,-3.2916208627480152
2015-09-01,-3.0091876360549246
2015-09-02,-3.3157827788874146
2015-09-03,-3.2224175086425917
2015-09-04,-2.883772487337111
2015-09-08,-2.7375948178135636
2015-09-09,-2.914324829160259
2015-09-10,-2.748192613309085
2015-09-11,-2.487984130148873
2015-09-14,-2.240743094724143
2015-09-15,-2.033668105952525
2015-09-16,-1.9687457175757956
2015-09-17,-1.8228222125328095
2015-09-18,-1.6545316790065503
2015-09-21,-1.8211391574902398
2015-09-22,-1.660299251496455
2015-09-23,-1.7554291236853705
2015-09-24,-1.6069199784211392
2015-09-25,-1.4885597295728443
2015-09-28,-1.4299710101879233
2015-09-29,-2.2146693284848453
2015-09-30,-2.0247441866761497
2015-10-01,-2.201831056920734
2015-10-02,-1.9997234981355938
2015-10-05,-2.0337854888410125
2015-10-06,-2.103087205612014
2015-10-07,-1.9440297881828994
2015-10-08,-1.8307268749191798
2015-10-09,-1.7180910334266284
2015-10-12,-1.576481893503242
