,Copula-GARCH student
2014-01-29,-1.522944180248187
2014-01-30,-1.5628198622085983
2014-01-31,-1.6320967201941694
2014-02-03,-1.574626649917694
2014-02-04,-2.0139969038711047
2014-02-05,-1.9172135643424937
2014-02-06,-1.8105954210700155
2014-02-07,-1.7938546030643479
2014-02-10,-1.836787171870875
2014-02-11,-1.7269629295884603
2014-02-12,-1.7017807677276093
2014-02-13,-1.5990118404822977
2014-02-14,-1.5436142831281254
2014-02-18,-1.4638852714627228
2014-02-19,-1.3947262708665262
2014-02-20,-1.389517551891637
2014-02-21,-1.3447044588990569
2014-02-24,-1.2822096931903193
2014-02-25,-1.2520144787045984
2014-02-26,-1.1974987725581987
2014-02-27,-1.1436878248442104
2014-02-28,-1.1187391832995568
2014-03-03,-1.079931673008082
2014-03-04,-1.126289073286359
2014-03-05,-1.3431176833897551
2014-03-06,-1.2720903137461979
2014-03-07,-1.2110062891370053
2014-03-10,-1.1631602939381323
2014-03-11,-1.112875189869343
2014-03-12,-1.1235112992359115
2014-03-13,-1.0797995196712853
2014-03-14,-1.2801651773758116
2014-03-17,-1.2355290264739942
2014-03-18,-1.2512760953655369
2014-03-19,-1.277312742896624
2014-03-20,-1.2692452170471178
2014-03-21,-1.2246651259581662
2014-03-24,-1.2365223233372888
2014-03-25,-1.2769159567659978
2014-03-26,-1.222429176481465
2014-03-27,-1.3156810860826933
2014-03-28,-1.2721028029027048
2014-03-31,-1.2202324743147803
2014-04-01,-1.238575769280732
2014-04-02,-1.3082428020495402
2014-04-03,-1.2461145433856902
2014-04-04,-1.2349580856275613
2014-04-07,-1.5942909685341888
2014-04-08,-1.645585512432632
2014-04-09,-1.5665747009884599
2014-04-10,-1.6285353953418054
2014-04-11,-2.132290861346624
2014-04-14,-2.093108990495338
2014-04-15,-1.9782085350558347
2014-04-16,-1.8615045389483487
2014-04-17,-1.8318679574841457
2014-04-21,-1.7125157430724802
2014-04-22,-1.6208701909605479
2014-04-23,-1.5560369087753785
2014-04-24,-1.5029295124881097
2014-04-25,-1.4234112440525821
2014-04-28,-1.5334851119796864
2014-04-29,-1.4484385761072849
2014-04-30,-1.392504927170284
2014-05-01,-1.320227767925403
2014-05-02,-1.252710313329062
2014-05-05,-1.1947079715742337
2014-05-06,-1.1442340584734343
2014-05-07,-1.2793449058714823
2014-05-08,-1.241367270373814
2014-05-09,-1.196894046936721
2014-05-12,-1.1488139448201544
2014-05-13,-1.2827985504290351
2014-05-14,-1.2298452229065548
2014-05-15,-1.2259869173519233
2014-05-16,-1.2808238778693908
2014-05-19,-1.2309036801044333
2014-05-20,-1.2062971098771893
2014-05-21,-1.2202013657843653
2014-05-22,-1.2264609144655667
2014-05-23,-1.1813072920128673
2014-05-27,-1.1569750336913305
2014-05-28,-1.1865184829589972
2014-05-29,-1.1417956412669448
2014-05-30,-1.116527272305358
2014-06-02,-1.0752591416540545
2014-06-03,-1.034081745820967
2014-06-04,-0.9976201163236367
2014-06-05,-0.966897113656512
2014-06-06,-1.0152652454450404
2014-06-09,-1.0053446647512194
2014-06-10,-0.9718425924159289
2014-06-11,-0.9391375292718913
2014-06-12,-0.9330688360559777
2014-06-13,-1.0125564623937309
2014-06-16,-0.9805090646958995
2014-06-17,-0.9471582406515261
2014-06-18,-0.9223286317880471
2014-06-19,-0.9506937807354152
2014-06-20,-0.9216661198421036
2014-06-23,-0.8928901289148747
2014-06-24,-0.8680237659332147
2014-06-25,-0.9142330585044441
2014-06-26,-0.9228745766517691
2014-06-27,-0.8985972379958247
2014-06-30,-0.8795221672026129
2014-07-01,-0.8562792688087816
2014-07-02,-0.9405220585949392
2014-07-03,-0.9082360416420135
2014-07-07,-0.9162438151707951
2014-07-08,-0.9584069113994576
2014-07-09,-1.105316415670982
2014-07-10,-1.0841748070860517
2014-07-11,-1.0773342306740867
2014-07-14,-1.0354444945586647
2014-07-15,-1.017846676791464
2014-07-16,-1.0081328809266352
2014-07-17,-0.9786396431265791
2014-07-18,-1.2002843384429989
2014-07-21,-1.3055912324763734
2014-07-22,-1.244544149906172
2014-07-23,-1.2096303464891247
2014-07-24,-1.1541546808750354
