,Copula-GARCH plackett
2014-03-18,-1.2417402943421652
2014-03-19,-1.2675868277004188
2014-03-20,-1.2595752526060633
2014-03-21,-1.2152543871432906
2014-03-24,-1.227073743145555
2014-03-25,-1.2672119223459941
2014-03-26,-1.213010159328257
2014-03-27,-1.3057192470817809
2014-03-28,-1.2624726474486663
2014-03-31,-1.2109054249112707
2014-04-01,-1.2290987656755115
2014-04-02,-1.2984060119815735
2014-04-03,-1.2366560547369696
2014-04-04,-1.2256236932858036
2014-04-07,-1.582774923701452
2014-04-08,-1.633523286781636
2014-04-09,-1.5550255160833475
2014-04-10,-1.616587346881171
2014-04-11,-2.116888324112964
2014-04-14,-2.0779499673690345
2014-04-15,-1.9636760581639616
2014-04-16,-1.8476638377414705
2014-04-17,-1.8182621049633434
2014-04-21,-1.6998000720035682
2014-04-22,-1.6088210632429076
2014-04-23,-1.5444609045865538
2014-04-24,-1.4916797163331879
2014-04-25,-1.412660415326079
2014-04-28,-1.52201440940772
2014-04-29,-1.4374684372880957
2014-04-30,-1.3819518204696746
2014-05-01,-1.3101668080291522
2014-05-02,-1.2431046232920642
2014-05-05,-1.1855237525573596
2014-05-06,-1.135440893561183
2014-05-07,-1.2696053597620063
2014-05-08,-1.2318388885943723
2014-05-09,-1.1877257197121387
2014-05-12,-1.1399607604425808
2014-05-13,-1.2730687714620226
2014-05-14,-1.220436053779207
2014-05-15,-1.2166007723703052
2014-05-16,-1.2708506180700965
2014-05-19,-1.2213332982956264
2014-05-20,-1.1969191532497392
2014-05-21,-1.2106937274160345
2014-05-22,-1.2168769626602158
2014-05-23,-1.1720486820426022
2014-05-27,-1.147904630445326
2014-05-28,-1.1773082595961373
2014-05-29,-1.132886095054175
2014-05-30,-1.1077723760838754
2014-06-02,-1.066742875379643
2014-06-03,-1.025875430690819
2014-06-04,-0.9897141641576239
2014-06-05,-0.959175674244606
2014-06-06,-1.007197341615727
2014-06-09,-0.9973542716485557
2014-06-10,-0.9640986331252274
2014-06-11,-0.9316482287549152
2014-06-12,-0.9256020975396031
2014-06-13,-1.004476500825574
2014-06-16,-0.972667036594188
2014-06-17,-0.9395512715220798
2014-06-18,-0.914947186633093
2014-06-19,-0.9430623763210575
2014-06-20,-0.914237391893449
2014-06-23,-0.8856808105326769
2014-06-24,-0.8610174256047127
2014-06-25,-0.9068237297615702
2014-06-26,-0.915423107853722
2014-06-27,-0.8913197941661543
2014-06-30,-0.8723995410111869
2014-07-01,-0.8493443465641569
2014-07-02,-0.9329992183285236
2014-07-03,-0.9009451323643396
2014-07-07,-0.9088776813917773
2014-07-08,-0.9507303723055737
2014-07-09,-1.0966401634739136
2014-07-10,-1.0756493972076473
2014-07-11,-1.0688944965341298
2014-07-14,-1.0273199846412653
2014-07-15,-1.009874197381714
2014-07-16,-1.000243558998549
2014-07-17,-0.9709143151673232
2014-07-18,-1.1909030382933792
2014-07-21,-1.295462367662199
2014-07-22,-1.2348247778537083
2014-07-23,-1.2001590263949855
2014-07-24,-1.1450605691887195
2014-07-25,-1.091703285920523
2014-07-28,-1.0880905915886652
2014-07-29,-1.0434059638221331
2014-07-30,-1.0236411728186081
2014-07-31,-0.9888656649009177
2014-08-01,-1.477689554385053
2014-08-04,-1.4067107000168602
2014-08-05,-1.3660511283771457
2014-08-06,-1.3825638621576075
2014-08-07,-1.3070526001584644
2014-08-08,-1.278233830426395
2014-08-11,-1.298969048216281
2014-08-12,-1.2513750199197398
2014-08-13,-1.1996317790535964
2014-08-14,-1.2056050364744832
2014-08-15,-1.1602719155323968
2014-08-18,-1.1101850770808959
2014-08-19,-1.1385097378753934
2014-08-20,-1.1064008754400483
2014-08-21,-1.0615250293429677
2014-08-22,-1.021542718398792
2014-08-25,-0.9869929933539853
2014-08-26,-0.9665413693049406
2014-08-27,-0.9315051117420577
2014-08-28,-0.903244743386637
2014-08-29,-0.8892482901098033
2014-09-02,-0.8770984536624
2014-09-03,-0.8592843855334032
2014-09-04,-0.8694303507113017
2014-09-05,-0.8575081380427276
2014-09-08,-0.8587333268183852
2014-09-09,-0.8493900332855308
2014-09-10,-0.9422767744756693
2014-09-11,-0.9437300485666831
2014-09-12,-0.9115558963387443
2014-09-15,-0.9484953308260164
2014-09-16,-1.0015668891199858
2014-09-17,-1.0244957192140876
2014-09-18,-0.9845342470636149
2014-09-19,-0.982276224079089
2014-09-22,-0.9562144119158484
2014-09-23,-1.0755451769044744
2014-09-24,-1.0766713679114654
2014-09-25,-1.1141097248651801
2014-09-26,-1.4536491518121533
2014-09-29,-1.4377136164374746
2014-09-30,-1.3614654146828582
2014-10-01,-1.2999358169842077
2014-10-02,-1.4704472541578006
2014-10-03,-1.3856511144560513
2014-10-06,-1.4065871005561965
2014-10-07,-1.3464599871711438
2014-10-08,-1.5256726895345556
2014-10-09,-1.6912545557676508
2014-10-10,-1.946308126762997
2014-10-13,-2.0715201109199137
2014-10-14,-2.1227514661107807
2014-10-15,-1.9813462353848992
2014-10-16,-1.8905980474956774
2014-10-17,-1.7722489518763878
2014-10-20,-1.7547312242335797
2014-10-21,-1.7331876068877072
2014-10-22,-1.9386017475688149
2014-10-23,-1.8697045262783307
2014-10-24,-1.8771829565117635
2014-10-27,-1.7904563518397405
2014-10-28,-1.6864058210685415
2014-10-29,-1.731005946109568
2014-10-30,-1.6379699831278967
2014-10-31,-1.561409951160557
2014-11-03,-1.5897454404256874
2014-11-04,-1.5009015708246338
2014-11-05,-1.4335049768010986
2014-11-06,-1.3690359074850507
2014-11-07,-1.3080420518059537
2014-11-10,-1.2438027305002786
2014-11-11,-1.1934450660186042
2014-11-12,-1.1355048281870788
2014-11-13,-1.0871523320276044
2014-11-14,-1.0382125333462915
2014-11-17,-0.9957084469311783
2014-11-18,-0.9670488924296227
2014-11-19,-0.9653759516276648
2014-11-20,-0.9596652572786482
2014-11-21,-0.9372546622269935
2014-11-24,-0.9237774974028182
2014-11-25,-0.9330667704606914
2014-11-26,-0.9049706314502952
2014-11-28,-0.8953544641676824
2014-12-01,-0.8792192453121384
2014-12-02,-1.0316353810480325
2014-12-03,-1.0293070361014978
2014-12-04,-0.9999804061516182
2014-12-05,-0.9675882036407862
2014-12-08,-0.9330326001980661
2014-12-09,-1.0114674225651992
2014-12-10,-0.9829288534618775
2014-12-11,-1.3336189789530302
2014-12-12,-1.2772971490977703
2014-12-15,-1.4566950030947727
2014-12-16,-1.4526157810914435
2014-12-17,-1.4951869458854914
2014-12-18,-1.7592103735929148
2014-12-19,-2.0412638728341537
2014-12-22,-1.893203243161262
2014-12-23,-1.7596060536620075
2014-12-24,-1.6417640147220156
2014-12-26,-1.528762642905926
2014-12-29,-1.4465797111820506
2014-12-30,-1.3509793720108854
2014-12-31,-1.3108384275360043
2015-01-02,-1.363135370263893
2015-01-05,-1.2833975796048012
2015-01-06,-1.5606675468461109
2015-01-07,-1.5910971552648285
2015-01-08,-1.6015509247444089
2015-01-09,-1.7649986526857162
2015-01-12,-1.7022612087566278
2015-01-13,-1.6569452437614494
2015-01-14,-1.5443930252447864
2015-01-15,-1.4781033271575141
2015-01-16,-1.551326029496804
2015-01-20,-1.6058528218342965
2015-01-21,-1.4962451444493754
2015-01-22,-1.402797118260086
2015-01-23,-1.5665274670241307
2015-01-26,-1.4777469136940666
2015-01-27,-1.3803157853937706
2015-01-28,-1.6055011705953006
2015-01-29,-1.654210558587078
2015-01-30,-1.6080486883475298
2015-02-02,-1.6547105180325434
2015-02-03,-1.6392833812855694
2015-02-04,-1.6600652733949302
2015-02-05,-1.554886738687617
2015-02-06,-1.5336344679772287
2015-02-09,-1.4477446271433347
2015-02-10,-1.3743248788126579
2015-02-11,-1.4168365565657925
2015-02-12,-1.3189346662895323
2015-02-13,-1.3457616037929907
2015-02-17,-1.283592923641068
2015-02-18,-1.1997193733269613
2015-02-19,-1.1272930466021716
2015-02-20,-1.0708056616612698
2015-02-23,-1.0593469132096778
2015-02-24,-1.0052414811393702
2015-02-25,-0.9605081756647499
2015-02-26,-0.9233889711551078
2015-02-27,-0.9007058414931554
2015-03-02,-0.912135155827414
2015-03-03,-0.9538733541454422
2015-03-04,-0.9779334070512883
2015-03-05,-0.9738661050162453
2015-03-06,-0.9344579583463501
2015-03-09,-1.2063084774929969
2015-03-10,-1.1407184960464445
2015-03-11,-1.4954419655224838
2015-03-12,-1.3882410028599708
2015-03-13,-1.415966174442164
2015-03-16,-1.3601336995550672
2015-03-17,-1.4360171361118976
2015-03-18,-1.339654716703874
2015-03-19,-1.3728596722349025
2015-03-20,-1.2959804658296143
2015-03-23,-1.2751675040344457
2015-03-24,-1.203546240873607
2015-03-25,-1.1770608967136869
2015-03-26,-1.6039104830121815
2015-03-27,-1.4896575941426853
2015-03-30,-1.389973251380504
2015-03-31,-1.4425293135042334
2015-04-01,-1.4604234225762294
2015-04-02,-1.38116415165548
2015-04-06,-1.288886748820923
2015-04-07,-1.2457456323907168
2015-04-08,-1.175180670909547
2015-04-09,-1.137965188397279
2015-04-10,-1.0940367428693472
2015-04-13,-1.0630512053584873
2015-04-14,-1.041624708843626
2015-04-15,-0.9971063618617445
2015-04-16,-0.9959589496151441
2015-04-17,-0.9549611227988134
2015-04-20,-1.229580664869788
2015-04-21,-1.2890159082089632
2015-04-22,-1.2111115221221842
2015-04-23,-1.1593390268440207
2015-04-24,-1.0997777592559321
2015-04-27,-1.0616354202981158
2015-04-28,-1.0680144405069993
2015-04-29,-1.0202660859410329
2015-04-30,-1.030462813594872
2015-05-01,-1.2749950329940325
2015-05-04,-1.3535728363840238
2015-05-05,-1.2630437816269473
2015-05-06,-1.4513150730776878
2015-05-07,-1.376556326104063
2015-05-08,-1.2962862667358632
2015-05-11,-1.3989793364432177
2015-05-12,-1.3288166477574295
2015-05-13,-1.2604173203308302
2015-05-14,-1.1782826060217984
2015-05-15,-1.2871988105081429
2015-05-18,-1.2012236191708898
2015-05-19,-1.1459030833409076
2015-05-20,-1.0847330552390053
2015-05-21,-1.0304780071169208
2015-05-22,-0.9867863978297531
2015-05-26,-0.9542258757265891
2015-05-27,-1.1394159788867189
2015-05-28,-1.2442518631366932
2015-05-29,-1.1711568315798226
2015-06-01,-1.172735111000325
2015-06-02,-1.1037999733991182
2015-06-03,-1.0513498497040141
2015-06-04,-1.008509350999635
2015-06-05,-1.1018428587977156
2015-06-08,-1.0458957284491437
2015-06-09,-1.1067917472502842
2015-06-10,-1.051431623470237
2015-06-11,-1.1938586383746599
2015-06-12,-1.1245948454812245
2015-06-15,-1.1471057821526576
2015-06-16,-1.1243633390900358
2015-06-17,-1.0970219636746397
2015-06-18,-1.0434006059865542
2015-06-19,-1.1625640716885626
2015-06-22,-1.1391431681655386
2015-06-23,-1.1243321152193526
2015-06-24,-1.0654358281441199
2015-06-25,-1.1161748281642878
2015-06-26,-1.0754785593554583
2015-06-29,-1.0552240232181438
2015-06-30,-1.6660652964158496
2015-07-01,-1.5485641418765894
2015-07-02,-1.470198905456846
2015-07-06,-1.3695574886575308
2015-07-07,-1.304959444641687
2015-07-08,-1.246941521344008
2015-07-09,-1.5500905740231592
2015-07-10,-1.442808698493893
2015-07-13,-1.52757115534599
2015-07-14,-1.5718137955560345
2015-07-15,-1.4807268888921645
2015-07-16,-1.381183956286025
2015-07-17,-1.393244827155386
2015-07-20,-1.333129830578486
2015-07-21,-1.2517993720549003
2015-07-22,-1.2046603957180468
2015-07-23,-1.1781838957552833
2015-07-24,-1.1690262477783233
2015-07-27,-1.2906377059788596
2015-07-28,-1.2978537423622907
2015-07-29,-1.36071671791137
2015-07-30,-1.311746194275022
2015-07-31,-1.231916111297379
2015-08-03,-1.1665338522096622
2015-08-04,-1.1179784291131478
2015-08-05,-1.0710052439457947
2015-08-06,-1.0459810384375612
2015-08-07,-1.232844676729895
2015-08-10,-1.1778050211590607
2015-08-11,-1.298165661234108
2015-08-12,-1.3886140610544557
2015-08-13,-1.2952118447626881
2015-08-14,-1.2221226167416277
2015-08-17,-1.1627987980121708
2015-08-18,-1.1496471969957407
2015-08-19,-1.1258068419602332
2015-08-20,-1.1819317489594774
2015-08-21,-1.829284134049319
2015-08-24,-2.6931362520819824
2015-08-25,-3.5294587622710263
2015-08-26,-3.2361196643706234
2015-08-27,-3.819297190194704
2015-08-28,-3.712112163723106
2015-08-31,-3.3085800342660403
2015-09-01,-3.0247025503090024
2015-09-02,-3.332879229893114
2015-09-03,-3.2389675903438016
2015-09-04,-2.898620151046235
2015-09-08,-2.7517137775160014
2015-09-09,-2.9293469600750606
2015-09-10,-2.7624669646795716
2015-09-11,-2.500949753951546
2015-09-14,-2.252551003115092
2015-09-15,-2.0443955980877484
2015-09-16,-1.979178858021202
2015-09-17,-1.8324938353896327
2015-09-18,-1.663320657111772
2015-09-21,-1.8310023680899956
2015-09-22,-1.6688404172173237
2015-09-23,-1.7644564013198767
2015-09-24,-1.6152891303365442
2015-09-25,-1.4963475790368057
2015-09-28,-1.4374660377095974
2015-09-29,-2.2259221098090323
2015-09-30,-2.0350359571820826
2015-10-01,-2.212946124632726
2015-10-02,-2.0098775017544726
2015-10-05,-2.044121465372272
2015-10-06,-2.1138438800095094
2015-10-07,-1.9539761048988518
2015-10-08,-1.840083974389217
2015-10-09,-1.7268786205384627
2015-10-12,-1.584508208598635
