,Copula-GARCH sjc
2014-02-27,-1.1365992305986707
2014-02-28,-1.1117206781970963
2014-03-03,-1.0734013423696225
2014-03-04,-1.1196266847772918
2014-03-05,-1.3353496829542024
2014-03-06,-1.264853017591659
2014-03-07,-1.2041810771126502
2014-03-10,-1.156546719032909
2014-03-11,-1.1065997023409553
2014-03-12,-1.117318609981223
2014-03-13,-1.073707949121285
2014-03-14,-1.2731221917122537
2014-03-17,-1.2287148527917868
2014-03-18,-1.2446628430757503
2014-03-19,-1.2706655318256919
2014-03-20,-1.2629014890653714
2014-03-21,-1.2187058239454618
2014-03-24,-1.2304018770057836
2014-03-25,-1.2705916684803193
2014-03-26,-1.2166707552063782
2014-03-27,-1.3092597883310977
2014-03-28,-1.2661328570112016
2014-03-31,-1.2145431818629564
2014-04-01,-1.232719011744522
2014-04-02,-1.3021483820327473
2014-04-03,-1.2403801840425541
2014-04-04,-1.2291846985595392
2014-04-07,-1.5857590875990855
2014-04-08,-1.6366094561272129
2014-04-09,-1.5575852050585801
2014-04-10,-1.6194267774831324
2014-04-11,-2.1204253810768785
2014-04-14,-2.0817630304921786
2014-04-15,-1.9674660283991467
2014-04-16,-1.8511008152412143
2014-04-17,-1.82188235553924
2014-04-21,-1.7033065670369174
2014-04-22,-1.6118681809113504
2014-04-23,-1.547851040388327
2014-04-24,-1.49478156131163
2014-04-25,-1.4158541348910878
2014-04-28,-1.5254749345356255
2014-04-29,-1.4408992141876271
2014-04-30,-1.3852828670025956
2014-05-01,-1.3135334166263004
2014-05-02,-1.246441408350625
2014-05-05,-1.1886861947580376
2014-05-06,-1.1388071060071239
2014-05-07,-1.2729918388828232
2014-05-08,-1.2357291833915405
2014-05-09,-1.1914934736560687
2014-05-12,-1.1436501214045551
2014-05-13,-1.2771396174106406
2014-05-14,-1.224402971312349
2014-05-15,-1.220752247980247
2014-05-16,-1.2750719120508118
2014-05-19,-1.2252674375114825
2014-05-20,-1.2007507085993483
2014-05-21,-1.2146842494984273
2014-05-22,-1.2209641226045231
2014-05-23,-1.17598607435441
2014-05-27,-1.151638467816788
2014-05-28,-1.1812564790000306
2014-05-29,-1.1368444215511853
2014-05-30,-1.1115177705476498
2014-06-02,-1.0702130743219909
2014-06-03,-1.0295217771980363
2014-06-04,-0.9931327967669328
2014-06-05,-0.9622353587184739
2014-06-06,-1.010810672310432
2014-06-09,-1.00073652563304
2014-06-10,-0.9675071135030809
2014-06-11,-0.9348596670284829
2014-06-12,-0.928727175812752
2014-06-13,-1.0078243693525533
2014-06-16,-0.9759359253133371
2014-06-17,-0.9428173916604415
2014-06-18,-0.9179458925461333
2014-06-19,-0.9462940321579838
2014-06-20,-0.9174250424273023
2014-06-23,-0.8885912520831948
2014-06-24,-0.8639263878831346
2014-06-25,-0.9097358498492354
2014-06-26,-0.9180841662125756
2014-06-27,-0.8939166831878186
2014-06-30,-0.8751335346463535
2014-07-01,-0.8519455383071738
2014-07-02,-0.9360434294368823
2014-07-03,-0.9038357195108279
2014-07-07,-0.9115906883912944
2014-07-08,-0.9537296160451983
2014-07-09,-1.0997362303483282
2014-07-10,-1.0787773491838029
2014-07-11,-1.0723053941073466
2014-07-14,-1.0302769722467693
2014-07-15,-1.013112380596133
2014-07-16,-1.003222760422329
2014-07-17,-0.9739361858458968
2014-07-18,-1.1944576448484197
2014-07-21,-1.299391636552638
2014-07-22,-1.2389435428417348
2014-07-23,-1.2037921475415396
2014-07-24,-1.148528204925639
2014-07-25,-1.0949737771932984
2014-07-28,-1.0917777181513033
2014-07-29,-1.0465478465961515
2014-07-30,-1.0268601491626514
2014-07-31,-0.9921659982276364
2014-08-01,-1.4816559846425912
2014-08-04,-1.4109634526203099
2014-08-05,-1.3693635463563518
2014-08-06,-1.3858135730486445
2014-08-07,-1.3106907903955833
2014-08-08,-1.2817460331799448
2014-08-11,-1.3030779584132632
2014-08-12,-1.2552264494154772
2014-08-13,-1.203203925342646
2014-08-14,-1.2094215037467548
2014-08-15,-1.1637643932766921
2014-08-18,-1.1138287196501513
2014-08-19,-1.1418173358948562
2014-08-20,-1.1096118075544468
2014-08-21,-1.0646844827247384
2014-08-22,-1.0245675489539534
2014-08-25,-0.9898279627857876
2014-08-26,-0.9692767155435645
2014-08-27,-0.9346595430557494
2014-08-28,-0.905842288376246
2014-08-29,-0.891844709511786
2014-09-02,-0.8795166746323799
2014-09-03,-0.8616575805292389
2014-09-04,-0.8719648072884904
2014-09-05,-0.8599164270803676
2014-09-08,-0.8612556953398426
2014-09-09,-0.8519843113700997
2014-09-10,-0.9450964737277049
2014-09-11,-0.9465753892455726
2014-09-12,-0.9141963353497021
2014-09-15,-0.9513701186312316
2014-09-16,-1.0041666206033872
2014-09-17,-1.0271259692732149
2014-09-18,-0.9873307540874702
2014-09-19,-0.9847354574530195
2014-09-22,-0.9587610006691771
2014-09-23,-1.0782884935175638
2014-09-24,-1.0795354278126825
2014-09-25,-1.1169740227909055
