,Copula-GARCH rotated_gumbel
2015-08-20,-1.1982420781428833
2015-08-21,-1.8539161284887031
2015-08-24,-2.729089565426417
2015-08-25,-3.5761868201607894
2015-08-26,-3.279203625262064
2015-08-27,-3.8699369231470544
2015-08-28,-3.7612393621054343
2015-08-31,-3.3523639131388014
2015-09-01,-3.0647278211625815
2015-09-02,-3.3766619372911864
2015-09-03,-3.281648047541062
2015-09-04,-2.936903815232073
2015-09-08,-2.7882774922664018
2015-09-09,-2.968095520466713
2015-09-10,-2.799026952629072
2015-09-11,-2.534068451962997
2015-09-14,-2.282352378665471
2015-09-15,-2.0715686672493208
2015-09-16,-2.005531383152677
2015-09-17,-1.8570343350463403
2015-09-18,-1.685731078785532
2015-09-21,-1.8556924577655172
2015-09-22,-1.691376652296324
2015-09-23,-1.7881455678504474
2015-09-24,-1.6370940028828251
2015-09-25,-1.516560908464141
2015-09-28,-1.4567767577144561
2015-09-29,-2.2553833215375207
2015-09-30,-2.062037843937251
2015-10-01,-2.242181907545205
2015-10-02,-2.0364673396937847
2015-10-05,-2.071130023285931
2015-10-06,-2.141874245687087
2015-10-07,-1.9798520926165566
2015-10-08,-1.8644699170850003
2015-10-09,-1.7499604725234341
2015-10-12,-1.6058055143890035
