,Copula-GARCH rotated_clayton
2014-07-21,-1.6371288723755753
2014-07-22,-1.5611525758639409
2014-07-23,-1.5183129572450402
2014-07-24,-1.4496784979665134
2014-07-25,-1.3832284441327378
2014-07-28,-1.3777577148080664
2014-07-29,-1.322156718530515
2014-07-30,-1.2962059689356598
2014-07-31,-1.2532388126252672
2014-08-01,-1.858834701839572
2014-08-04,-1.7707352637450513
2014-08-05,-1.7203778582904423
2014-08-06,-1.7401187825261417
2014-08-07,-1.646348007806361
2014-08-08,-1.6103369019547205
2014-08-11,-1.6361605584753633
2014-08-12,-1.577224590522506
2014-08-13,-1.5130836121669935
2014-08-14,-1.5207500571550778
2014-08-15,-1.4646384871211011
2014-08-18,-1.4025051753508626
2014-08-19,-1.4381490650810074
2014-08-20,-1.3983705092603382
2014-08-21,-1.3424610617809327
2014-08-22,-1.2925760686115568
2014-08-25,-1.2494722552911581
2014-08-26,-1.22419289472225
2014-08-27,-1.1814045528601804
2014-08-28,-1.1459901869599831
2014-08-29,-1.128630712154173
2014-09-02,-1.1138093017441983
2014-09-03,-1.0917407185067205
2014-09-04,-1.105106919699422
2014-09-05,-1.0900565966592064
2014-09-08,-1.09105837038224
2014-09-09,-1.0781735077465213
2014-09-10,-1.1936519954595004
2014-09-11,-1.196199783521508
2014-09-12,-1.1559212143695234
2014-09-15,-1.2006595317620954
2014-09-16,-1.2704028385270536
2014-09-17,-1.297575329114794
2014-09-18,-1.2475058336418137
2014-09-19,-1.244796883199992
2014-09-22,-1.2125566064589757
2014-09-23,-1.3612582541767282
2014-09-24,-1.36091399772782
2014-09-25,-1.4077935517771234
2014-09-26,-1.8295420871186199
2014-09-29,-1.809940016228076
2014-09-30,-1.7148824305687174
2014-10-01,-1.638070534114359
2014-10-02,-1.8498861763076377
2014-10-03,-1.744485930575328
2014-10-06,-1.769752694674045
2014-10-07,-1.6951177706881448
2014-10-08,-1.9169549019645147
2014-10-09,-2.123310315638604
2014-10-10,-2.4396690599569917
2014-10-13,-2.5986101033691096
2014-10-14,-2.660541179668506
2014-10-15,-2.484689224091642
2014-10-16,-2.370942779909504
2014-10-17,-2.2236893388866457
2014-10-20,-2.20122528729642
2014-10-21,-2.174978160270547
2014-10-22,-2.4311507953266043
2014-10-23,-2.3452827843371997
2014-10-24,-2.3551181284031677
2014-10-27,-2.247186313633741
2014-10-28,-2.1178165858884044
2014-10-29,-2.1743378769101103
2014-10-30,-2.058771843040487
2014-10-31,-1.9631052294391729
2014-11-03,-1.9986866780860983
2014-11-04,-1.8882615900411193
2014-11-05,-1.8045500719977714
2014-11-06,-1.7237790000407327
2014-11-07,-1.6481289937748398
2014-11-10,-1.5684798656683137
2014-11-11,-1.505706703804682
2014-11-12,-1.433777859170619
2014-11-13,-1.3737144840560802
2014-11-14,-1.3129591759355113
2014-11-17,-1.260223762361856
2014-11-18,-1.2250485905609159
2014-11-19,-1.2232135724758575
2014-11-20,-1.2169202838434392
2014-11-21,-1.1897573912946766
2014-11-24,-1.1717597973538312
2014-11-25,-1.1848984451002862
2014-11-26,-1.14937134710715
2014-11-28,-1.1379184105515703
2014-12-01,-1.1165883300194694
2014-12-02,-1.3086619235188037
2014-12-03,-1.3042765288493117
2014-12-04,-1.2672253253970387
2014-12-05,-1.2266028117944001
2014-12-08,-1.1835869314187248
2014-12-09,-1.2797438305298863
2014-12-10,-1.2447967128090913
2014-12-11,-1.6775022493549405
2014-12-12,-1.6080523171842735
2014-12-15,-1.8295511206549917
2014-12-16,-1.8243051344980452
2014-12-17,-1.8775384307971446
2014-12-18,-2.205707797249056
2014-12-19,-2.556020788443578
2014-12-22,-2.372030386272161
2014-12-23,-2.2060924397329194
2014-12-24,-2.0597588887461766
2014-12-26,-1.9195996811147162
2014-12-29,-1.8178929586984505
2014-12-30,-1.6994491868889634
2014-12-31,-1.649770578482228
2015-01-02,-1.7140408400485911
2015-01-05,-1.6153080398632553
2015-01-06,-1.9590879768648235
2015-01-07,-1.9969654019902372
2015-01-08,-2.0103004547937324
2015-01-09,-2.2136076611217
2015-01-12,-2.1355238406488075
2015-01-13,-2.078959552593295
2015-01-14,-1.9391507062477669
2015-01-15,-1.8565081370615006
2015-01-16,-1.9484450585918704
2015-01-20,-2.0160752303303817
2015-01-21,-1.8807106411576031
2015-01-22,-1.7645023887070928
2015-01-23,-1.9682132145058184
2015-01-26,-1.8575830081723743
2015-01-27,-1.7364313134380067
2015-01-28,-2.0173511343410055
2015-01-29,-2.075504914625637
2015-01-30,-2.0184655055153966
2015-02-02,-2.076036187905902
2015-02-03,-2.0569950782631357
2015-02-04,-2.083292884442501
2015-02-05,-1.952720284403257
2015-02-06,-1.9264432772992146
2015-02-09,-1.8193970458318527
2015-02-10,-1.7279989712388306
2015-02-11,-1.781114334657512
2015-02-12,-1.6596966198627965
2015-02-13,-1.6935181591521455
2015-02-17,-1.617304899378949
2015-02-18,-1.513564038221556
2015-02-19,-1.423927220456342
2015-02-20,-1.35391575194006
2015-02-23,-1.339461011119134
2015-02-24,-1.2723977471612886
2015-02-25,-1.2170519664860897
2015-02-26,-1.170917339514442
2015-02-27,-1.1428099587066842
2015-03-02,-1.1573674818810615
2015-03-03,-1.2099598939742793
2015-03-04,-1.2395007964611486
2015-03-05,-1.233186508969363
2015-03-06,-1.184528574537178
2015-03-09,-1.5201816681954474
2015-03-10,-1.4387756424712084
2015-03-11,-1.879163396263893
2015-03-12,-1.745277618520027
2015-03-13,-1.7804739850288085
2015-03-16,-1.7106436018030573
2015-03-17,-1.805431115631016
2015-03-18,-1.6854195401610852
2015-03-19,-1.7279510373359714
2015-03-20,-1.6321910660101193
2015-03-23,-1.606398627325927
2015-03-24,-1.5167255661917354
2015-03-25,-1.4836456333287287
2015-03-26,-2.0154659599639175
2015-03-27,-1.8736588096327218
2015-03-30,-1.7505016271924327
2015-03-31,-1.8140794602360006
2015-04-01,-1.8353871126118888
2015-04-02,-1.7370730939696537
2015-04-06,-1.6224097808973443
2015-04-07,-1.5687170125926002
2015-04-08,-1.4811953894397385
2015-04-09,-1.436199992088228
2015-04-10,-1.381870388357327
2015-04-13,-1.3421571881383703
2015-04-14,-1.3147181233958267
2015-04-15,-1.2598435286034355
2015-04-16,-1.2585658307935625
2015-04-17,-1.2077748864843645
2015-04-20,-1.5484034381737695
2015-04-21,-1.6227644903428515
2015-04-22,-1.5264293910220066
2015-04-23,-1.462510960272601
2015-04-24,-1.3889385039090312
2015-04-27,-1.3432046927745875
2015-04-28,-1.3507798278736864
2015-04-29,-1.2912213021612227
2015-04-30,-1.304084557380072
2015-05-01,-1.6094059744173541
2015-05-04,-1.7056477170667599
2015-05-05,-1.5933370907599638
2015-05-06,-1.8264193403666413
2015-05-07,-1.7332322115617285
2015-05-08,-1.6339636696699051
2015-05-11,-1.7587783112112712
2015-05-12,-1.6713275727756933
2015-05-13,-1.58663357597343
2015-05-14,-1.484828342352125
2015-05-15,-1.6207853684749702
2015-05-18,-1.5144360631434344
2015-05-19,-1.4463725825060947
2015-05-20,-1.3706830217613646
2015-05-21,-1.303422807068179
2015-05-22,-1.24946024639394
2015-05-26,-1.2087462200806194
2015-05-27,-1.4368841214082664
2015-05-28,-1.5684990044952796
2015-05-29,-1.4778569619070552
2015-06-01,-1.4787785866302061
2015-06-02,-1.3937767605874498
2015-06-03,-1.3286697417151279
2015-06-04,-1.275745062892203
2015-06-05,-1.389741572916458
2015-06-08,-1.3208007920490503
2015-06-09,-1.396503658530378
2015-06-10,-1.327884356153923
2015-06-11,-1.503705015137743
2015-06-12,-1.418003267737081
2015-06-15,-1.4452731601078996
2015-06-16,-1.4165853208736108
2015-06-17,-1.3825393471092915
2015-06-18,-1.3157142855548933
2015-06-19,-1.464857350565449
2015-06-22,-1.4351662323519645
2015-06-23,-1.4175048661296683
2015-06-24,-1.344220519384936
2015-06-25,-1.4064106642940544
2015-06-26,-1.3556312534233759
2015-06-29,-1.3312406552826248
2015-06-30,-2.0887073737059945
2015-07-01,-1.9433926951201905
2015-07-02,-1.8458881653335049
2015-07-06,-1.7210654509143686
2015-07-07,-1.6406544329474066
2015-07-08,-1.5680174594064638
2015-07-09,-1.9436988906698913
2015-07-10,-1.8099804401786943
2015-07-13,-1.9160294984757844
2015-07-14,-1.9715473041351437
2015-07-15,-1.8591215797113274
2015-07-16,-1.7359312692534488
2015-07-17,-1.7521031031676673
2015-07-20,-1.6789297657316657
2015-07-21,-1.5779984323612675
2015-07-22,-1.5184298561045393
2015-07-23,-1.4865846354095018
2015-07-24,-1.4736200915170188
2015-07-27,-1.6226516769481902
2015-07-28,-1.6325145834028962
2015-07-29,-1.7085112794677284
2015-07-30,-1.6473630526353926
2015-07-31,-1.5486250216834725
2015-08-03,-1.467463771712695
2015-08-04,-1.407173304687258
2015-08-05,-1.349593764979077
