,Copula-GARCH gaussian
2014-03-19,-1.8462179996180486
2014-03-20,-1.8343527509878041
2014-03-21,-1.7712960284647739
2014-03-24,-1.7874119990783013
2014-03-25,-1.8442791931075553
2014-03-26,-1.7672167609457785
2014-03-27,-1.898745405680634
2014-03-28,-1.8368559255487853
2014-03-31,-1.763656282112728
2014-04-01,-1.790119128877645
2014-04-02,-1.8892681187683924
2014-04-03,-1.8011077402904658
2014-04-04,-1.785279468905376
2014-04-07,-2.292873441331828
2014-04-08,-2.366304746505719
2014-04-09,-2.25463109481303
2014-04-10,-2.3423858665043653
2014-04-11,-3.0540062737324543
2014-04-14,-2.998228337235481
2014-04-15,-2.835544154116983
2014-04-16,-2.6703228336505322
2014-04-17,-2.6285451181496278
2014-04-21,-2.4597453512731384
2014-04-22,-2.3298769725952524
2014-04-23,-2.2383386616539642
2014-04-24,-2.1632599605034786
2014-04-25,-2.050759324108127
2014-04-28,-2.206111273748831
2014-04-29,-2.085965848989428
2014-04-30,-2.006947515593134
2014-05-01,-1.9049367175781962
2014-05-02,-1.8096086501618986
2014-05-05,-1.7276223139210314
2014-05-06,-1.6566749669429646
2014-05-07,-1.8467488751684118
2014-05-08,-1.7940912095900141
2014-05-09,-1.7308787898074733
2014-05-12,-1.662810258874091
2014-05-13,-1.8528805748859238
2014-05-14,-1.7775424959346993
2014-05-15,-1.7717058229600264
2014-05-16,-1.8481554181082303
2014-05-19,-1.7777024752196695
2014-05-20,-1.7429484128452482
2014-05-21,-1.7626005175196118
2014-05-22,-1.7715863612791607
2014-05-23,-1.7073096950050992
2014-05-27,-1.6731914680832805
2014-05-28,-1.7155005290672047
2014-05-29,-1.6526816730201055
2014-05-30,-1.6173608744699872
2014-06-02,-1.558476513923904
2014-06-03,-1.500419882855286
2014-06-04,-1.4488346800333636
2014-06-05,-1.4064617171084088
2014-06-06,-1.475184027389899
2014-06-09,-1.460821807502032
2014-06-10,-1.4135688463967184
2014-06-11,-1.3677183955637848
2014-06-12,-1.3586552055727703
2014-06-13,-1.470635078505423
2014-06-16,-1.4258950590930297
2014-06-17,-1.3785709498236605
2014-06-18,-1.3434047379290113
2014-06-19,-1.383883285164142
2014-06-20,-1.3425671936715546
2014-06-23,-1.302175078511089
2014-06-24,-1.266933610280511
2014-06-25,-1.332398271899868
2014-06-26,-1.3446272438196654
2014-06-27,-1.3098222501343766
2014-06-30,-1.2827882524665217
2014-07-01,-1.2497601326549395
2014-07-02,-1.3692971744880682
2014-07-03,-1.3236093858205455
2014-07-07,-1.3353446507390865
2014-07-08,-1.3944995427113878
2014-07-09,-1.601834489783788
2014-07-10,-1.5716595501380697
2014-07-11,-1.5616829787161217
2014-07-14,-1.5025405477063378
2014-07-15,-1.4778723113545436
2014-07-16,-1.4638355476539127
2014-07-17,-1.422301649354318
2014-07-18,-1.7351953153573179
2014-07-21,-1.8846444209235091
2014-07-22,-1.798221666546899
2014-07-23,-1.7491744011888202
2014-07-24,-1.6706310702342346
2014-07-25,-1.5947259600862065
2014-07-28,-1.5894076802263042
2014-07-29,-1.525939063643622
2014-07-30,-1.4976636616636936
2014-07-31,-1.448311463431607
2014-08-01,-2.1440614627197947
2014-08-04,-2.042818510792928
2014-08-05,-1.9850369135677846
2014-08-06,-2.0081601206624766
2014-08-07,-1.9002893769031892
2014-08-08,-1.8590571660803092
2014-08-11,-1.8907125699051366
2014-08-12,-1.822769799974996
2014-08-13,-1.7492519985880752
2014-08-14,-1.7576907268103519
2014-08-15,-1.6932366153742653
2014-08-18,-1.6215807444344985
2014-08-19,-1.6621766591517566
2014-08-20,-1.6160823613506894
2014-08-21,-1.5520710919798248
2014-08-22,-1.4950102174583204
2014-08-25,-1.445765989716582
2014-08-26,-1.4169684687737838
2014-08-27,-1.3681849154821115
2014-08-28,-1.3275053424082108
2014-08-29,-1.3073625656753096
2014-09-02,-1.2901211806764268
2014-09-03,-1.2643908717923398
2014-09-04,-1.2783192749005867
2014-09-05,-1.2610087457598862
2014-09-08,-1.26281915215642
2014-09-09,-1.2488518406021412
2014-09-10,-1.380408683232538
2014-09-11,-1.3825298430288278
2014-09-12,-1.3362632384258772
2014-09-15,-1.3883492983959467
2014-09-16,-1.4631908669529945
2014-09-17,-1.4963316739415413
2014-09-18,-1.439048907446975
2014-09-19,-1.435862087860082
2014-09-22,-1.3986177869377558
2014-09-23,-1.56821329260154
2014-09-24,-1.569317319537889
2014-09-25,-1.622838376296933
2014-09-26,-2.1062404407397337
2014-09-29,-2.0837133286772676
2014-09-30,-1.9748704152320193
2014-10-01,-1.8867998486378084
2014-10-02,-2.1292236152229123
2014-10-03,-2.008376008138875
2014-10-06,-2.0384080382092606
2014-10-07,-1.9524385600511085
2014-10-08,-2.207364629274882
2014-10-09,-2.4438942045661336
2014-10-10,-2.806886738756489
2014-10-13,-2.9847946647728634
2014-10-14,-3.057755893795333
2014-10-15,-2.856160501524607
2014-10-16,-2.726676029549453
2014-10-17,-2.557865234369946
2014-10-20,-2.5333503426192228
2014-10-21,-2.502775500125982
2014-10-22,-2.7958186244674654
2014-10-23,-2.6974623776426196
