,Copula-MSM clayton
2014-03-05,-1.467207436024243
2014-03-06,-1.3265544313249844
2014-03-07,-1.2211911910177777
2014-03-10,-1.1582270149373974
2014-03-11,-1.094466086682663
2014-03-12,-1.1221405575289762
2014-03-13,-1.0686693273819554
2014-03-14,-1.3293462006767376
2014-03-17,-1.2551572199455088
2014-03-18,-1.3134240025555384
2014-03-19,-1.3636106356770263
2014-03-20,-1.3570200701280066
2014-03-21,-1.3056235211676157
2014-03-24,-1.2994870486844772
2014-03-25,-1.3912145960878235
2014-03-26,-1.2973815288819053
2014-03-27,-1.4437471568323574
2014-03-28,-1.3374218002715414
2014-03-31,-1.2751143596876138
2014-04-01,-1.3222017340885666
2014-04-02,-1.429060227340857
2014-04-03,-1.3349935149965206
2014-04-04,-1.3159427862138473
2014-04-07,-1.6147604044716628
2014-04-08,-1.7562083393045846
2014-04-09,-1.6379398248197845
2014-04-10,-1.7544692472530543
2014-04-11,-2.221917042113294
2014-04-14,-1.9362292094111369
2014-04-15,-1.841335663459013
2014-04-16,-1.7320024692956035
2014-04-17,-1.7821525663325457
2014-04-21,-1.6317688401654142
2014-04-22,-1.6416414053480775
2014-04-23,-1.5452895075841788
2014-04-24,-1.4837041763336154
2014-04-25,-1.385345810892407
2014-04-28,-1.5742203839363318
2014-04-29,-1.45237488466773
2014-04-30,-1.4148422927496114
2014-05-01,-1.3221978001655716
2014-05-02,-1.2252108699011908
2014-05-05,-1.1681078216544325
2014-05-06,-1.1159249605874793
2014-05-07,-1.3263297022562677
2014-05-08,-1.2895177920220666
2014-05-09,-1.2229115780217596
2014-05-12,-1.1587896042527972
2014-05-13,-1.3802302571602094
2014-05-14,-1.3035158136607792
2014-05-15,-1.304121853954144
2014-05-16,-1.3638895310863548
2014-05-19,-1.3034851000669014
2014-05-20,-1.275235961628023
2014-05-21,-1.2989961502614722
2014-05-22,-1.3289943390438812
2014-05-23,-1.2573162538754652
2014-05-27,-1.2390623518469552
2014-05-28,-1.2954248483625384
2014-05-29,-1.2278460193095202
2014-05-30,-1.2018225501573074
2014-06-02,-1.1465069661100424
2014-06-03,-1.094842447978057
2014-06-04,-1.044718710868452
2014-06-05,-1.0046913459726396
2014-06-06,-1.1048049218919818
2014-06-09,-1.0898851516507888
2014-06-10,-1.0424415492918921
2014-06-11,-0.9916836734920292
2014-06-12,-0.9698471341943289
2014-06-13,-1.0671183615262994
2014-06-16,-1.0158882324431473
2014-06-17,-0.9675158751891437
2014-06-18,-1.0348048847176081
2014-06-19,-1.0816272014077057
2014-06-20,-1.039238233037887
2014-06-23,-1.02172981265659
2014-06-24,-0.8463740032257844
2014-06-25,-1.0438354681225341
2014-06-26,-1.0616700198126179
2014-06-27,-0.8736238597177295
2014-06-30,-0.8543802596407637
2014-07-01,-0.8212575199143451
2014-07-02,-1.0940024595974667
2014-07-03,-1.0268683655052058
2014-07-07,-1.0564609295793332
2014-07-08,-0.998826604655645
2014-07-09,-1.252495986657975
2014-07-10,-1.2101665639924082
2014-07-11,-1.193827243044838
2014-07-14,-1.1303220078186489
2014-07-15,-1.1235772065217642
2014-07-16,-1.0603792309101265
2014-07-17,-1.0744863528555915
2014-07-18,-1.2575108664800074
2014-07-21,-1.4596699682861596
2014-07-22,-1.2982128264025548
2014-07-23,-1.3067071317198073
2014-07-24,-1.1764567217576498
2014-07-25,-1.0953016840408631
2014-07-28,-1.0981883102613565
2014-07-29,-1.0242756137692188
2014-07-30,-1.0605320321179341
2014-07-31,-1.0323972243200905
2014-08-01,-1.5488157544232088
2014-08-04,-1.4431573016462065
2014-08-05,-1.4234400041536652
2014-08-06,-1.4676326833402524
2014-08-07,-1.3442964634322703
2014-08-08,-1.3221981396939082
2014-08-11,-1.3765729275844187
2014-08-12,-1.3107534780029944
2014-08-13,-1.2215128123066816
2014-08-14,-1.2586732488286243
2014-08-15,-1.1799142731733117
2014-08-18,-1.1123194355189086
2014-08-19,-1.1654148294163156
2014-08-20,-1.1873355173627906
2014-08-21,-1.0683261070118584
2014-08-22,-1.021634426320173
2014-08-25,-0.9921887720462612
2014-08-26,-0.9886597037243732
2014-08-27,-0.9660473474748167
2014-08-28,-0.9423038082840051
2014-08-29,-0.9390949193408862
2014-09-02,-0.795248963375209
2014-09-03,-0.956044039526646
2014-09-04,-0.9694805832472031
2014-09-05,-0.8099561303429538
2014-09-08,-0.9677956393987789
2014-09-09,-0.818471320850528
2014-09-10,-1.0724353421896708
2014-09-11,-0.9571473484481996
2014-09-12,-1.0035008193555908
2014-09-15,-0.9486596890593066
2014-09-16,-1.1054872014498653
2014-09-17,-1.1441296559940675
2014-09-18,-1.0712563853821102
2014-09-19,-1.0816023208005445
2014-09-22,-1.0366098380380178
2014-09-23,-1.1937723203908763
2014-09-24,-1.1726580583429513
2014-09-25,-1.2362300632969208
2014-09-26,-1.6528267520898667
2014-09-29,-1.6248597389602368
2014-09-30,-1.5213619988480636
2014-10-01,-1.4275453022348228
2014-10-02,-1.606533367946053
2014-10-03,-1.4992577521287171
2014-10-06,-1.5353325490765717
2014-10-07,-1.4528316433026722
2014-10-08,-1.631986515252199
2014-10-09,-1.7685206335665222
2014-10-10,-1.9168432616564943
2014-10-13,-2.021366621343158
2014-10-14,-2.057650325226546
2014-10-15,-1.8924079609801499
2014-10-16,-1.7101376976290534
2014-10-17,-1.617262171432841
2014-10-20,-1.6523418495399447
2014-10-21,-1.72673516015784
2014-10-22,-1.959622431053554
2014-10-23,-1.8583515220399283
2014-10-24,-1.8867224701742034
2014-10-27,-1.7992775579207354
2014-10-28,-1.624841671660544
2014-10-29,-1.7690871542913924
2014-10-30,-1.6561741386592714
