,RiskMetrics
2014-07-30,-0.932093891527817
2014-07-31,-0.9084318845820816
2014-08-01,-1.2114584218661844
2014-08-04,-1.1824929891127212
2014-08-05,-1.182193175584137
2014-08-06,-1.1953340066675917
2014-08-07,-1.1589672481477813
2014-08-08,-1.1422701307041367
2014-08-11,-1.1765657109740328
2014-08-12,-1.1573167043247274
2014-08-13,-1.1255342885149386
2014-08-14,-1.1428688457062672
2014-08-15,-1.1214620576445564
2014-08-18,-1.0885724294893437
2014-08-19,-1.1170456710779944
2014-08-20,-1.0988888143023636
2014-08-21,-1.0663736546061167
2014-08-22,-1.037321617355669
2014-08-25,-1.0057867415211768
2014-08-26,-0.9915290534659372
2014-08-27,-0.9646315749246183
2014-08-28,-0.935251520171786
2014-08-29,-0.9108945415598928
2014-09-02,-0.8986649070167906
2014-09-03,-0.8739141396534047
2014-09-04,-0.8569505779125662
2014-09-05,-0.8343343546826713
2014-09-08,-0.8313897627978233
2014-09-09,-0.8063298190928102
2014-09-10,-0.8404429146194989
2014-09-11,-0.8451285294715855
2014-09-12,-0.8204066570204227
2014-09-15,-0.8271634709767288
2014-09-16,-0.8343649832409292
2014-09-17,-0.8629913749918806
2014-09-18,-0.8394411132237444
2014-09-19,-0.8473309711816203
2014-09-22,-0.8244547344523907
2014-09-23,-0.8905347500336166
2014-09-24,-0.8865888725193849
2014-09-25,-0.9334774157039977
2014-09-26,-1.1586788492069897
2014-09-29,-1.184611872494198
2014-09-30,-1.1512855803652904
2014-10-01,-1.121816327906038
2014-10-02,-1.2377928814200172
2014-10-03,-1.2006554969835084
2014-10-06,-1.2406716805294562
2014-10-07,-1.2094038172433494
2014-10-08,-1.3283869787742553
2014-10-09,-1.4795413587170554
2014-10-10,-1.6580982821922534
2014-10-13,-1.7563251353878735
2014-10-14,-1.8161484197040434
2014-10-15,-1.7634508311537438
2014-10-16,-1.7238763309654772
2014-10-17,-1.6714092193591938
2014-10-20,-1.6826256860086752
2014-10-21,-1.693399565429894
2014-10-22,-1.8569061093271075
2014-10-23,-1.8277302349535993
2014-10-24,-1.860026346226856
2014-10-27,-1.825130789749178
2014-10-28,-1.7696469109152742
2014-10-29,-1.8136800011113796
2014-10-30,-1.7609658549401421
2014-10-31,-1.7189780663437668
2014-11-03,-1.7452456329267714
2014-11-04,-1.6924024237657673
2014-11-05,-1.645486953740992
2014-11-06,-1.598602520654887
2014-11-07,-1.5574511487663971
2014-11-10,-1.5101216302053702
2014-11-11,-1.4713396337975462
2014-11-12,-1.4274901970396445
2014-11-13,-1.3848629911191306
2014-11-14,-1.3430606504175926
2014-11-17,-1.3027897923880358
2014-11-18,-1.2645590953757824
2014-11-19,-1.2489799471456386
2014-11-20,-1.2195935494158594
2014-11-21,-1.192167561414676
2014-11-24,-1.1658956950731911
2014-11-25,-1.1547522036032656
2014-11-26,-1.1196095815816378
2014-11-28,-1.100185499273194
2014-12-01,-1.0671845451126967
2014-12-02,-1.1129941127677045
2014-12-03,-1.1074716399930702
2014-12-04,-1.084804675458387
2014-12-05,-1.0527047444896538
2014-12-08,-1.023866006833661
2014-12-09,-1.0418419393643474
2014-12-10,-1.015490580310882
2014-12-11,-1.1986279746259925
2014-12-12,-1.178313765586522
2014-12-15,-1.274106557975656
2014-12-16,-1.2809566058432242
2014-12-17,-1.312351484188093
2014-12-18,-1.5184936793688837
2014-12-19,-1.7384889241193715
2014-12-22,-1.6934645022906674
2014-12-23,-1.6482045897414426
2014-12-24,-1.5983215520156817
2014-12-26,-1.5499442263915584
2014-12-29,-1.516914643158568
2014-12-30,-1.470808187901118
2014-12-31,-1.4432725133227897
2015-01-02,-1.4510599662074453
2015-01-05,-1.4076128999956823
2015-01-06,-1.529489417454635
2015-01-07,-1.5469952504767936
2015-01-08,-1.5762040131203934
2015-01-09,-1.6914965793219063
2015-01-12,-1.6684727527822463
2015-01-13,-1.6515597963021482
2015-01-14,-1.6026013166217807
2015-01-15,-1.5683833907747367
2015-01-16,-1.5966347082148187
2015-01-20,-1.6417426309849534
2015-01-21,-1.596244488480533
2015-01-22,-1.5548129866293579
2015-01-23,-1.6457174491668611
2015-01-26,-1.5975485306142811
2015-01-27,-1.5528073734775565
2015-01-28,-1.6423078555358892
2015-01-29,-1.6578994315400282
2015-01-30,-1.653439659622706
2015-02-02,-1.6710308447140625
2015-02-03,-1.6784956257437662
2015-02-04,-1.7046649694751226
2015-02-05,-1.6579173068127573
2015-02-06,-1.6593533328422532
2015-02-09,-1.6164144145170898
2015-02-10,-1.575727679998889
2015-02-11,-1.599844629785076
2015-02-12,-1.552128621535075
2015-02-13,-1.564731912183336
2015-02-17,-1.5346425295615445
2015-02-18,-1.4888888887700131
2015-02-19,-1.4437113626656017
2015-02-20,-1.4007620043080002
2015-02-23,-1.381008239643808
2015-02-24,-1.3390124851552547
2015-02-25,-1.3009687029910917
2015-02-26,-1.2614852256864828
2015-02-27,-1.2242567061826657
2015-03-02,-1.1974666174434236
2015-03-03,-1.1999001284154867
2015-03-04,-1.1813390037450977
2015-03-05,-1.1539099544422748
2015-03-06,-1.1221763706262085
2015-03-09,-1.2028588759360295
2015-03-10,-1.1746865391364028
2015-03-11,-1.3286942637924999
2015-03-12,-1.2906702549061986
2015-03-13,-1.323670697909542
2015-03-16,-1.3006711908614703
2015-03-17,-1.3596019217927604
2015-03-18,-1.318638429663769
2015-03-19,-1.3481589349483438
2015-03-20,-1.308457043416114
2015-03-23,-1.3077589502504887
2015-03-24,-1.2716407425178846
2015-03-25,-1.2473732102287483
2015-03-26,-1.4379854985802438
2015-03-27,-1.3979335332268537
2015-03-30,-1.3650814916944578
2015-03-31,-1.4062350671418693
2015-04-01,-1.4123067876820514
2015-04-02,-1.379200167835306
2015-04-06,-1.3408189040403624
2015-04-07,-1.3252383988115126
2015-04-08,-1.2868070622833359
2015-04-09,-1.266821748003157
2015-04-10,-1.2422282463180954
2015-04-13,-1.2194514243390309
2015-04-14,-1.1887552217423827
2015-04-15,-1.1525983782044402
2015-04-16,-1.14286339404801
2015-04-17,-1.1084182087633052
2015-04-20,-1.2014226581976157
2015-04-21,-1.2451741067934743
2015-04-22,-1.208220911785319
2015-04-23,-1.1861991132626695
2015-04-24,-1.157482318094154
2015-04-27,-1.1379154905785887
2015-04-28,-1.1230440478360153
2015-04-29,-1.0894422614137038
2015-04-30,-1.075495087253162
2015-05-01,-1.1731262356660221
2015-05-04,-1.233738837701445
2015-05-05,-1.2008018234023372
2015-05-06,-1.289279625803693
2015-05-07,-1.2615678706729059
2015-05-08,-1.236551879881285
2015-05-11,-1.3006008721346938
2015-05-12,-1.2690633611356572
2015-05-13,-1.2372245217350817
2015-05-14,-1.1996418432877027
2015-05-15,-1.2634766556690467
2015-05-18,-1.2249982401985906
2015-05-19,-1.2014325151767282
2015-05-20,-1.165754008981438
2015-05-21,-1.1303037132224407
2015-05-22,-1.1027030658175112
2015-05-26,-1.0703123846977425
2015-05-27,-1.1246295726354771
