,Copula-GARCH frank
2014-01-15,-1.8016670274439281
2014-01-16,-1.7555177974079312
2014-01-17,-1.677500087942735
2014-01-21,-1.6583383100148559
2014-01-22,-1.5978157169629261
2014-01-23,-1.544659461425063
2014-01-24,-1.5903413408797158
2014-01-27,-2.205274133169258
2014-01-28,-2.1659764986997625
2014-01-29,-1.9762072227630842
2014-01-30,-2.1290266174610837
2014-01-31,-2.2082039354127003
2014-02-03,-2.131230520906614
2014-02-04,-2.7144761147095244
2014-02-05,-2.588122311052634
2014-02-06,-2.4609522620935818
2014-02-07,-2.4384324500489964
2014-02-10,-2.493630723706732
2014-02-11,-2.3494564255194654
2014-02-12,-2.2917506539748045
2014-02-13,-2.1778207152278326
2014-02-14,-2.1040334197190633
2014-02-18,-1.9969783401120522
2014-02-19,-1.8894706312113874
2014-02-20,-1.8975606524201731
2014-02-21,-1.8384326991190503
2014-02-24,-1.7400115106780019
2014-02-25,-1.7137943608726551
2014-02-26,-1.6404463928659234
2014-02-27,-1.5554975491748502
2014-02-28,-1.5346815975638057
2014-03-03,-1.48280923060539
2014-03-04,-1.544430815098261
2014-03-05,-1.8150458593381948
2014-03-06,-1.7405902046079635
2014-03-07,-1.6589102575301984
2014-03-10,-1.5830562269814465
2014-03-11,-1.5282462301125719
2014-03-12,-1.5420326714109198
2014-03-13,-1.471305007380192
2014-03-14,-1.75121244222258
2014-03-17,-1.6908959310539264
2014-03-18,-1.7117212279398104
2014-03-19,-1.7333202017933962
2014-03-20,-1.7220347635301116
2014-03-21,-1.67609223360549
2014-03-24,-1.6922508614614649
2014-03-25,-1.7292325089873821
2014-03-26,-1.6596267203254746
2014-03-27,-1.7997723751945256
2014-03-28,-1.7411613625720455
2014-03-31,-1.657531287593546
2014-04-01,-1.684774272363334
2014-04-02,-1.7917351703549065
2014-04-03,-1.7077381499418083
2014-04-04,-1.6937030462641434
2014-04-07,-2.179199075711604
2014-04-08,-2.224449460581673
2014-04-09,-2.122979551943159
2014-04-10,-2.208072129866085
2014-04-11,-2.870721622015333
2014-04-14,-2.8463456038112422
2014-04-15,-2.668439884380778
2014-04-16,-2.5128834286643356
2014-04-17,-2.4932815976505656
2014-04-21,-2.3328839445043963
2014-04-22,-2.1857325870333253
2014-04-23,-2.1046858688689296
2014-04-24,-2.0354447578896355
2014-04-25,-1.9453194476357782
2014-04-28,-2.0784467535458013
2014-04-29,-1.963342751272694
2014-04-30,-1.8872405826700482
2014-05-01,-1.7908839619609678
2014-05-02,-1.7161936755822909
2014-05-05,-1.622876822472595
2014-05-06,-1.5702634203949557
2014-05-07,-1.7508596633311686
2014-05-08,-1.7004920911972619
2014-05-09,-1.6404738059572177
2014-05-12,-1.5758694524018164
2014-05-13,-1.7412680869026198
2014-05-14,-1.6858592150478362
2014-05-15,-1.65739379028965
2014-05-16,-1.7513574004742494
2014-05-19,-1.6655508914527657
2014-05-20,-1.6363701409063156
2014-05-21,-1.6699724203164266
2014-05-22,-1.6781085098119284
2014-05-23,-1.6172657223435118
2014-05-27,-1.585007447886091
2014-05-28,-1.6107262582787893
2014-05-29,-1.56606859080233
2014-05-30,-1.5321559281923007
2014-06-02,-1.4763006122562365
2014-06-03,-1.4211270446686042
2014-06-04,-1.3565576035188753
2014-06-05,-1.3189944924499184
2014-06-06,-1.3805045434640644
2014-06-09,-1.3660840902716802
2014-06-10,-1.3255388825875873
2014-06-11,-1.282190887747629
2014-06-12,-1.285899103662492
2014-06-13,-1.3798776364917675
2014-06-16,-1.3391503938279297
2014-06-17,-1.2905581928073688
2014-06-18,-1.2586494017467298
2014-06-19,-1.3091101811220944
2014-06-20,-1.2554478387527386
2014-06-23,-1.218302315950486
2014-06-24,-1.1833284153474481
2014-06-25,-1.2601031471918704
2014-06-26,-1.271721748564593
2014-06-27,-1.2278538498069311
2014-06-30,-1.2030294295355122
2014-07-01,-1.1819037390450395
2014-07-02,-1.2832773063388034
2014-07-03,-1.2402223168580042
2014-07-07,-1.2499416675904085
2014-07-08,-1.3201604898275114
2014-07-09,-1.502805319855523
2014-07-10,-1.4751879061278708
2014-07-11,-1.4613142182134549
2014-07-14,-1.407616331511823
2014-07-15,-1.399916078670448
2014-07-16,-1.3749879892114787
2014-07-17,-1.3470612355296947
2014-07-18,-1.6436577602763038
2014-07-21,-1.7733302059660092
2014-07-22,-1.6826014945801433
2014-07-23,-1.6455832955114522
2014-07-24,-1.5827117104182997
2014-07-25,-1.5192024194983547
2014-07-28,-1.505241912572345
2014-07-29,-1.4450215209676684
2014-07-30,-1.41782776160896
2014-07-31,-1.37110703637044
2014-08-01,-2.0097546309735126
2014-08-04,-1.916058705101193
2014-08-05,-1.8796909114880878
2014-08-06,-1.8832650356419507
2014-08-07,-1.799208218363748
2014-08-08,-1.7455896860974447
2014-08-11,-1.7899035537552717
2014-08-12,-1.7254641194199591
2014-08-13,-1.6557148564680209
2014-08-14,-1.6448552077109722
2014-08-15,-1.5870604794943053
2014-08-18,-1.5196984304207006
2014-08-19,-1.5566030699692697
2014-08-20,-1.5146564925646742
2014-08-21,-1.4687211935444116
2014-08-22,-1.4146035986784948
2014-08-25,-1.3562540704894372
2014-08-26,-1.326059043277853
2014-08-27,-1.2801732911686101
2014-08-28,-1.2430935307349984
2014-08-29,-1.236563867527733
2014-09-02,-1.220263650781402
2014-09-03,-1.1841136567011932
2014-09-04,-1.1991362127147194
2014-09-05,-1.1933448782092655
2014-09-08,-1.1826292589480092
2014-09-09,-1.1816583951470756
2014-09-10,-1.2926702576935407
2014-09-11,-1.2950015547925957
2014-09-12,-1.252798322287539
2014-09-15,-1.3002530716104699
2014-09-16,-1.3871913875680095
2014-09-17,-1.4040191456448847
2014-09-18,-1.363586126241739
2014-09-19,-1.3492354507083941
2014-09-22,-1.3084187634944926
2014-09-23,-1.4708344571871763
2014-09-24,-1.4870936333085167
2014-09-25,-1.537913413872199
2014-09-26,-1.9966948606174237
2014-09-29,-1.9751950308705226
2014-09-30,-1.8520906926526646
2014-10-01,-1.7706167405256974
2014-10-02,-1.9970586691964933
2014-10-03,-1.8848278328082761
2014-10-06,-1.9316249952609328
2014-10-07,-1.8351995745856458
2014-10-08,-2.091918503717648
2014-10-09,-2.3162128378226248
2014-10-10,-2.6354069498675683
2014-10-13,-2.7994575631741165
2014-10-14,-2.876221662842923
2014-10-15,-2.708204136844221
2014-10-16,-2.5584268803449017
2014-10-17,-2.4015868758903576
2014-10-20,-2.376868512307645
2014-10-21,-2.3724705615604638
2014-10-22,-2.6507430772888743
2014-10-23,-2.5379914927977745
2014-10-24,-2.5677939016499054
2014-10-27,-2.4505206925705587
2014-10-28,-2.3099185776044497
2014-10-29,-2.37085647325669
2014-10-30,-2.245017666666035
2014-10-31,-2.114143414797905
2014-11-03,-2.180194620821539
2014-11-04,-2.0601934481299566
2014-11-05,-1.9531516540898946
2014-11-06,-1.863609375872186
2014-11-07,-1.7821661340653332
2014-11-10,-1.695430748670533
2014-11-11,-1.6449599153139842
2014-11-12,-1.5667247088531722
2014-11-13,-1.4855218613664214
2014-11-14,-1.4181862519738977
2014-11-17,-1.3614668619193895
2014-11-18,-1.3244664903808916
2014-11-19,-1.3247525026471942
2014-11-20,-1.3157399138341306
2014-11-21,-1.3008702024297882
2014-11-24,-1.2678266147216706
2014-11-25,-1.2958840265241665
2014-11-26,-1.2417459495378578
2014-11-28,-1.230772831330194
2014-12-01,-1.208121966294196
2014-12-02,-1.4126885554962845
2014-12-03,-1.4084890671974342
2014-12-04,-1.3659180200853582
2014-12-05,-1.3265760518663476
2014-12-08,-1.2802603592042772
2014-12-09,-1.3876065984715054
2014-12-10,-1.3436857438941117
2014-12-11,-1.8170916760192495
2014-12-12,-1.7371518519127553
2014-12-15,-1.9787899063522825
2014-12-16,-1.9768514062188847
2014-12-17,-2.053826940694152
2014-12-18,-2.397711537417026
2014-12-19,-2.7941717330239877
2014-12-22,-2.5938683407968735
2014-12-23,-2.389497544209822
2014-12-24,-2.2237217359946575
2014-12-26,-2.1009713023138423
2014-12-29,-1.9900676704847309
2014-12-30,-1.8609291203733704
2014-12-31,-1.785343518383846
2015-01-02,-1.8591263544061418
2015-01-05,-1.750480601925225
2015-01-06,-2.1183350368026477
2015-01-07,-2.159042108053458
2015-01-08,-2.1999299698613193
2015-01-09,-2.421004009450408
2015-01-12,-2.3082564211692556
2015-01-13,-2.24703871999848
2015-01-14,-2.096624955325384
2015-01-15,-2.0099065776933247
2015-01-16,-2.1088467429624003
2015-01-20,-2.179444951957565
2015-01-21,-2.0329883822131887
2015-01-22,-1.9079433923074431
2015-01-23,-2.12165244751475
2015-01-26,-2.002358600430685
2015-01-27,-1.9014191696501317
2015-01-28,-2.1782704574922227
2015-01-29,-2.2714342422930525
2015-01-30,-2.1819560257214974
2015-02-02,-2.2719456263535203
2015-02-03,-2.2233322520575305
2015-02-04,-2.250753339255783
2015-02-05,-2.1337510948985288
2015-02-06,-2.081331448810854
2015-02-09,-1.96537463188638
2015-02-10,-1.8634573208511422
2015-02-11,-1.9255019425767745
2015-02-12,-1.794754196014674
2015-02-13,-1.831452562208456
2015-02-17,-1.7496399488394851
2015-02-18,-1.6351144864235947
2015-02-19,-1.5603015164216687
2015-02-20,-1.4839978185708929
2015-02-23,-1.468522257716123
2015-02-24,-1.3796542434581354
2015-02-25,-1.3189498557010675
2015-02-26,-1.2803629339503322
2015-02-27,-1.2544390845000435
