,CCC-GARCH
2014-04-22,-1.620794314380162
2014-04-23,-1.5559778569986387
2014-04-24,-1.5028823289719158
2014-04-25,-1.423374271305918
2014-04-28,-1.5334572087698122
2014-04-29,-1.4484220419021312
2014-04-30,-1.3924938024239002
2014-05-01,-1.320220490316639
2014-05-02,-1.2527069112886486
2014-05-05,-1.1947046045805187
2014-05-06,-1.1442308767934488
2014-05-07,-1.279353876539187
2014-05-08,-1.241348157821567
2014-05-09,-1.1968760545228463
2014-05-12,-1.1487985600672883
2014-05-13,-1.2827822292310391
2014-05-14,-1.2298241967955443
2014-05-15,-1.225966810909893
2014-05-16,-1.28077706945254
2014-05-19,-1.230864196635089
2014-05-20,-1.206263105059131
2014-05-21,-1.2201673212063795
2014-05-22,-1.2264303366805107
2014-05-23,-1.1812746991664878
2014-05-27,-1.1569471838654317
2014-05-28,-1.1864912376926147
2014-05-29,-1.1417608552644896
2014-05-30,-1.1164953367833546
2014-06-02,-1.075230393845307
2014-06-03,-1.034054128331795
2014-06-04,-0.9975928124540496
2014-06-05,-0.9668470417150654
2014-06-06,-1.0152158731643004
2014-06-09,-1.0052833102192447
2014-06-10,-0.9717847254765077
2014-06-11,-0.9390773314633208
2014-06-12,-0.9330079715600859
2014-06-13,-1.0124957791843547
2014-06-16,-0.9804419464473282
2014-06-17,-0.9470968879526905
2014-06-18,-0.9222699663156462
2014-06-19,-0.9506365860162111
2014-06-20,-0.9216112710154849
2014-06-23,-0.8928371493661776
2014-06-24,-0.8679735055351065
2014-06-25,-0.9141734383620912
2014-06-26,-0.9228105087805138
2014-06-27,-0.8985294461749445
2014-06-30,-0.879458292556924
2014-07-01,-0.8562190553776755
2014-07-02,-0.9404607268173422
2014-07-03,-0.9081805804099775
2014-07-07,-0.9161912361194746
2014-07-08,-0.9583573395580597
2014-07-09,-1.1052619231075742
2014-07-10,-1.0841060750174376
2014-07-11,-1.077271119678441
2014-07-14,-1.0353894837572235
2014-07-15,-1.0177974810698072
2014-07-16,-1.0080909097951634
2014-07-17,-0.9786053724362614
2014-07-18,-1.200248703519559
2014-07-21,-1.305558448003725
2014-07-22,-1.2445193247125792
2014-07-23,-1.2096102445142167
2014-07-24,-1.1541397067808246
2014-07-25,-1.1003987926515388
2014-07-28,-1.0967448184875643
2014-07-29,-1.0517302455077535
2014-07-30,-1.0318575073042482
2014-07-31,-0.9968559843536865
2014-08-01,-1.4893959720680867
2014-08-04,-1.4178477687822584
2014-08-05,-1.3768232701970868
2014-08-06,-1.3934946597952678
2014-08-07,-1.3173525994921833
2014-08-08,-1.2882617052724297
2014-08-11,-1.3092601444264926
2014-08-12,-1.261296456230705
2014-08-13,-1.2091654812093482
2014-08-14,-1.2151577756935357
2014-08-15,-1.1695015363139007
2014-08-18,-1.1190580891012158
2014-08-19,-1.1475555075498
2014-08-20,-1.1152152324191444
2014-08-21,-1.070059995656239
2014-08-22,-1.0298255301676913
2014-08-25,-0.9950305432943046
2014-08-26,-0.9744577165094938
2014-08-27,-0.9392023661235576
2014-08-28,-0.9107072815248191
2014-08-29,-0.8965866771446628
2014-09-02,-0.8843537007254029
2014-09-03,-0.8663857724425704
2014-09-04,-0.8765908257765279
2014-09-05,-0.8645575198043989
2014-09-08,-0.8658313376605141
2014-09-09,-0.8564093631037009
2014-09-10,-0.9499455122341253
2014-09-11,-0.9513945683653364
2014-09-12,-0.9189237206686866
2014-09-15,-0.9561800685644347
2014-09-16,-1.0093677123392797
2014-09-17,-1.0325159884744695
2014-09-18,-0.9922205955004153
2014-09-19,-0.9899134657996939
2014-09-22,-0.9636913022385729
2014-09-23,-1.0838631195551742
2014-09-24,-1.0850498971362175
2014-09-25,-1.1227631792014474
2014-09-26,-1.4647973282878806
2014-09-29,-1.448737989302121
2014-09-30,-1.3719315303649409
2014-10-01,-1.3099070735729639
2014-10-02,-1.4816190690943174
2014-10-03,-1.3962191026728572
2014-10-06,-1.4173156115962444
2014-10-07,-1.356777140375693
2014-10-08,-1.5373261865068577
2014-10-09,-1.7040653057385133
2014-10-10,-1.9609706379384808
2014-10-13,-2.0869449941062017
2014-10-14,-2.1386696154639226
2014-10-15,-1.9962125511349575
2014-10-16,-1.9048715103041298
2014-10-17,-1.7855977690698988
2014-10-20,-1.7680299265487491
2014-10-21,-1.7462791092964012
2014-10-22,-1.953166637704764
2014-10-23,-1.8837244480101614
2014-10-24,-1.8912213146166514
2014-10-27,-1.8038434683762283
2014-10-28,-1.6990800866841964
2014-10-29,-1.7439449477790272
2014-10-30,-1.6501843969088623
2014-10-31,-1.5731820841104405
2014-11-03,-1.6017306463639907
2014-11-04,-1.5122865541443518
2014-11-05,-1.4443890397070687
2014-11-06,-1.3795168302963228
2014-11-07,-1.3181073477618122
2014-11-10,-1.25338116393131
2014-11-11,-1.2026448261045541
2014-11-12,-1.1442609692772991
2014-11-13,-1.0955697390434498
2014-11-14,-1.0462794417677048
2014-11-17,-1.0035006136770723
2014-11-18,-0.9746563813559548
2014-11-19,-0.9729790107736788
2014-11-20,-0.9672247106792837
2014-11-21,-0.944693715604394
2014-11-24,-0.9311836794025198
2014-11-25,-0.9404685579289047
2014-11-26,-0.9122074125944832
2014-11-28,-0.9025446447029376
2014-12-01,-0.886338273958592
2014-12-02,-1.0398084306077493
2014-12-03,-1.037574195341232
2014-12-04,-1.0080568073301768
2014-12-05,-0.9753836952577546
2014-12-08,-0.9405121636254495
2014-12-09,-1.0195064463313226
2014-12-10,-0.9907686572121247
2014-12-11,-1.3442010857218853
2014-12-12,-1.2873902376152366
2014-12-15,-1.4681095748177218
2014-12-16,-1.464051606391235
2014-12-17,-1.506912501410414
2014-12-18,-1.7729799412921412
2014-12-19,-2.0571914171787107
2014-12-22,-1.9080754936578228
2014-12-23,-1.7733979525129642
2014-12-24,-1.6547563620696535
2014-12-26,-1.5409429304339435
2014-12-29,-1.4582039442072827
2014-12-30,-1.3618883208605201
2014-12-31,-1.3214486346469496
2015-01-02,-1.3742191674411322
2015-01-05,-1.2939045936284668
2015-01-06,-1.573344326783302
2015-01-07,-1.6040714602974058
2015-01-08,-1.6145016469463642
2015-01-09,-1.779154613156619
2015-01-12,-1.715882321282372
2015-01-13,-1.6702233457820144
2015-01-14,-1.5568531159238512
2015-01-15,-1.490084754355475
2015-01-16,-1.5638179670474406
2015-01-20,-1.6187684745177717
2015-01-21,-1.5083650070649843
2015-01-22,-1.4142418363988245
2015-01-23,-1.5792016295749565
2015-01-26,-1.4898157763949924
2015-01-27,-1.391616899975311
2015-01-28,-1.6185297088416488
2015-01-29,-1.6677504007929773
2015-01-30,-1.6211981673457825
2015-02-02,-1.668263609505091
2015-02-03,-1.6528070597111926
2015-02-04,-1.6738105463582886
2015-02-05,-1.5676915453018982
2015-02-06,-1.546287845493758
2015-02-09,-1.4597503798247347
2015-02-10,-1.3857141954779815
2015-02-11,-1.4285635907076597
2015-02-12,-1.3299563727051593
2015-02-13,-1.3569402724756026
2015-02-17,-1.2943455580849101
2015-02-18,-1.2097738809779708
2015-02-19,-1.1367426150764888
2015-02-20,-1.0797951352755724
2015-02-23,-1.068269743242825
2015-02-24,-1.0137462688573406
2015-02-25,-0.9687037667953452
2015-02-26,-0.931239610659756
2015-02-27,-0.9083271880850546
2015-03-02,-0.9198623138776633
2015-03-03,-0.9618829827663787
2015-03-04,-0.9860973552358658
2015-03-05,-0.9820655519005075
2015-03-06,-0.9423816330326633
2015-03-09,-1.216352377207411
2015-03-10,-1.1502419884829223
2015-03-11,-1.5077347763422035
2015-03-12,-1.3997027084854943
2015-03-13,-1.4277093270947487
2015-03-16,-1.3714265832751964
2015-03-17,-1.4478519669416596
2015-03-18,-1.3507605201476558
2015-03-19,-1.3842065700973816
2015-03-20,-1.3067268284581202
2015-03-23,-1.2857748813994865
2015-03-24,-1.2136464035089694
2015-03-25,-1.1869316697741292
2015-03-26,-1.616844565376757
2015-03-27,-1.5017175544094123
2015-03-30,-1.4012982647935224
2015-03-31,-1.4543431374615259
2015-04-01,-1.4723520474013543
2015-04-02,-1.3924484019694594
2015-04-06,-1.2994912597166859
2015-04-07,-1.2560344277724578
2015-04-08,-1.184930511924805
2015-04-09,-1.147361517911485
2015-04-10,-1.1030904019753673
2015-04-13,-1.07174683550745
2015-04-14,-1.0502221296698173
2015-04-15,-1.0053782704410215
2015-04-16,-1.00422253472643
2015-04-17,-0.9629292832056244
2015-04-20,-1.2396721362069134
2015-04-21,-1.2995413439076702
2015-04-22,-1.2210954517223593
2015-04-23,-1.169099703108325
2015-04-24,-1.1090097976629827
2015-04-27,-1.0705322380448898
2015-04-28,-1.076873739196794
2015-04-29,-1.0288244455905118
2015-04-30,-1.0390938452409573
2015-05-01,-1.2854878427419574
2015-05-04,-1.364748120797692
2015-05-05,-1.2734955617337307
2015-05-06,-1.463291428983207
2015-05-07,-1.3879963203992665
2015-05-08,-1.307049100421214
2015-05-11,-1.4106903046083552
2015-05-12,-1.3400386050938624
2015-05-13,-1.2710498650594753
2015-05-14,-1.1881947308124408
2015-05-15,-1.2979333719077901
2015-05-18,-1.2112596293264657
2015-05-19,-1.1555195711893864
2015-05-20,-1.0938091960157177
2015-05-21,-1.039142143720693
2015-05-22,-0.9951034269305509
2015-05-26,-0.9623509519586926
2015-05-27,-1.1490383568719538
2015-05-28,-1.2546621008090184
2015-05-29,-1.1809633998090345
2015-06-01,-1.1825914562354212
2015-06-02,-1.1130881383250673
2015-06-03,-1.0601771412614025
2015-06-04,-1.0169694842234327
2015-06-05,-1.111089365978059
2015-06-08,-1.054694260974236
2015-06-09,-1.1161006226958918
2015-06-10,-1.060248703303267
2015-06-11,-1.2038663978913708
2015-06-12,-1.1340130331007037
2015-06-15,-1.1567374331559022
2015-06-16,-1.1338142415142598
2015-06-17,-1.1062274342083631
2015-06-18,-1.0521547430250031
2015-06-19,-1.1722156793750886
2015-06-22,-1.1486850085376883
2015-06-23,-1.1337273207844725
2015-06-24,-1.0743483682784396
2015-06-25,-1.125489707034833
2015-06-26,-1.0844784531666793
2015-06-29,-1.0640408174899743
2015-06-30,-1.6796309413563844
2015-07-01,-1.5612792891728944
2015-07-02,-1.4823734451733064
2015-07-06,-1.380850217489323
2015-07-07,-1.315751235688029
2015-07-08,-1.2573697418276333
2015-07-09,-1.562859728282974
2015-07-10,-1.45466197006823
2015-07-13,-1.5400526791334834
