,Copula-GARCH student
2014-01-15,-1.9231487557323026
2014-01-16,-1.8718145555236487
2014-01-17,-1.7880905358069012
2014-01-21,-1.7541203337247677
2014-01-22,-1.699835165800534
2014-01-23,-1.6338541669645805
2014-01-24,-1.6961310325703887
2014-01-27,-2.3321221048592986
2014-01-28,-2.308159047093834
2014-01-29,-2.1951268331427602
2014-01-30,-2.251187572062092
2014-01-31,-2.349634001181308
2014-02-03,-2.2681592900522123
2014-02-04,-2.8896271768253636
2014-02-05,-2.7527194279121576
2014-02-06,-2.6012533232677577
2014-02-07,-2.5777859343562097
2014-02-10,-2.6390736331535734
2014-02-11,-2.483835771741768
2014-02-12,-2.448145881198407
2014-02-13,-2.3028228333959047
2014-02-14,-2.224808613267799
2014-02-18,-2.111815875878671
2014-02-19,-2.0140714897420384
2014-02-20,-2.0066003317008305
2014-02-21,-1.9444007891037733
2014-02-24,-1.855639670199696
2014-02-25,-1.812966505288189
2014-02-26,-1.7355188196140883
2014-02-27,-1.6588131083128348
2014-02-28,-1.6238678929777979
2014-03-03,-1.568981883409848
2014-03-04,-1.6342072102335783
2014-03-05,-1.9419304333528304
2014-03-06,-1.8415008104612742
2014-03-07,-1.755235609091283
2014-03-10,-1.6884948752557525
2014-03-11,-1.6172329757129955
2014-03-12,-1.6316931610166288
2014-03-13,-1.5695566981949416
2014-03-14,-1.8521553707592269
2014-03-17,-1.78846060184575
2014-03-18,-1.8107476745470077
2014-03-19,-1.8479431057717066
2014-03-20,-1.8360781132340718
2014-03-21,-1.7729514207972623
2014-03-24,-1.7890708909949251
2014-03-25,-1.8459497149501265
2014-03-26,-1.7688107580197598
2014-03-27,-1.9004249152294552
2014-03-28,-1.8384939097444497
2014-03-31,-1.765241247573085
2014-04-01,-1.791727194843544
2014-04-02,-1.890927858086797
2014-04-03,-1.8026773486946877
2014-04-04,-1.7868257183537832
2014-04-07,-2.294683314143281
2014-04-08,-2.368289668530462
2014-04-09,-2.2565169740342994
2014-04-10,-2.3443661693648163
2014-04-11,-3.056702279266037
2014-04-14,-3.000878591738126
2014-04-15,-2.8380176273245072
2014-04-16,-2.672630149874167
2014-04-17,-2.6308247815899084
2014-04-21,-2.4618604016838868
2014-04-22,-2.3318908791217234
2014-04-23,-2.2402305466090824
2014-04-24,-2.1650314810631017
2014-04-25,-2.052414006736892
2014-04-28,-2.2077905549547565
2014-04-29,-2.08752365878461
2014-04-30,-2.0084545720024
2014-05-01,-1.906381969968398
2014-05-02,-1.811002968236724
2014-05-05,-1.728984471684517
2014-05-06,-1.6580537613030188
2014-05-07,-1.848251029017849
2014-05-08,-1.795723699246606
2014-05-09,-1.7324923681011895
2014-05-12,-1.6643647749767132
2014-05-13,-1.8545679595222604
2014-05-14,-1.7791387952559554
2014-05-15,-1.7733284762331851
2014-05-16,-1.8498335995609618
2014-05-19,-1.7793401683875547
2014-05-20,-1.7445498111288733
2014-05-21,-1.7642275606909137
2014-05-22,-1.7732343754612079
2014-05-23,-1.7088932067896676
2014-05-27,-1.6747447722668547
2014-05-28,-1.7170880146218197
2014-05-29,-1.6542229402535897
2014-05-30,-1.6188884631438347
2014-06-02,-1.559914038731814
2014-06-03,-1.5018267205306948
2014-06-04,-1.4502083421853462
2014-06-05,-1.407789747477976
2014-06-06,-1.4765684064563023
2014-06-09,-1.4621943077886044
2014-06-10,-1.4149152866870167
2014-06-11,-1.3690397436952109
2014-06-12,-1.359986089220024
2014-06-13,-1.4720668035373896
2014-06-16,-1.4272927273811868
2014-06-17,-1.379921553108114
2014-06-18,-1.3447330583213664
2014-06-19,-1.3852369061464622
2014-06-20,-1.3438785906588062
2014-06-23,-1.3034453059741222
2014-06-24,-1.2681728852086254
2014-06-25,-1.3336670456035415
2014-06-26,-1.3459157626906104
2014-06-27,-1.3110754092011037
2014-06-30,-1.2840221528621727
2014-07-01,-1.250972741240223
2014-07-02,-1.3705955254568911
2014-07-03,-1.324870287238106
2014-07-07,-1.336619910920217
2014-07-08,-1.3957999118067361
2014-07-09,-1.6032515159152858
2014-07-10,-1.573053736460077
2014-07-11,-1.563092310765966
2014-07-14,-1.503904217147303
2014-07-15,-1.4792367488078473
2014-07-16,-1.4651667752312616
2014-07-17,-1.4235899403457262
2014-07-18,-1.7367320054879345
2014-07-21,-1.8862685708629827
2014-07-22,-1.7997725961214521
2014-07-23,-1.7506793225382062
2014-07-24,-1.6720605088584177
2014-07-25,-1.5960897507626404
2014-07-28,-1.5908080560194933
2014-07-29,-1.5272788860678663
2014-07-30,-1.49899450844702
2014-07-31,-1.4496003021032857
2014-08-01,-2.1457925870469188
2014-08-04,-2.0445536726603954
2014-08-05,-1.9867479777616914
2014-08-06,-2.009902971349271
2014-08-07,-1.9019577041847533
2014-08-08,-1.8607042770709876
2014-08-11,-1.8922565997440413
2014-08-12,-1.8242729972631295
2014-08-13,-1.7506904964089773
2014-08-14,-1.759135127878213
2014-08-15,-1.6946323275276798
2014-08-18,-1.622917304940629
2014-08-19,-1.6635643091885117
2014-08-20,-1.617457939196946
2014-08-21,-1.5533778696343352
2014-08-22,-1.4962566893704798
2014-08-25,-1.4469743875750678
2014-08-26,-1.4181548092969263
2014-08-27,-1.369310840587343
2014-08-28,-1.3285956339657476
2014-08-29,-1.3084445473047444
2014-09-02,-1.2911986591076285
2014-09-03,-1.2654773699020374
2014-09-04,-1.2794155513424068
2014-09-05,-1.2621019442911101
2014-09-08,-1.2639111627403892
2014-09-09,-1.2499724508712358
2014-09-10,-1.3816369534942141
2014-09-11,-1.383751210967789
2014-09-12,-1.3374570474128784
2014-09-15,-1.3895799527081847
2014-09-16,-1.4648448206724511
2014-09-17,-1.4980251486087297
2014-09-18,-1.4406949601187524
2014-09-19,-1.4375136946573601
2014-09-22,-1.400211906489622
2014-09-23,-1.5699776666507828
2014-09-24,-1.5710752867250688
2014-09-25,-1.6246520827930855
2014-09-26,-2.10858289921762
2014-09-29,-2.0860412704383826
2014-09-30,-1.977093429852128
2014-10-01,-1.888949280630927
2014-10-02,-2.131672167451477
2014-10-03,-2.010705168435046
2014-10-06,-2.0408123679316374
2014-10-07,-1.9547367316716184
2014-10-08,-2.2099916236641763
2014-10-09,-2.446864305778594
2014-10-10,-2.8103564574815647
2014-10-13,-2.988482504602508
2014-10-14,-3.061588213835569
2014-10-15,-2.8597938843514754
2014-10-16,-2.730155457706648
2014-10-17,-2.5611819715752278
2014-10-20,-2.5366348963584304
2014-10-21,-2.5060522187722785
2014-10-22,-2.7994980221358383
2014-10-23,-2.7010462351049527
2014-10-24,-2.711901594538761
2014-10-27,-2.588281545236302
2014-10-28,-2.439961108065658
2014-10-29,-2.503878050936257
2014-10-30,-2.371097487009967
2014-10-31,-2.262122018322224
2014-11-03,-2.3029113089988287
2014-11-04,-2.1762948681852277
2014-11-05,-2.0802191367688048
2014-11-06,-1.9885435014035693
2014-11-07,-1.9018716974960264
2014-11-10,-1.810364565880527
2014-11-11,-1.738343478052573
2014-11-12,-1.6558383434011041
2014-11-13,-1.5869414532429016
2014-11-14,-1.5173290638338401
2014-11-17,-1.4569347810480637
2014-11-18,-1.4161052348865466
2014-11-19,-1.4141484348042046
2014-11-20,-1.4058690603416746
2014-11-21,-1.3745467971573417
2014-11-24,-1.355581477196515
2014-11-25,-1.3691234079190733
2014-11-26,-1.3291177349000303
2014-11-28,-1.3157311495118542
2014-12-01,-1.2924409783108806
2014-12-02,-1.5088334438054396
2014-12-03,-1.5060237454365282
2014-12-04,-1.4641133440900018
2014-12-05,-1.4178531981250442
2014-12-08,-1.3690174850028045
2014-12-09,-1.4805690330381223
2014-12-10,-1.4398037436440934
2014-12-11,-1.9394722299216998
2014-12-12,-1.8589092918307266
2014-12-15,-2.114415587276733
2014-12-16,-2.10836699406935
2014-12-17,-2.1684048308213626
2014-12-18,-2.546131925266588
2014-12-19,-2.949205595167214
2014-12-22,-2.738171530061728
2014-12-23,-2.5476261019993136
2014-12-24,-2.379713858718546
2014-12-26,-2.2186897283364737
2014-12-29,-2.101680878607848
2014-12-30,-1.9654827636475636
2014-12-31,-1.908189816500261
2015-01-02,-1.9830533892279274
2015-01-05,-1.8693120599444597
2015-01-06,-2.2644568086138355
2015-01-07,-2.307703426779055
2015-01-08,-2.3227834627263473
2015-01-09,-2.555819881630458
2015-01-12,-2.4660672704939848
2015-01-13,-2.40126276631041
2015-01-14,-2.240767554566182
2015-01-15,-2.1458562180355982
2015-01-16,-2.2500709446447056
2015-01-20,-2.3283640476248744
2015-01-21,-2.172722369542582
2015-01-22,-2.0393645152024136
2015-01-23,-2.2732625203436965
2015-01-26,-2.1468785452019743
2015-01-27,-2.0076413801796837
2015-01-28,-2.3280502004215786
2015-01-29,-2.3972729201909515
2015-01-30,-2.331567412060133
2015-02-02,-2.398102432991415
2015-02-03,-2.376472248643927
2015-02-04,-2.406476536081527
2015-02-05,-2.2556471218843526
2015-02-06,-2.225706746152721
2015-02-09,-2.1031392017051966
2015-02-10,-1.9984093031172927
2015-02-11,-2.0595800487501577
2015-02-12,-1.9201216888162522
2015-02-13,-1.958832339197759
2015-02-17,-1.8707642517692722
2015-02-18,-1.7512963228080682
2015-02-19,-1.6481201109404255
2015-02-20,-1.5675948316322088
2015-02-23,-1.5513736215492027
2015-02-24,-1.4742984100497167
2015-02-25,-1.4109519259160777
2015-02-26,-1.3579601916807384
2015-02-27,-1.325747108206097
2015-03-02,-1.3420988334905966
2015-03-03,-1.4018943382998956
2015-03-04,-1.4359588117161677
2015-03-05,-1.429856576459324
2015-03-06,-1.3739163218349062
2015-03-09,-1.7611323135322263
2015-03-10,-1.6674650577383372
2015-03-11,-2.1730730289607996
2015-03-12,-2.0195750808309145
2015-03-13,-2.060046115981846
2015-03-16,-1.979910256814603
2015-03-17,-2.0883209619493783
2015-03-18,-1.9505917752459978
2015-03-19,-1.9980868749294427
2015-03-20,-1.888230739664131
2015-03-23,-1.8585890700251124
2015-03-24,-1.7562439940386347
2015-03-25,-1.7180902165221084
2015-03-26,-2.3260766560684942
2015-03-27,-2.1628253114233105
2015-03-30,-2.0206287031183083
2015-03-31,-2.096115470119252
2015-04-01,-2.12097922709159
2015-04-02,-2.007845187682532
2015-04-06,-1.8759989881356998
2015-04-07,-1.814595742953635
2015-04-08,-1.7138137308071244
2015-04-09,-1.6606640482478787
