,Copula-GARCH rotated_gumbel
2014-01-13,-1.4278406072268464
2014-01-14,-1.7710896457007972
2014-01-15,-1.9375778623423636
2014-01-16,-1.8858606109068359
2014-01-17,-1.8016136466002255
2014-01-21,-1.7673689010400626
2014-01-22,-1.712702955451228
2014-01-23,-1.6462895017212655
2014-01-24,-1.709161622591053
2014-01-27,-2.3496760158186465
2014-01-28,-2.325650590547073
2014-01-29,-2.2117432215171147
2014-01-30,-2.2681697334486914
2014-01-31,-2.3672374820711153
2014-02-03,-2.285207055528554
2014-02-04,-2.9110367714699947
2014-02-05,-2.773086586794744
2014-02-06,-2.6205564396001426
2014-02-07,-2.596951734505482
2014-02-10,-2.658573728057836
2014-02-11,-2.502207443076345
2014-02-12,-2.4663151497503883
2014-02-13,-2.3199753896677295
2014-02-14,-2.2414030650709162
2014-02-18,-2.1276666451271766
2014-02-19,-2.029256821676042
2014-02-20,-2.0217166958093626
2014-02-21,-1.9591038245699264
2014-02-24,-1.8696761771899404
2014-02-25,-1.8267048396027463
2014-02-26,-1.7487154159194207
2014-02-27,-1.6714827395037961
2014-02-28,-1.6362733379865173
2014-03-03,-1.5810406958723355
2014-03-04,-1.646758012365217
2014-03-05,-1.9566673110551935
2014-03-06,-1.8555039972835767
2014-03-07,-1.7686462491354564
2014-03-10,-1.7014938737665548
2014-03-11,-1.6297003917218047
2014-03-12,-1.6442548935287642
2014-03-13,-1.581663701385197
2014-03-14,-1.8662659477223522
2014-03-17,-1.8020801700268834
2014-03-18,-1.8246231419689758
2014-03-19,-1.862076440552299
2014-03-20,-1.8501388598842101
2014-03-21,-1.7866285932723278
2014-03-24,-1.8028406519402054
2014-03-25,-1.860069004371718
2014-03-26,-1.782447727725797
2014-03-27,-1.9148790248381586
2014-03-28,-1.8524805373731164
2014-03-31,-1.7788043038899568
2014-04-01,-1.805520369721385
2014-04-02,-1.9053481128251009
2014-04-03,-1.8165298955769196
2014-04-04,-1.8005079650303646
2014-04-07,-2.3117194213342422
2014-04-08,-2.386208348825507
2014-04-09,-2.273603595584476
2014-04-10,-2.3620532449770937
2014-04-11,-3.0794886330745017
2014-04-14,-3.023279886020076
2014-04-15,-2.8594011326031534
2014-04-16,-2.6929229694817547
2014-04-17,-2.65081531211468
2014-04-21,-2.480607107950908
2014-04-22,-2.349691869075345
2014-04-23,-2.257325923746284
2014-04-24,-2.1815607652028732
2014-04-25,-2.0681437490741397
2014-04-28,-2.224509828855414
2014-04-29,-2.103459321925673
2014-04-30,-2.0238135151317564
2014-05-01,-1.9209972533013837
2014-05-02,-1.8249322201048384
2014-05-05,-1.742303359956893
2014-05-06,-1.6708315809991405
2014-05-07,-1.8623966547654525
2014-05-08,-1.809625182976291
2014-05-09,-1.745868968093607
2014-05-12,-1.6772598770628913
2014-05-13,-1.8687651250713948
2014-05-14,-1.792801314323726
2014-05-15,-1.7869608194812652
2014-05-16,-1.8642745852674765
2014-05-19,-1.7932477609789637
2014-05-20,-1.758178235255367
2014-05-21,-1.7780658562652576
2014-05-22,-1.7871852842197042
2014-05-23,-1.7223612631847929
2014-05-27,-1.687947313484502
2014-05-28,-1.7305338398902157
2014-05-29,-1.6672171280333365
2014-05-30,-1.6316691516467658
2014-06-02,-1.572316169720015
2014-06-03,-1.5137972590375424
2014-06-04,-1.4618018187860808
2014-06-05,-1.419124408918352
2014-06-06,-1.488390589376473
2014-06-09,-1.4739553167039376
2014-06-10,-1.4262975421490305
2014-06-11,-1.3800814402051482
2014-06-12,-1.3710019712064179
2014-06-13,-1.4839506984256998
2014-06-16,-1.438843297193929
2014-06-17,-1.391115975577552
2014-06-18,-1.3556325902628776
2014-06-19,-1.3965210491093085
2014-06-20,-1.3548615823151589
2014-06-23,-1.3141286470640288
2014-06-24,-1.2785881975364186
2014-06-25,-1.3446740870300133
2014-06-26,-1.3569310140882382
2014-06-27,-1.321839212509014
2014-06-30,-1.2945705022394507
2014-07-01,-1.2612593023533891
2014-07-02,-1.3817648526441464
2014-07-03,-1.335700850404499
2014-07-07,-1.3475570578906502
2014-07-08,-1.4071482995440459
2014-07-09,-1.6160538067339147
2014-07-10,-1.5856725376469278
2014-07-11,-1.5756317264385296
2014-07-14,-1.5159829949668326
2014-07-15,-1.4911275321049569
2014-07-16,-1.4769268445227361
2014-07-17,-1.4351152343774753
2014-07-18,-1.7506857642218687
2014-07-21,-1.9013157199761823
2014-07-22,-1.8141841790056064
2014-07-23,-1.76472611476623
2014-07-24,-1.6855265979465806
2014-07-25,-1.6089969637085928
2014-07-28,-1.6036384794301128
2014-07-29,-1.5396849112501843
2014-07-30,-1.5112742312991416
2014-07-31,-1.4615253004789395
2014-08-01,-2.1631406787741225
2014-08-04,-2.061032433180507
2014-08-05,-2.002723967615985
2014-08-06,-2.0260910981068956
2014-08-07,-1.9172839481423702
2014-08-08,-1.8756811839997414
2014-08-11,-1.90775943448105
2014-08-12,-1.839213335315699
2014-08-13,-1.765078748613449
2014-08-14,-1.773598998421257
2014-08-15,-1.708584028365667
2014-08-18,-1.6362954025821632
2014-08-19,-1.6771805789971364
2014-08-20,-1.6306365363557598
2014-08-21,-1.5661033785577831
2014-08-22,-1.5085724630106563
2014-08-25,-1.458941685779712
2014-08-26,-1.4299155249219573
2014-08-27,-1.3807382958049443
2014-08-28,-1.3397145432151996
2014-08-29,-1.31939174538338
2014-09-02,-1.3019982127330778
2014-09-03,-1.2760709376481507
2014-09-04,-1.2901011538140537
2014-09-05,-1.2726460933387151
2014-09-08,-1.2745075837788529
2014-09-09,-1.2605471067165097
2014-09-10,-1.393178436952309
2014-09-11,-1.3952834144214779
2014-09-12,-1.348609552967349
2014-09-15,-1.4011736189756396
2014-09-16,-1.4766571147696341
2014-09-17,-1.5101740784414333
2014-09-18,-1.452394959454345
2014-09-19,-1.4491705520224072
2014-09-22,-1.411579948482628
2014-09-23,-1.5825958439092895
2014-09-24,-1.5837725384361463
2014-09-25,-1.637738653348866
2014-09-26,-2.1253154591647
2014-09-29,-2.1025662400272775
2014-09-30,-1.9927615067462527
2014-10-01,-1.9039116647365928
2014-10-02,-2.148404469199397
2014-10-03,-2.026495166818168
2014-10-06,-2.0568260567975303
2014-10-07,-1.9700847787691904
2014-10-08,-2.227238408366348
2014-10-09,-2.465820189565367
2014-10-10,-2.831981768287461
2014-10-13,-3.0113383150908977
2014-10-14,-3.0850452946306217
2014-10-15,-2.881694495390938
2014-10-16,-2.7511464295702064
2014-10-17,-2.5808680214355086
2014-10-20,-2.55622153063782
2014-10-21,-2.525357809672445
2014-10-22,-2.8209248707356327
2014-10-23,-2.721717995468769
2014-10-24,-2.732616984918559
2014-10-27,-2.608077795619528
2014-10-28,-2.45867341319165
2014-10-29,-2.5230319226893134
2014-10-30,-2.389245833885709
2014-10-31,-2.279538443094303
2014-11-03,-2.320626776145899
2014-11-04,-2.193095357134342
2014-11-05,-2.0963067827035125
2014-11-06,-2.00406625903775
2014-11-07,-1.9167704462912414
2014-11-10,-1.8245655196299821
2014-11-11,-1.7520288547743978
2014-11-12,-1.6689096063257416
2014-11-13,-1.5995187292354955
2014-11-14,-1.5294031593097197
2014-11-17,-1.468580067651706
2014-11-18,-1.4274833804221627
2014-11-19,-1.4255272671152313
2014-11-20,-1.417187922676143
2014-11-21,-1.3856773032718224
2014-11-24,-1.3666755964656916
2014-11-25,-1.3802805279724486
2014-11-26,-1.3400233424149388
2014-11-28,-1.326550162647542
2014-12-01,-1.3031895981719366
2014-12-02,-1.5211448235931586
2014-12-03,-1.5184358698151386
2014-12-04,-1.4762434665249022
2014-12-05,-1.4296244356206311
2014-12-08,-1.3804934444863723
2014-12-09,-1.4929374573680996
2014-12-10,-1.4518355839511556
2014-12-11,-1.955569396693021
2014-12-12,-1.874322644998356
2014-12-15,-2.131933924681692
2014-12-16,-2.125868933700309
2014-12-17,-2.186464278324644
2014-12-18,-2.567175685019604
2014-12-19,-2.973438024205826
2014-12-22,-2.7607082684463737
2014-12-23,-2.568622590173661
2014-12-24,-2.3993689378335565
2014-12-26,-2.237087043959371
2014-12-29,-2.119163294695458
2014-12-30,-1.9819026770404928
2014-12-31,-1.9241603610977323
2015-01-02,-1.9996758825368348
2015-01-05,-1.885019002861603
2015-01-06,-2.2833286680974503
2015-01-07,-2.326955407326344
2015-01-08,-2.342110256187886
2015-01-09,-2.576962369824305
2015-01-12,-2.4864958660602365
2015-01-13,-2.421179325963982
2015-01-14,-2.2594277342941766
2015-01-15,-2.1637565830287473
2015-01-16,-2.268806008415467
2015-01-20,-2.3477567539823454
2015-01-21,-2.1909097356175264
2015-01-22,-2.0565105703624926
2015-01-23,-2.2922517274417182
2015-01-26,-2.1649566748780553
2015-01-27,-2.0246514349521205
2015-01-28,-2.3475829637281755
2015-01-29,-2.417546505278994
2015-01-30,-2.351253124342269
2015-02-02,-2.4183098551851843
2015-02-03,-2.3965200618028955
2015-02-04,-2.426744583801328
2015-02-05,-2.2747506587348636
2015-02-06,-2.244543989927429
2015-02-09,-2.120966560458866
2015-02-10,-2.015343241332711
2015-02-11,-2.076992909196597
2015-02-12,-1.9364167462435293
2015-02-13,-1.9753720032390736
2015-02-17,-1.8866621126773455
2015-02-18,-1.7662016672079057
2015-02-19,-1.6621656544907883
2015-02-20,-1.5810166239322012
2015-02-23,-1.5646942926034697
2015-02-24,-1.4870005186423254
2015-02-25,-1.423191120984438
2015-02-26,-1.3697556625949732
2015-02-27,-1.3372906587031765
2015-03-02,-1.3537799069684522
2015-03-03,-1.4140048602562347
2015-03-04,-1.4483375583218325
2015-03-05,-1.442279766386398
2015-03-06,-1.3859311325955157
2015-03-09,-1.7764019270807854
2015-03-10,-1.6819832085749127
2015-03-11,-2.191676832326657
2015-03-12,-2.0369681650040317
2015-03-13,-2.0778433680118242
2015-03-16,-1.9970450933430393
2015-03-17,-2.1062816810503406
2015-03-18,-1.9674403309955202
2015-03-19,-2.0151560053846898
2015-03-20,-1.9044586839223807
2015-03-23,-1.8745847948781806
2015-03-24,-1.7714534265445867
2015-03-25,-1.732972116789622
2015-03-26,-2.3457094915577428
2015-03-27,-2.1811284939222286
2015-03-30,-2.037766954406664
2015-03-31,-2.11395580116707
2015-04-01,-2.1390512233733094
2015-04-02,-2.0249877238376337
2015-04-06,-1.89208642665825
2015-04-07,-1.830202914280805
2015-04-08,-1.7286001573751513
2015-04-09,-1.6749803349959846
2015-04-10,-1.6121964520297893
2015-04-13,-1.5671732738402662
2015-04-14,-1.5365720499551816
2015-04-15,-1.4724570634293752
2015-04-16,-1.4707938686153117
2015-04-17,-1.4117664862773673
2015-04-20,-1.8057666683454838
2015-04-21,-1.8913733947097802
2015-04-22,-1.7794623943277474
2015-04-23,-1.7048650263316614
2015-04-24,-1.6190808406693158
2015-04-27,-1.5657300768359543
2015-04-28,-1.574078008154883
2015-04-29,-1.5053801522734493
2015-04-30,-1.5193896521680674
2015-05-01,-1.8701957777890692
2015-05-04,-1.9837530820891196
2015-05-05,-1.8533895346062566
2015-05-06,-2.1237839137225074
2015-05-07,-2.016056312804178
2015-05-08,-1.9004480355549862
2015-05-11,-2.0487632530547324
2015-05-12,-1.9477171949400165
2015-05-13,-1.848486798420892
2015-05-14,-1.7301547071718164
2015-05-15,-1.8873355949272044
2015-05-18,-1.7637886767723068
2015-05-19,-1.6843190785746438
2015-05-20,-1.596337690248831
2015-05-21,-1.5185528127244283
2015-05-22,-1.4559139421936362
2015-05-26,-1.4097948345348148
2015-05-27,-1.6755929973080224
2015-05-28,-1.8264244269588918
2015-05-29,-1.7211012668925478
2015-06-01,-1.7231302592323687
2015-06-02,-1.6245815749126058
2015-06-03,-1.5486290797243256
2015-06-04,-1.4871927299738252
2015-06-05,-1.621170380994925
2015-06-08,-1.5409101937947491
2015-06-09,-1.6280032983375738
2015-06-10,-1.5473792172590952
2015-06-11,-1.7528313068594263
2015-06-12,-1.6531275223313577
2015-06-15,-1.6852158465619032
2015-06-16,-1.65195742965435
2015-06-17,-1.6124693132438543
2015-06-18,-1.5347528803491466
2015-06-19,-1.7068701715531498
2015-06-22,-1.6730928043320508
2015-06-23,-1.6524551654020945
2015-06-24,-1.567236910239891
2015-06-25,-1.6397560895704058
2015-06-26,-1.5808654293711044
2015-06-29,-1.5510249882938065
2015-06-30,-2.4289371169797715
2015-07-01,-2.260090770926798
2015-07-02,-2.1474795884005387
2015-07-06,-2.002442878266152
2015-07-07,-1.9092543744239814
2015-07-08,-1.8260792638714167
2015-07-09,-2.2616514297567964
2015-07-10,-2.1066189309639833
2015-07-13,-2.2290269882081026
2015-07-14,-2.2926046800404967
2015-07-15,-2.161562531813073
2015-07-16,-2.018437836700376
2015-07-17,-2.035930629144219
2015-07-20,-1.9494373920714245
2015-07-21,-1.8321472337205682
2015-07-22,-1.7645426505811903
2015-07-23,-1.7260116864972104
2015-07-24,-1.7128610568511282
2015-07-27,-1.8878757211199184
2015-07-28,-1.8979975850387647
2015-07-29,-1.9892303411677297
2015-07-30,-1.918893878015031
2015-07-31,-1.8043022369386492
2015-08-03,-1.7102040206507672
2015-08-04,-1.6401918318264814
2015-08-05,-1.5734019301926216
2015-08-06,-1.5372941739953236
2015-08-07,-1.8044645338375123
2015-08-10,-1.7251809673126632
2015-08-11,-1.8994005656245079
2015-08-12,-2.0289023856647885
2015-08-13,-1.894230713159591
2015-08-14,-1.7888927243662702
2015-08-17,-1.7038678841950807
2015-08-18,-1.685318867968797
2015-08-19,-1.650844392705422
2015-08-20,-1.7316489251780762
2015-08-21,-2.662698247195986
2015-08-24,-3.9061799524762377
2015-08-25,-5.109794667645766
2015-08-26,-4.68807376753092
2015-08-27,-5.528106030322873
2015-08-28,-5.37391564281243
2015-08-31,-4.793081746270009
2015-09-01,-4.384166413107431
2015-09-02,-4.827020657876344
2015-09-03,-4.692593989967377
2015-09-04,-4.202885235826781
2015-09-08,-3.9912284673503025
2015-09-09,-4.246984660359003
2015-09-10,-4.00684726130881
2015-09-11,-3.6305727016053555
2015-09-14,-3.273235474850983
2015-09-15,-2.974306300695056
2015-09-16,-2.8806328206648977
2015-09-17,-2.6700217590165742
2015-09-18,-2.426985996654892
2015-09-21,-2.669307264422443
2015-09-22,-2.4356486520180765
2015-09-23,-2.572611963433731
2015-09-24,-2.3574271670148925
2015-09-25,-2.1863098361403708
2015-09-28,-2.100964846170087
2015-09-29,-3.234160151121317
2015-09-30,-2.9592328866370585
2015-10-01,-3.21576269864191
2015-10-02,-2.9230114904585087
2015-10-05,-2.971939662445924
2015-10-06,-3.0727275072765012
2015-10-07,-2.8422965149383104
2015-10-08,-2.6786465895924216
2015-10-09,-2.5162720193051213
2015-10-12,-2.311611424632804
