,Copula-GARCH gaussian
2014-05-28,-1.186512524982409
2014-05-29,-1.1417900164199128
2014-05-30,-1.1165208474105048
2014-06-02,-1.0752557232287037
2014-06-03,-1.0340769376558998
2014-06-04,-0.9976140324882189
2014-06-05,-0.9668909295634659
2014-06-06,-1.0152590207096734
2014-06-09,-1.0053377104355494
2014-06-10,-0.9718343401256895
2014-06-11,-0.9391281043157966
2014-06-12,-0.9330588146870653
2014-06-13,-1.0125468864449523
2014-06-16,-0.9804989550267815
2014-06-17,-0.9471482068418106
2014-06-18,-0.922316846786473
2014-06-19,-0.9506818938333821
2014-06-20,-0.9216549284068306
2014-06-23,-0.892878644447217
2014-06-24,-0.8680117344292579
2014-06-25,-0.91422183966956
2014-06-26,-0.9228618901871088
2014-06-27,-0.8985843613900799
2014-06-30,-0.8795086377702043
2014-07-01,-0.8562648362655286
2014-07-02,-0.9405079159935305
2014-07-03,-0.9082219882237227
2014-07-07,-0.9162296829734575
2014-07-08,-0.9583933546365259
2014-07-09,-1.105302697075593
2014-07-10,-1.0841615418742834
2014-07-11,-1.077318845854016
2014-07-14,-1.0354286832603798
2014-07-15,-1.017830115891725
2014-07-16,-1.008117804432677
2014-07-17,-0.9786265699829247
2014-07-18,-1.2002709968380738
2014-07-21,-1.3055781754310787
2014-07-22,-1.2445329411158979
2014-07-23,-1.2096189909439705
2014-07-24,-1.154144355943037
2014-07-25,-1.1003979610198473
2014-07-28,-1.0967394864694444
2014-07-29,-1.0517427977163005
2014-07-30,-1.0318646106666225
2014-07-31,-0.9968583199815237
2014-08-01,-1.4893972648207732
2014-08-04,-1.4178420788221937
2014-08-05,-1.3768073038087962
2014-08-06,-1.3934684625479081
2014-08-07,-1.3173204520842698
2014-08-08,-1.2882356942199147
2014-08-11,-1.3093019797713101
2014-08-12,-1.261332518229406
2014-08-13,-1.2091991952240475
2014-08-14,-1.2151952914322093
2014-08-15,-1.1695342381943739
2014-08-18,-1.119091714882565
2014-08-19,-1.1475875520613819
2014-08-20,-1.1152665680498235
2014-08-21,-1.070107300301797
2014-08-22,-1.0298699614043867
2014-08-25,-0.9950712513241154
2014-08-26,-0.9744964660521462
2014-08-27,-0.9392539562615139
2014-08-28,-0.9107616314554229
2014-08-29,-0.8966388281389753
2014-09-02,-0.8844043672630224
2014-09-03,-0.8664469452259571
2014-09-04,-0.87665116353959
2014-09-05,-0.8646161128471914
2014-09-08,-0.8658906311206528
2014-09-09,-0.8564900067458786
2014-09-10,-0.9500306248244873
2014-09-11,-0.9514775806906358
2014-09-12,-0.9190050961693762
2014-09-15,-0.9562628869967853
2014-09-16,-1.009452283558207
2014-09-17,-1.0326017759064126
2014-09-18,-0.9923052552029092
2014-09-19,-0.9899976591459032
2014-09-22,-0.963771277071055
2014-09-23,-1.0839536159420653
2014-09-24,-1.0851412159407603
2014-09-25,-1.1228584961220784
2014-09-26,-1.464921103418112
2014-09-29,-1.4488541715673073
2014-09-30,-1.372035558011599
2014-10-01,-1.3100018863460015
2014-10-02,-1.481719869616132
2014-10-03,-1.3963093049694941
2014-10-06,-1.4174024197226693
2014-10-07,-1.3568589171390013
2014-10-08,-1.5374122239834727
2014-10-09,-1.7041539096089413
2014-10-10,-1.9610665348942151
2014-10-13,-2.0870412294700365
2014-10-14,-2.1387614007132667
2014-10-15,-1.9962888172650097
2014-10-16,-1.904943215216212
2014-10-17,-1.7856561336053738
2014-10-20,-1.7680861694584837
2014-10-21,-1.7463252801137246
2014-10-22,-1.9532097738644951
2014-10-23,-1.88375720859235
2014-10-24,-1.8912455645961737
2014-10-27,-1.8038592070513968
2014-10-28,-1.6990887096783711
2014-10-29,-1.7439508629723492
2014-10-30,-1.6501850190788878
2014-10-31,-1.5731787914103448
2014-11-03,-1.6017215787085979
2014-11-04,-1.5122757677937848
2014-11-05,-1.4443733188060588
2014-11-06,-1.3795011646479003
2014-11-07,-1.3180855742101645
2014-11-10,-1.2533555293595355
2014-11-11,-1.2026400053893642
2014-11-12,-1.1442531842558092
2014-11-13,-1.0955596772123444
2014-11-14,-1.0462666765129
2014-11-17,-1.0034826653110225
2014-11-18,-0.9746410800198253
2014-11-19,-0.9729607894859607
2014-11-20,-0.9672088464081001
2014-11-21,-0.9446887204679465
2014-11-24,-0.9311770427393802
2014-11-25,-0.9404599932013896
2014-11-26,-0.9121997538569514
2014-11-28,-0.902537096448287
2014-12-01,-0.8863366398369071
2014-12-02,-1.0398012972603188
2014-12-03,-1.037561666524489
2014-12-04,-1.0080364601767409
2014-12-05,-0.9753670468893022
2014-12-08,-0.9405105007635086
2014-12-09,-1.0195006184096105
2014-12-10,-0.9907604374591064
2014-12-11,-1.3441877335727912
