,Copula-GARCH frank
2014-04-24,-1.5026369591315993
2014-04-25,-1.4313941223275963
2014-04-28,-1.533496979508635
2014-04-29,-1.447785327161022
2014-04-30,-1.3911740183548924
2014-05-01,-1.3190875892428708
2014-05-02,-1.2596875915431436
2014-05-05,-1.1935452290703306
2014-05-06,-1.150644169031546
2014-05-07,-1.2864328009308503
2014-05-08,-1.2485254649789708
2014-05-09,-1.2037894760617784
2014-05-12,-1.155479001708256
2014-05-13,-1.2816288559441797
2014-05-14,-1.2368233132467308
2014-05-15,-1.2207290332580858
2014-05-16,-1.2883899576613886
2014-05-19,-1.228266206845857
2014-05-20,-1.2054253782353723
2014-05-21,-1.2274772060041559
2014-05-22,-1.2338340057263948
2014-05-23,-1.18841988671882
2014-05-27,-1.1639440935577356
2014-05-28,-1.1857000220354588
2014-05-29,-1.1486111094413942
2014-05-30,-1.123267037127133
2014-06-02,-1.0818157766393512
2014-06-03,-1.0404215810375466
2014-06-04,-0.9956036820702163
2014-06-05,-0.9662971200876022
2014-06-06,-1.0127016903443569
2014-06-09,-1.0023684745471897
2014-06-10,-0.9711302963696398
2014-06-11,-0.938449615575983
2014-06-12,-0.9389959854783835
2014-06-13,-1.0127125160893056
2014-06-16,-0.9814961792434905
2014-06-17,-0.9459062910194171
2014-06-18,-0.9217112128758006
2014-06-19,-0.9567968811666285
2014-06-20,-0.9199849208054539
2014-06-23,-0.8917144878311926
2014-06-24,-0.8658160793918966
2014-06-25,-0.9202309446004284
2014-06-26,-0.9288476773338221
2014-06-27,-0.8988266281305807
2014-06-30,-0.8800214905404641
2014-07-01,-0.8618668259545889
2014-07-02,-0.9399809619629108
2014-07-03,-0.9076817978122231
2014-07-07,-0.9150565670513672
2014-07-08,-0.9645031912344534
2014-07-09,-1.103981309196951
2014-07-10,-1.0833989715197134
2014-07-11,-1.0741698192430613
2014-07-14,-1.033420324628349
2014-07-15,-1.0241877521054268
2014-07-16,-1.008221115815121
2014-07-17,-0.9847940070345892
2014-07-18,-1.2077428876569425
2014-07-21,-1.3070952028611809
2014-07-22,-1.2409173456100535
2014-07-23,-1.211151547924538
2014-07-24,-1.1613141479733384
2014-07-25,-1.111230230478749
2014-07-28,-1.10356033850708
2014-07-29,-1.0583513598637895
2014-07-30,-1.038477612028985
2014-07-31,-1.0032997512000763
2014-08-01,-1.4877512288551584
2014-08-04,-1.4170168440372681
2014-08-05,-1.385337118034119
2014-08-06,-1.392680351280636
2014-08-07,-1.3255329576813835
2014-08-08,-1.2888571429655593
2014-08-11,-1.31760414242352
2014-08-12,-1.2693317768313679
2014-08-13,-1.2169026460735766
2014-08-14,-1.2129394725487683
2014-08-15,-1.168887970156531
2014-08-18,-1.11843760515914
2014-08-19,-1.1462074471165842
2014-08-20,-1.114668454530204
2014-08-21,-1.076907110365859
2014-08-22,-1.0364581007031561
2014-08-25,-0.9955273852057904
2014-08-26,-0.9732989451402039
2014-08-27,-0.938130947197409
2014-08-28,-0.9102630281653602
2014-08-29,-0.9025369802526145
2014-09-02,-0.8902288727303
2014-09-03,-0.8660377965479655
2014-09-04,-0.8769783192679441
2014-09-05,-0.8703460745618927
2014-09-08,-0.8652831596136484
2014-09-09,-0.862341030286864
2014-09-10,-0.9490095230182027
2014-09-11,-0.9504449697601594
2014-09-12,-0.9187159375904748
2014-09-15,-0.9552662784879187
2014-09-16,-1.0161272059559217
2014-09-17,-1.032191646185916
2014-09-18,-0.9989601399101941
2014-09-19,-0.9908020413343139
2014-09-22,-0.961275559468495
2014-09-23,-1.0828714698298936
2014-09-24,-1.092347388223129
2014-09-25,-1.1302733570246197
2014-09-26,-1.4743648859963667
2014-09-29,-1.4581745670998247
2014-09-30,-1.3705840657547377
2014-10-01,-1.3093319966815296
2014-10-02,-1.4800478012775204
2014-10-03,-1.395467263018981
2014-10-06,-1.4264412745089987
2014-10-07,-1.357810798849697
2014-10-08,-1.5471492812369145
2014-10-09,-1.714872000824918
2014-10-10,-1.9603060258956697
2014-10-13,-2.083504329074748
2014-10-14,-2.1401999094682824
2014-10-15,-2.0087971091454984
2014-10-16,-1.903061757662757
2014-10-17,-1.7848640930101165
2014-10-20,-1.7666120885298624
2014-10-21,-1.7574047543291844
2014-10-22,-1.9654858889185938
2014-10-23,-1.8857035828531963
2014-10-24,-1.9031044292127823
2014-10-27,-1.8152009628370815
2014-10-28,-1.7098138345174954
2014-10-29,-1.7548864981881112
2014-10-30,-1.6605432489661303
2014-10-31,-1.568560680680866
2014-11-03,-1.6118567418019114
2014-11-04,-1.5218911418350194
2014-11-05,-1.44541220264011
2014-11-06,-1.3788278175922428
2014-11-07,-1.3174459415716346
2014-11-10,-1.2522933004621888
2014-11-11,-1.2105229080546638
2014-11-12,-1.151796934785808
2014-11-13,-1.0945170039059093
2014-11-14,-1.0441707824734325
2014-11-17,-1.0014380112326016
2014-11-18,-0.9732370527848134
2014-11-19,-0.9728019359572054
2014-11-20,-0.9660917179233768
