,RiskMetrics
2014-12-05,-1.4888604093453859
2014-12-08,-1.4480732323365832
2014-12-09,-1.4734969367571216
2014-12-10,-1.4362277067735802
2014-12-11,-1.6952424184424537
2014-12-12,-1.6665116449332142
2014-12-15,-1.8019932192638841
2014-12-16,-1.8116813726853713
2014-12-17,-1.856083748250374
2014-12-18,-2.1476345887940065
2014-12-19,-2.4587780617077155
2014-12-22,-2.3950991626951326
2014-12-23,-2.3310872046625475
2014-12-24,-2.260536672467717
2014-12-26,-2.1921156976323792
2014-12-29,-2.1454013277483357
2014-12-30,-2.0801920882085714
2014-12-31,-2.0412478581774187
2015-01-02,-2.052261801403472
2015-01-05,-1.990813786541279
2015-01-06,-2.1631860710050446
2015-01-07,-2.1879449047195623
2015-01-08,-2.229255415129682
2015-01-09,-2.3923158916857004
2015-01-12,-2.3597528544371564
2015-01-13,-2.335832537330191
2015-01-14,-2.2665896252226965
2015-01-15,-2.2181945597019475
2015-01-16,-2.258150937089397
2015-01-20,-2.3219479330769293
2015-01-21,-2.2575990418724667
2015-01-22,-2.199001678149328
2015-01-23,-2.327569594284752
2015-01-26,-2.2594433735478194
2015-01-27,-2.196165101194764
2015-01-28,-2.322747340945739
2015-01-29,-2.344798804429088
2015-01-30,-2.3384912638986894
2015-02-02,-2.363370812673484
2015-02-03,-2.373928394937394
2015-02-04,-2.4109401971774007
2015-02-05,-2.34482408576843
2015-02-06,-2.346855084786244
2015-02-09,-2.2861257531772714
2015-02-10,-2.2285817281058704
2015-02-11,-2.262690790422514
2015-02-12,-2.195205129369599
2015-02-13,-2.2130302038474063
2015-02-17,-2.170474215796883
2015-02-18,-2.105763968489177
2015-02-19,-2.041868531177707
2015-02-20,-1.9811244340316259
2015-02-23,-1.9531863076975413
2015-02-24,-1.8937909107014848
2015-02-25,-1.8399848635809861
2015-02-26,-1.7841426281490387
2015-02-27,-1.7314896225670728
2015-03-02,-1.693599888816472
2015-03-03,-1.6970416498239886
2015-03-04,-1.6707902969927981
2015-03-05,-1.6319968691235684
2015-03-06,-1.5871154559469898
2015-03-09,-1.7012262629053332
2015-03-10,-1.6613815893449013
2015-03-11,-1.8791976533211208
2015-03-12,-1.8254195719248443
2015-03-13,-1.8720927282260031
2015-03-16,-1.8395640864985117
2015-03-17,-1.9229109438549106
2015-03-18,-1.8649754952130848
2015-03-19,-1.9067269091894532
2015-03-20,-1.8505757663472897
2015-03-23,-1.8495884398611362
2015-03-24,-1.79850576940575
2015-03-25,-1.7641837353815544
2015-03-26,-2.0337703323326783
2015-03-27,-1.97712407340464
2015-03-30,-1.9306608041358508
2015-03-31,-1.9888650912423593
2015-04-01,-1.997452441471572
2015-04-02,-1.9506291172345716
2015-04-06,-1.8963457634033545
2015-04-07,-1.8743099575287652
2015-04-08,-1.819955784875377
2015-04-09,-1.7916901735006427
2015-04-10,-1.7569071147391773
2015-04-13,-1.7246934207543771
2015-04-14,-1.6812791956332098
2015-04-15,-1.63014188182103
2015-04-16,-1.6163735079517354
2015-04-17,-1.5676570250714144
2015-04-20,-1.6991949927499392
2015-04-21,-1.7610735014266177
2015-04-22,-1.7088098925330009
2015-04-23,-1.677664042631043
2015-04-24,-1.6370493312093606
2015-04-27,-1.6093755936519805
2015-04-28,-1.588342628383074
2015-04-29,-1.5408189806087758
2015-04-30,-1.5210932260336476
2015-05-01,-1.6591748223708052
2015-05-04,-1.744900382125643
2015-05-05,-1.6983169342513216
2015-05-06,-1.8234527786472023
2015-05-07,-1.7842595145304865
2015-05-08,-1.7488789213630742
2015-05-11,-1.8394646333813096
2015-05-12,-1.7948605297315974
2015-05-13,-1.7498302515732105
2015-05-14,-1.6966763522387986
2015-05-15,-1.7869591455766867
2015-05-18,-1.7325383882768055
2015-05-19,-1.699208933663603
2015-05-20,-1.6487481414834515
2015-05-21,-1.5986101116783864
2015-05-22,-1.5595739893386673
2015-05-26,-1.5137632309057945
2015-05-27,-1.5905850663641987
2015-05-28,-1.6833310018893357
2015-05-29,-1.6342202013109877
2015-06-01,-1.6199267192473972
2015-06-02,-1.5760327936555487
2015-06-03,-1.5293898752118975
2015-06-04,-1.4946038491809677
2015-06-05,-1.523929874621331
2015-06-08,-1.4775503867641842
2015-06-09,-1.5014180395744163
2015-06-10,-1.4560336622343015
2015-06-11,-1.573849468121109
2015-06-12,-1.5281127499401856
2015-06-15,-1.5286766167589563
2015-06-16,-1.5032855507976781
2015-06-17,-1.4893026137716785
2015-06-18,-1.448031800620453
2015-06-19,-1.551798855741913
2015-06-22,-1.523575543013608
2015-06-23,-1.5248182397862982
2015-06-24,-1.4792776110151666
2015-06-25,-1.4941918369257372
2015-06-26,-1.455591433399061
2015-06-29,-1.4237457020505713
2015-06-30,-1.8917563131605082
2015-07-01,-1.8495503653836165
2015-07-02,-1.8263797648325504
2015-07-06,-1.771012377628564
2015-07-07,-1.7296898242689216
2015-07-08,-1.689385644568635
2015-07-09,-1.9102045011961573
2015-07-10,-1.857119520276254
2015-07-13,-1.9630083233735123
2015-07-14,-2.0388610401799494
2015-07-15,-2.0014564943568427
2015-07-16,-1.9412402363305878
2015-07-17,-1.9706733424195122
2015-07-20,-1.932441690598963
2015-07-21,-1.8748644052234664
2015-07-22,-1.8266759291153989
2015-07-23,-1.791141033105102
2015-07-24,-1.7626801171969289
2015-07-27,-1.8208172184023177
2015-07-28,-1.819320319372162
2015-07-29,-1.872631587451006
2015-07-30,-1.8459714243269034
2015-07-31,-1.7922915533491333
2015-08-03,-1.739004408122213
2015-08-04,-1.6927236802654033
2015-08-05,-1.6454633699315542
2015-08-06,-1.6197000510727773
2015-08-07,-1.7146256136742701
2015-08-10,-1.6695839215372978
2015-08-11,-1.7595864281724782
2015-08-12,-1.82172883182606
2015-08-13,-1.7676188299444802
2015-08-14,-1.7165465591732936
2015-08-17,-1.67554766427405
2015-08-18,-1.6712081426562142
2015-08-19,-1.6404740598176117
2015-08-20,-1.6568079745520063
2015-08-21,-2.145824841133205
2015-08-24,-2.845859630682603
2015-08-25,-3.5637680863022614
2015-08-26,-3.493010846467212
2015-08-27,-4.0792205050387915
2015-08-28,-4.186865916558864
2015-08-31,-4.06079646296495
2015-09-01,-3.9749721868929737
2015-09-02,-4.214392787990554
2015-09-03,-4.2608049346332315
2015-09-04,-4.131528553381321
2015-09-08,-4.0734736775535945
2015-09-09,-4.21550441450617
2015-09-10,-4.15153216995666
2015-09-11,-4.0436139907215205
2015-09-14,-3.9305672300752263
2015-09-15,-3.816880235842149
2015-09-16,-3.7636643319251535
2015-09-17,-3.672510567359543
2015-09-18,-3.5609234531929945
2015-09-21,-3.556838822441131
2015-09-22,-3.45132152563363
2015-09-23,-3.436466341919654
2015-09-24,-3.3327935210635036
2015-09-25,-3.237801202037328
2015-09-28,-3.153800928311616
2015-09-29,-3.460726960670474
2015-09-30,-3.3579141362900584
2015-10-01,-3.4627804714947903
2015-10-02,-3.358744455722495
2015-10-05,-3.377869389127805
2015-10-06,-3.4121168282424232
2015-10-07,-3.321668132346824
2015-10-08,-3.256589973042275
2015-10-09,-3.1786051410353275
2015-10-12,-3.084814352914562
