,Variance-Covariance
2014-08-05,-2.445976705628529
2014-08-06,-2.4472170436174143
2014-08-07,-2.4471480728891337
2014-08-08,-2.4475845959529745
2014-08-11,-2.435300487869457
2014-08-12,-2.4353015401700695
2014-08-13,-2.434162865907318
2014-08-14,-2.433781503023217
2014-08-15,-2.433319842570373
2014-08-18,-2.4330635215521967
2014-08-19,-2.4329549665121726
2014-08-20,-2.4318584084678423
2014-08-21,-2.432014350466637
2014-08-22,-2.4320813791102944
2014-08-25,-2.4322425587069705
2014-08-26,-2.4318908541045916
2014-08-27,-2.4289917511723567
2014-08-28,-2.429043992479182
2014-08-29,-2.429141940172337
2014-09-02,-2.4290305708068476
2014-09-03,-2.4285753090352697
2014-09-04,-2.4291872993180843
2014-09-05,-2.429427261030565
2014-09-08,-2.4294233962069205
2014-09-09,-2.428920744555803
2014-09-10,-2.430340908729433
2014-09-11,-2.4302846178810626
2014-09-12,-2.430436922346564
2014-09-15,-2.431536243405213
2014-09-16,-2.432383287602861
2014-09-17,-2.432085430725914
2014-09-18,-2.4321568503872846
2014-09-19,-2.432161938554232
2014-09-22,-2.4323882014439793
2014-09-23,-2.4333023754140926
2014-09-24,-2.4342504854585147
2014-09-25,-2.4343343118120067
2014-09-26,-2.438214572506354
2014-09-29,-2.438012942897878
2014-09-30,-2.4382335443251795
2014-10-01,-2.43882802946114
2014-10-02,-2.4424342585355134
2014-10-03,-2.441758648421808
2014-10-06,-2.442052245848086
2014-10-07,-2.442509587704008
2014-10-08,-2.446490824790652
2014-10-09,-2.4472942819018493
2014-10-10,-2.453571143709722
2014-10-13,-2.4584279562577507
2014-10-14,-2.4624156380447872
2014-10-15,-2.4623938927098075
2014-10-16,-2.462790599173453
2014-10-17,-2.462945376594607
2014-10-20,-2.459472054531123
2014-10-21,-2.4597506507027234
2014-10-22,-2.4622417743371363
2014-10-23,-2.4636141325495573
2014-10-24,-2.464362768389383
2014-10-27,-2.464392324865311
2014-10-28,-2.4639752467728693
2014-10-29,-2.4577668794758987
2014-10-30,-2.4582653408215314
2014-10-31,-2.457428397435568
2014-11-03,-2.452639147250769
2014-11-04,-2.4520503417541506
2014-11-05,-2.4427147723397376
2014-11-06,-2.4411666440098343
2014-11-07,-2.426531319957916
2014-11-10,-2.420993984087432
2014-11-11,-2.4056367199699373
2014-11-12,-2.405345759024919
2014-11-13,-2.4040701515684137
2014-11-14,-2.4012573018064294
