,Copula-GARCH sjc
2014-05-22,-1.7809203358485244
2014-05-23,-1.7162874497580156
2014-05-27,-1.6819766673974372
2014-05-28,-1.7245412800687445
2014-05-29,-1.661452170752849
2014-05-30,-1.625944813693205
2014-06-02,-1.5669418451674517
2014-06-03,-1.50849500554461
2014-06-04,-1.4566641134050224
2014-06-05,-1.4141113029018026
2014-06-06,-1.483098730809829
2014-06-09,-1.4686884250522085
2014-06-10,-1.4212559223946304
2014-06-11,-1.375181277671045
2014-06-12,-1.3660746544850402
2014-06-13,-1.4786736214593201
2014-06-16,-1.4337781314641165
2014-06-17,-1.386141381276174
2014-06-18,-1.3506949970025854
2014-06-19,-1.391422155345419
2014-06-20,-1.350056190940873
2014-06-23,-1.3089846056654066
2014-06-24,-1.2738457993789818
2014-06-25,-1.3395993648905964
2014-06-26,-1.3517373802099806
2014-06-27,-1.3168474783676856
2014-06-30,-1.2896032876120007
2014-07-01,-1.2564443884583338
2014-07-02,-1.3766289747172777
2014-07-03,-1.3308407471775963
2014-07-07,-1.3425381587903418
2014-07-08,-1.4019081097817157
2014-07-09,-1.6100556943388753
2014-07-10,-1.5798386007981522
2014-07-11,-1.569751381957981
2014-07-14,-1.510365564255556
2014-07-15,-1.4856863186315032
2014-07-16,-1.4715087854208582
2014-07-17,-1.4299633197426445
2014-07-18,-1.7442246597173134
2014-07-21,-1.8944113000463432
2014-07-22,-1.807554763424396
2014-07-23,-1.758235108086999
2014-07-24,-1.6792686242577546
2014-07-25,-1.6030677129192155
2014-07-28,-1.5979002201894996
2014-07-29,-1.533912567339838
2014-07-30,-1.5056226273367872
2014-07-31,-1.4561338889601447
2014-08-01,-2.1548898305177935
2014-08-04,-2.053460199184441
2014-08-05,-1.9946136008218784
2014-08-06,-2.018100659942439
2014-08-07,-1.9092164944002192
2014-08-08,-1.8686238298716373
2014-08-11,-1.9007376276094667
2014-08-12,-1.832244890608685
2014-08-13,-1.758471960579377
2014-08-14,-1.767041457000117
2014-08-15,-1.702085840436565
2014-08-18,-1.6301052803021543
2014-08-19,-1.6707461016483665
2014-08-20,-1.6243610719008865
2014-08-21,-1.5600945552761973
2014-08-22,-1.502785371365546
2014-08-25,-1.4532854124251178
2014-08-26,-1.424360081983711
2014-08-27,-1.3752058281729747
2014-08-28,-1.3344556222891533
2014-08-29,-1.3141406054389915
2014-09-02,-1.296654206397185
2014-09-03,-1.271084100318401
2014-09-04,-1.2849372828816463
2014-09-05,-1.2675470601500425
2014-09-08,-1.2693968892612886
2014-09-09,-1.2554934061583682
2014-09-10,-1.387723849715412
2014-09-11,-1.3898316552679402
2014-09-12,-1.3433334642217651
2014-09-15,-1.3957649225199238
2014-09-16,-1.4708314591801563
2014-09-17,-1.5041492893940318
2014-09-18,-1.446560998180914
2014-09-19,-1.443319136518742
2014-09-22,-1.4059317351761833
2014-09-23,-1.5763647493711006
2014-09-24,-1.5775601785466045
2014-09-25,-1.6315263726300027
2014-09-26,-2.117234089427181
2014-09-29,-2.094604050669711
2014-09-30,-1.9851984404809164
2014-10-01,-1.8967242227401921
2014-10-02,-2.140488653202827
2014-10-03,-2.0189621440753163
2014-10-06,-2.04909069533397
2014-10-07,-1.9628714776942253
2014-10-08,-2.219127983797378
2014-10-09,-2.4569275257783874
2014-10-10,-2.8220137830853216
2014-10-13,-3.000200443935243
2014-10-14,-3.073879802070846
2014-10-15,-2.8713622683148823
2014-10-16,-2.7413426127343956
2014-10-17,-2.571835848079235
2014-10-20,-2.5470634395258
2014-10-21,-2.516432224087002
2014-10-22,-2.8110789939797143
2014-10-23,-2.712285373116024
2014-10-24,-2.7231105543159653
2014-10-27,-2.598794221307615
2014-10-28,-2.4500947255399703
2014-10-29,-2.5142669213520104
2014-10-30,-2.380949775122575
2014-10-31,-2.2716057762203157
2014-11-03,-2.312506730460254
2014-11-04,-2.185420622911707
2014-11-05,-2.0888311233119543
2014-11-06,-1.9968615658842441
2014-11-07,-1.9097604671580475
2014-11-10,-1.8179365230635298
2014-11-11,-1.7453892622343858
2014-11-12,-1.6626068142577899
2014-11-13,-1.5937035700246966
2014-11-14,-1.5237308960944043
2014-11-17,-1.4630865780105828
2014-11-18,-1.422102047737261
2014-11-19,-1.4200017239046132
2014-11-20,-1.4118136565471728
2014-11-21,-1.3804760010790962
2014-11-24,-1.3613377420374566
2014-11-25,-1.374968758304158
2014-11-26,-1.3348439390373046
2014-11-28,-1.321388333036635
2014-12-01,-1.2981389107563719
2014-12-02,-1.5151642585322551
2014-12-03,-1.5125143532848302
2014-12-04,-1.470333769402511
2014-12-05,-1.4239510790411558
2014-12-08,-1.3746511362523894
2014-12-09,-1.486525476452429
2014-12-10,-1.4457850855693817
2014-12-11,-1.9472963927985667
2014-12-12,-1.866587182494509
2014-12-15,-2.122634409015523
2014-12-16,-2.116341519611791
2014-12-17,-2.1767662002424237
2014-12-18,-2.5555166892833996
2014-12-19,-2.960369234237058
2014-12-22,-2.7490900920179233
2014-12-23,-2.5580486423338633
2014-12-24,-2.3893907741515115
2014-12-26,-2.2280267966593597
2014-12-29,-2.110589599577613
2014-12-30,-1.9738268909442152
2014-12-31,-1.9158737164773616
2015-01-02,-1.9917312603474129
2015-01-05,-1.8773303438217075
2015-01-06,-2.2740268041391207
2015-01-07,-2.317190958996208
2015-01-08,-2.332247743438172
2015-01-09,-2.5643603350006297
2015-01-12,-2.4748842423390665
2015-01-13,-2.4103618430347047
2015-01-14,-2.2495793490172318
2015-01-15,-2.154594112444482
2015-01-16,-2.2595130095814033
2015-01-20,-2.3382493369196724
2015-01-21,-2.181392244277691
2015-01-22,-2.0475867211351386
2015-01-23,-2.282222091763288
2015-01-26,-2.15523041869304
2015-01-27,-2.01631275584188
2015-01-28,-2.3379444602329382
2015-01-29,-2.4070584125579337
2015-01-30,-2.3399082625994767
