,Variance-Covariance
2014-01-16,-1.7485637860047765
2014-01-17,-1.745004961921751
2014-01-21,-1.7458683234396934
2014-01-22,-1.7455801172671384
2014-01-23,-1.745622254408964
2014-01-24,-1.7469438913546862
2014-01-27,-1.7522182212392996
2014-01-28,-1.7519761214216623
2014-01-29,-1.7516258946627843
2014-01-30,-1.753602346228951
2014-01-31,-1.7536428749323458
2014-02-03,-1.7538566134854547
2014-02-04,-1.7605456430087283
2014-02-05,-1.760090745885255
2014-02-06,-1.760441855914027
2014-02-07,-1.7604091035320693
2014-02-10,-1.7596405797517998
2014-02-11,-1.7582335845784332
2014-02-12,-1.758054962415667
2014-02-13,-1.7575169234600212
2014-02-14,-1.7550562698860783
2014-02-18,-1.7549742975164304
2014-02-19,-1.7550379795280435
2014-02-20,-1.754427294739704
2014-02-21,-1.7470226886589608
2014-02-24,-1.7474111499662122
2014-02-25,-1.7474133895857646
2014-02-26,-1.7478324662474283
2014-02-27,-1.7474914725366566
2014-02-28,-1.7470594384704736
2014-03-03,-1.7472592133450293
2014-03-04,-1.748320017342454
2014-03-05,-1.748680383718689
2014-03-06,-1.7485451503470855
2014-03-07,-1.7471419342460635
2014-03-10,-1.74226784065053
2014-03-11,-1.7420778698549664
2014-03-12,-1.7431857116575902
2014-03-13,-1.7429302246393723
2014-03-14,-1.7456790523356265
2014-03-17,-1.7463661548078966
2014-03-18,-1.7462948807607936
2014-03-19,-1.7458418769434774
2014-03-20,-1.7469952351304467
2014-03-21,-1.7469869058875778
2014-03-24,-1.7478359294234616
2014-03-25,-1.7487464362119023
2014-03-26,-1.7487251448512215
2014-03-27,-1.7504605168295144
2014-03-28,-1.7512102152298152
2014-03-31,-1.7496971916372368
2014-04-01,-1.7476713734725666
2014-04-02,-1.7464571452004962
2014-04-03,-1.7458050546409838
2014-04-04,-1.746161270285229
2014-04-07,-1.7502994037575847
2014-04-08,-1.7440745162676896
2014-04-09,-1.7431703657169018
2014-04-10,-1.7433052147467394
2014-04-11,-1.7503077584513447
2014-04-14,-1.7525033603266653
2014-04-15,-1.752503294012235
2014-04-16,-1.752537193956214
2014-04-17,-1.7525002695818164
2014-04-21,-1.752223431342784
2014-04-22,-1.751717038462625
2014-04-23,-1.7515612407669257
2014-04-24,-1.7510872836370786
2014-04-25,-1.7511534412584147
2014-04-28,-1.752659238122419
2014-04-29,-1.75146889437081
2014-04-30,-1.7514645352889457
2014-05-01,-1.7499349098440415
2014-05-02,-1.7484510307257304
2014-05-05,-1.7474359520078828
2014-05-06,-1.7413689703041746
2014-05-07,-1.742550641035289
2014-05-08,-1.7350704941803339
2014-05-09,-1.7356590238234941
2014-05-12,-1.7356549315685563
2014-05-13,-1.7355914707821547
2014-05-14,-1.734720495366236
2014-05-15,-1.7357459033604878
2014-05-16,-1.7361479515091172
2014-05-19,-1.7357837754048486
2014-05-20,-1.7357833777968008
2014-05-21,-1.7352730391270206
2014-05-22,-1.735281437630721
2014-05-23,-1.7350290288149193
2014-05-27,-1.7348508293794962
2014-05-28,-1.734237923270536
2014-05-29,-1.731488634152531
2014-05-30,-1.7306631598632893
2014-06-02,-1.7306884077250164
2014-06-03,-1.7305173317856275
2014-06-04,-1.7308393897738665
2014-06-05,-1.7269245872480214
2014-06-06,-1.7268394525298398
2014-06-09,-1.726615539823983
2014-06-10,-1.726622245943216
2014-06-11,-1.725627893320428
2014-06-12,-1.7262438655729373
2014-06-13,-1.7270854170028282
2014-06-16,-1.7254616983987086
2014-06-17,-1.7256106655594219
2014-06-18,-1.725682866191677
2014-06-19,-1.7254871285880233
2014-06-20,-1.7257941173292413
2014-06-23,-1.7249477315224064
2014-06-24,-1.7251038754881207
2014-06-25,-1.7236756962904447
2014-06-26,-1.7236275909367018
2014-06-27,-1.723930118765506
2014-06-30,-1.7240111577479298
2014-07-01,-1.7242305250073193
2014-07-02,-1.7242488618056722
2014-07-03,-1.7243742947611211
2014-07-07,-1.7239114150212564
2014-07-08,-1.7247586329703077
2014-07-09,-1.72485729074717
2014-07-10,-1.724278384204427
2014-07-11,-1.7250041059538173
2014-07-14,-1.7246390308258361
2014-07-15,-1.7244721198463797
2014-07-16,-1.7252254694503613
2014-07-17,-1.7249757887257964
2014-07-18,-1.7254413871170047
2014-07-21,-1.7256226139843442
2014-07-22,-1.7260718586689165
2014-07-23,-1.7237127262289043
2014-07-24,-1.723579823783454
2014-07-25,-1.721552216615261
2014-07-28,-1.719196098190648
2014-07-29,-1.7127605217324957
2014-07-30,-1.7132989612019303
2014-07-31,-1.712666740443288
2014-08-01,-1.717848296553826
2014-08-04,-1.7151267742478913
2014-08-05,-1.712601666033529
2014-08-06,-1.714021330195227
2014-08-07,-1.7142437687110008
2014-08-08,-1.714618127524642
2014-08-11,-1.7048782740685036
2014-08-12,-1.7048861732555263
2014-08-13,-1.7039316318078848
2014-08-14,-1.7037614174599727
2014-08-15,-1.7032773775283416
2014-08-18,-1.7033630101956492
2014-08-19,-1.7030525978619186
2014-08-20,-1.7025682376932925
2014-08-21,-1.7027744033859038
2014-08-22,-1.7029415451070002
2014-08-25,-1.7031035129975136
2014-08-26,-1.7027157611624808
2014-08-27,-1.7002920392289207
2014-08-28,-1.7005863390412164
2014-08-29,-1.7006745434435255
2014-09-02,-1.700530709795822
2014-09-03,-1.7004978795039984
2014-09-04,-1.7010837378876855
2014-09-05,-1.7013071531546804
2014-09-08,-1.701295194619018
2014-09-09,-1.7013228391392474
2014-09-10,-1.702554812392579
2014-09-11,-1.7024402372784568
2014-09-12,-1.7026802697827241
2014-09-15,-1.7037069210947955
2014-09-16,-1.7044461640826059
2014-09-17,-1.7040190940487447
2014-09-18,-1.7042122117096903
2014-09-19,-1.70419967543268
2014-09-22,-1.7044118129741916
2014-09-23,-1.7051524889442775
2014-09-24,-1.706131054831852
2014-09-25,-1.7061557985821956
2014-09-26,-1.7092033781802243
2014-09-29,-1.7087907188671634
2014-09-30,-1.7089949875116615
2014-10-01,-1.7096098318296864
2014-10-02,-1.7125726458759165
2014-10-03,-1.711960605814415
2014-10-06,-1.7120134306572743
2014-10-07,-1.712663044326445
2014-10-08,-1.7159382332806186
2014-10-09,-1.7159337991727301
2014-10-10,-1.720978047175738
2014-10-13,-1.7250421564476124
2014-10-14,-1.7283090574815827
2014-10-15,-1.7282834185206015
2014-10-16,-1.7290500270008096
2014-10-17,-1.729217799333745
2014-10-20,-1.7260841090467243
2014-10-21,-1.7260424004927097
2014-10-22,-1.727456297846906
2014-10-23,-1.7286375984951845
2014-10-24,-1.7289082815269416
2014-10-27,-1.7288973824392089
2014-10-28,-1.7285231774755256
2014-10-29,-1.7231855062158483
2014-10-30,-1.72368297898502
2014-10-31,-1.7233372919322092
2014-11-03,-1.7191392782175599
2014-11-04,-1.7190653736368144
2014-11-05,-1.7118418134805349
2014-11-06,-1.7104792844546528
2014-11-07,-1.699156966037982
2014-11-10,-1.6947507389513194
2014-11-11,-1.684960971497034
2014-11-12,-1.6846810413790776
2014-11-13,-1.684191250935234
2014-11-14,-1.6818598883001048
2014-11-17,-1.6772847664656123
2014-11-18,-1.6776172626340338
2014-11-19,-1.6742835665252005
2014-11-20,-1.6737726808586881
2014-11-21,-1.658042945245057
2014-11-24,-1.6578516602864273
2014-11-25,-1.655866420924795
2014-11-26,-1.655847340818411
2014-11-28,-1.654675798832977
2014-12-01,-1.6498296263243784
2014-12-02,-1.649684430533677
2014-12-03,-1.6458886105093464
2014-12-04,-1.6434612008784613
2014-12-05,-1.643909514725308
2014-12-08,-1.6311276069281735
2014-12-09,-1.6285980885875606
2014-12-10,-1.6286941706175457
2014-12-11,-1.6315889965735983
2014-12-12,-1.6284042707966186
2014-12-15,-1.6314641713700937
2014-12-16,-1.632690288589451
2014-12-17,-1.6324158987233157
2014-12-18,-1.633403550547169
2014-12-19,-1.6349887871514397
2014-12-22,-1.6348212004981137
2014-12-23,-1.6336533192907832
2014-12-24,-1.630972738601629
2014-12-26,-1.6305243361890258
2014-12-29,-1.6266250023230882
2014-12-30,-1.626799969680998
2014-12-31,-1.627371538141021
2015-01-02,-1.6166473790575502
2015-01-05,-1.6147889276068679
2015-01-06,-1.6181146128911585
2015-01-07,-1.6194258383598894
2015-01-08,-1.6195178867922781
2015-01-09,-1.6163171676452976
2015-01-12,-1.6177849993929545
2015-01-13,-1.6193832509313846
2015-01-14,-1.619633379902125
2015-01-15,-1.6198653726099768
2015-01-16,-1.622207537734739
2015-01-20,-1.6222473495410492
2015-01-21,-1.612492234887844
2015-01-22,-1.6125579367009362
2015-01-23,-1.6130772981324575
2015-01-26,-1.6104138593724382
2015-01-27,-1.6083327305364077
2015-01-28,-1.6120825879582987
2015-01-29,-1.6142907292681425
2015-01-30,-1.6137645492239259
2015-02-02,-1.614497496692541
2015-02-03,-1.613644303658899
2015-02-04,-1.6136231087090327
2015-02-05,-1.6131215985375043
2015-02-06,-1.6122222690696457
2015-02-09,-1.6130288265660395
2015-02-10,-1.613196923720541
2015-02-11,-1.612716872938314
2015-02-12,-1.6129220085837992
2015-02-13,-1.6112046790545853
2015-02-17,-1.6017628607092096
2015-02-18,-1.6006376778983
2015-02-19,-1.5997674107398336
2015-02-20,-1.5998154581756532
2015-02-23,-1.5995977311972769
2015-02-24,-1.5997408462352476
2015-02-25,-1.5958710843150337
2015-02-26,-1.5957392909970958
2015-02-27,-1.5946513942129505
2015-03-02,-1.5918456779998886
2015-03-03,-1.5918421533083333
2015-03-04,-1.5910140975801086
2015-03-05,-1.5911113732075657
2015-03-06,-1.587753734375813
2015-03-09,-1.5900383152564563
2015-03-10,-1.5864951530476952
2015-03-11,-1.5904907575009384
2015-03-12,-1.5906354075843934
2015-03-13,-1.5883879726220196
2015-03-16,-1.5894168941263025
2015-03-17,-1.5896158502366933
2015-03-18,-1.5899707818200555
2015-03-19,-1.5895757594390534
2015-03-20,-1.5897852424069367
2015-03-23,-1.589752208899427
2015-03-24,-1.5900510205284408
2015-03-25,-1.5908974603775872
2015-03-26,-1.5951341003390307
2015-03-27,-1.5951180807768228
2015-03-30,-1.594082742616325
2015-03-31,-1.5931447622062145
2015-04-01,-1.5932670126622166
2015-04-02,-1.5930777516700405
2015-04-06,-1.5931721797692713
2015-04-07,-1.5926372153272148
2015-04-08,-1.5924432761700285
2015-04-09,-1.5923368003606606
2015-04-10,-1.5904511454977583
2015-04-13,-1.5887845174392654
2015-04-14,-1.5885927309360928
2015-04-15,-1.5886020768157851
2015-04-16,-1.5886055905218401
2015-04-17,-1.5886932971212815
2015-04-20,-1.5915704267158703
2015-04-21,-1.5916814482661406
2015-04-22,-1.5912180411663248
2015-04-23,-1.5912379842052478
2015-04-24,-1.5913190755345936
2015-04-27,-1.587330404443057
2015-04-28,-1.5882966299020471
2015-04-29,-1.5883322410048029
2015-04-30,-1.5893046068377212
2015-05-01,-1.592119745593549
2015-05-04,-1.5921108191034241
2015-05-05,-1.591893490706224
2015-05-06,-1.5947018970266895
2015-05-07,-1.595216791507557
2015-05-08,-1.594927020241583
2015-05-11,-1.5951148296384776
2015-05-12,-1.595778437523776
2015-05-13,-1.5957327205185006
2015-05-14,-1.5958759957811295
2015-05-15,-1.5957006928487323
2015-05-18,-1.5945895815076707
2015-05-19,-1.5946088293367329
2015-05-20,-1.5937692799905927
2015-05-21,-1.5912413574599031
2015-05-22,-1.5908570664573414
2015-05-26,-1.5872590366428616
2015-05-27,-1.5892530849407835
2015-05-28,-1.5889042316891329
2015-05-29,-1.58922637200999
2015-06-01,-1.5902105688530388
2015-06-02,-1.587086152632256
2015-06-03,-1.586747863520315
2015-06-04,-1.585772649804612
2015-06-05,-1.586776428481616
2015-06-08,-1.5854323459576314
2015-06-09,-1.585489026555285
2015-06-10,-1.5856313628372345
2015-06-11,-1.5857989492430344
2015-06-12,-1.585677521420559
2015-06-15,-1.5867129533059006
2015-06-16,-1.58753980273761
2015-06-17,-1.5874747670826892
2015-06-18,-1.5876320830359738
2015-06-19,-1.587231728007737
2015-06-22,-1.5878524742916684
2015-06-23,-1.5869468263759117
2015-06-24,-1.5871808295069378
2015-06-25,-1.5884051820161906
2015-06-26,-1.5888830592274013
2015-06-29,-1.5895922077524933
2015-06-30,-1.5956872439919316
2015-07-01,-1.5952056262544245
2015-07-02,-1.5949504952802218
2015-07-06,-1.5949613621152783
2015-07-07,-1.5955164654660883
2015-07-08,-1.595109229382432
2015-07-09,-1.598689010493774
2015-07-10,-1.5985264756198663
2015-07-13,-1.5982932696043557
2015-07-14,-1.5985761775909373
2015-07-15,-1.598304006614318
2015-07-16,-1.5981608711690376
2015-07-17,-1.5979586354537605
2015-07-20,-1.597906860260216
2015-07-21,-1.5980964807807765
2015-07-22,-1.5983428296227222
2015-07-23,-1.5992603531671292
2015-07-24,-1.6001673695533003
2015-07-27,-1.5997879448194996
2015-07-28,-1.6003742454304795
2015-07-29,-1.6000418801924152
2015-07-30,-1.6000294391644774
2015-07-31,-1.5999307731368273
2015-08-03,-1.6003630749558715
2015-08-04,-1.6009291931011345
2015-08-05,-1.5957348922675723
2015-08-06,-1.5957543069198457
2015-08-07,-1.5973823320926208
2015-08-10,-1.5975162997314636
2015-08-11,-1.5975870337774254
2015-08-12,-1.5998355890721774
2015-08-13,-1.6000359172609357
2015-08-14,-1.6004971587253143
2015-08-17,-1.5999328853751411
2015-08-18,-1.5996793743722197
2015-08-19,-1.6005622436385993
2015-08-20,-1.6020091272068935
2015-08-21,-1.6083983169344096
2015-08-24,-1.6202763791813635
2015-08-25,-1.6353939012469014
2015-08-26,-1.6369241822260818
2015-08-27,-1.6380827230425272
2015-08-28,-1.6384833442529878
2015-08-31,-1.6385034005091272
2015-09-01,-1.640081641453163
2015-09-02,-1.649448091829727
2015-09-03,-1.647305746806969
2015-09-04,-1.6476289226235676
2015-09-08,-1.6494902918987928
2015-09-09,-1.6509293828052347
2015-09-10,-1.6513349326011082
2015-09-11,-1.6513206376729395
2015-09-14,-1.6506511871310359
2015-09-15,-1.6468354367484657
2015-09-16,-1.6470366019039002
2015-09-17,-1.6459496230656838
2015-09-18,-1.6439059727469847
2015-09-21,-1.642423318922203
2015-09-22,-1.6424579274356432
2015-09-23,-1.645335565067837
2015-09-24,-1.6451166245538194
2015-09-25,-1.6451597581586335
2015-09-28,-1.6461294890832596
2015-09-29,-1.6546389950215379
2015-09-30,-1.6551003533024957
2015-10-01,-1.6557469505866205
2015-10-02,-1.6558987333443798
2015-10-05,-1.6564795291335286
2015-10-06,-1.6568730356080938
2015-10-07,-1.657823061661482
2015-10-08,-1.6575411462266976
2015-10-09,-1.6572517521343668
2015-10-12,-1.65726527603855
