,Copula-GARCH plackett
2014-11-07,-1.8480776635976959
2014-11-10,-1.7590917491645974
2014-11-11,-1.6890557615216122
2014-11-12,-1.6088218356832684
2014-11-13,-1.5417392185549528
2014-11-14,-1.4739894376009646
2014-11-17,-1.4151546745230186
2014-11-18,-1.375375547949184
2014-11-19,-1.3734312163517197
2014-11-20,-1.365443448665726
2014-11-21,-1.3348880265768623
2014-11-24,-1.316131252819761
2014-11-25,-1.3295282465226554
2014-11-26,-1.290453065570234
2014-11-28,-1.2773918446064738
2014-12-01,-1.2545058947151857
2014-12-02,-1.4654569246339098
2014-12-03,-1.4623235697233268
2014-12-04,-1.4214867090795
2014-12-05,-1.376528446941638
2014-12-08,-1.3290736402874508
2014-12-09,-1.4374991294401112
2014-12-10,-1.3979435821828312
2014-12-11,-1.8833926471686189
2014-12-12,-1.8051858192451222
2014-12-15,-2.053514158764952
2014-12-16,-2.0475308598199216
2014-12-17,-2.106100701451037
2014-12-18,-2.473108158046007
2014-12-19,-2.864820904763416
2014-12-22,-2.6594969099936323
2014-12-23,-2.474409339655635
2014-12-24,-2.3109713176668603
2014-12-26,-2.1543200977375605
2014-12-29,-2.0404873826523477
2014-12-30,-1.9080376761590108
2014-12-31,-1.8523512723214974
2015-01-02,-1.9249276138177862
2015-01-05,-1.8143163995134406
2015-01-06,-2.198265991113345
2015-01-07,-2.24015990420996
2015-01-08,-2.2549993942342836
2015-01-09,-2.4816422864063887
2015-01-12,-2.3945235327094276
2015-01-13,-2.3315079205482303
2015-01-14,-2.1753853681214688
2015-01-15,-2.0831051623404853
2015-01-16,-2.184579221486909
2015-01-20,-2.2605725654054036
2015-01-21,-2.1091600792709966
2015-01-22,-1.9794703376605711
2015-01-23,-2.206841855414575
2015-01-26,-2.0837497391504027
2015-01-27,-1.9484583777478492
2015-01-28,-2.260098632776488
2015-01-29,-2.3268805592901565
2015-01-30,-2.2631011070941116
2015-02-02,-2.3276180730410427
2015-02-03,-2.306379644242763
2015-02-04,-2.3354034562164427
2015-02-05,-2.1892575010969453
2015-02-06,-2.1600837354621216
2015-02-09,-2.0408848316307493
2015-02-10,-1.9391436740391994
2015-02-11,-1.9985242700713248
2015-02-12,-1.8628636618004797
2015-02-13,-1.9005527690430803
2015-02-17,-1.814833928442592
2015-02-18,-1.6988627645804182
2015-02-19,-1.5987035508828022
2015-02-20,-1.520493509577279
2015-02-23,-1.504658810909079
2015-02-24,-1.4297637665326828
2015-02-25,-1.368107354210601
2015-02-26,-1.3167407285431914
2015-02-27,-1.2854442706826743
2015-03-02,-1.3013244145449974
2015-03-03,-1.3595252716236848
2015-03-04,-1.3926610695907498
2015-03-05,-1.3865357432869188
2015-03-06,-1.332198070685672
2015-03-09,-1.7081672103100387
2015-03-10,-1.6170884615214356
2015-03-11,-2.10825817366203
2015-03-12,-1.959141727071342
2015-03-13,-1.998336916425224
2015-03-16,-1.9205245618571942
2015-03-17,-2.0259780198097292
2015-03-18,-1.8921318946162327
2015-03-19,-1.9382945363083455
2015-03-20,-1.8315369917340643
2015-03-23,-1.8027112701071109
2015-03-24,-1.7031586459749586
2015-03-25,-1.6661771671416192
2015-03-26,-2.2570600991473153
2015-03-27,-2.098555327587034
2015-03-30,-1.960464445621148
2015-03-31,-2.0334857862837383
2015-04-01,-2.057527181517579
2015-04-02,-1.9477517919522072
2015-04-06,-1.819672053344241
2015-04-07,-1.7599955460523817
2015-04-08,-1.6621298229528936
2015-04-09,-1.6107825157768745
2015-04-10,-1.5502619500165167
2015-04-13,-1.5066542334915538
2015-04-14,-1.4770071083152525
2015-04-15,-1.4152822237396305
2015-04-16,-1.4137041597549422
2015-04-17,-1.3568599929488867
2015-04-20,-1.7365935267871335
2015-04-21,-1.8191792234854656
2015-04-22,-1.7112835473947143
2015-04-23,-1.6394366792180688
2015-04-24,-1.5569928318345765
2015-04-27,-1.5054882034374977
2015-04-28,-1.5137175178832782
2015-04-29,-1.4473618484223003
2015-04-30,-1.4610789588772566
2015-05-01,-1.7995729329233998
2015-05-04,-1.9086476193417725
2015-05-05,-1.783214751605533
2015-05-06,-2.043627452686717
2015-05-07,-1.9397434072840858
2015-05-08,-1.828570049365234
2015-05-11,-1.97073713880643
2015-05-12,-1.8732157125475832
2015-05-13,-1.7778116790958385
2015-05-14,-1.6640541620302673
2015-05-15,-1.8156324239670458
2015-05-18,-1.6966974286917542
2015-05-19,-1.6201678829530362
2015-05-20,-1.535579013140065
2015-05-21,-1.4605706804082732
2015-05-22,-1.4002225393673997
2015-05-26,-1.3554656265233733
2015-05-27,-1.6113215366443572
2015-05-28,-1.7568624096465082
2015-05-29,-1.6555212318864339
2015-06-01,-1.6573822512435092
2015-06-02,-1.56247650815417
2015-06-03,-1.4893808312283343
2015-06-04,-1.4303314076925515
2015-06-05,-1.5590827897643278
2015-06-08,-1.4818360837859061
2015-06-09,-1.565593395088534
2015-06-10,-1.488033990548476
2015-06-11,-1.6856334271625806
2015-06-12,-1.5897942922262085
2015-06-15,-1.6206073877620477
2015-06-16,-1.5886038014100095
2015-06-17,-1.5506579646996448
2015-06-18,-1.47586833067255
2015-06-19,-1.6419847477350125
2015-06-22,-1.6092178981043967
2015-06-23,-1.5894148658307083
2015-06-24,-1.5073829649725858
2015-06-25,-1.577231659047902
2015-06-26,-1.520512109715704
2015-06-29,-1.491898784813847
2015-06-30,-2.338102892475019
2015-07-01,-2.175339463270095
2015-07-02,-2.0666629611779768
2015-07-06,-1.9272008189372822
2015-07-07,-1.837424228791812
2015-07-08,-1.7569141645144035
2015-07-09,-2.176794985614045
2015-07-10,-2.0274798209518203
2015-07-13,-2.1456253565345964
2015-07-14,-2.2070543605099706
2015-07-15,-2.0810570293404833
2015-07-16,-1.943192061091085
2015-07-17,-1.9603480842707393
2015-07-20,-1.877211714523898
2015-07-21,-1.7643887856728402
2015-07-22,-1.6989011230364104
2015-07-23,-1.662002718691856
2015-07-24,-1.648964892344612
2015-07-27,-1.8171753685432104
2015-07-28,-1.8272097336396054
2015-07-29,-1.914579568757598
2015-07-30,-1.8466254157444424
2015-07-31,-1.7360572564460377
2015-08-03,-1.6453571959760986
2015-08-04,-1.5780234945679412
2015-08-05,-1.5136688805218448
2015-08-06,-1.479055376510149
2015-08-07,-1.7374342513090402
2015-08-10,-1.6609648376495156
2015-08-11,-1.8276855336089426
2015-08-12,-1.9526846994931049
2015-08-13,-1.8231168619149825
2015-08-14,-1.7216760103509972
2015-08-17,-1.6395718502162864
2015-08-18,-1.6217203160819578
2015-08-19,-1.5885495698980825
2015-08-20,-1.6658519748062628
2015-08-21,-2.5631539632478653
2015-08-24,-3.7607218714677133
2015-08-25,-4.920417284727453
2015-08-26,-4.5136490257871715
2015-08-27,-5.322842884996178
2015-08-28,-5.174796272591919
2015-08-31,-4.615565220163408
2015-09-01,-4.221870233307724
2015-09-02,-4.649228674673497
2015-09-03,-4.519363410056113
2015-09-04,-4.047523062179138
2015-09-08,-3.842997059547819
2015-09-09,-4.089708356666803
2015-09-10,-3.858661890665595
2015-09-11,-3.496160950199211
2015-09-14,-3.1521925448918173
2015-09-15,-2.864001035051623
2015-09-16,-2.773582825442999
2015-09-17,-2.5703617047438496
2015-09-18,-2.33599898205881
2015-09-21,-2.5690701841807257
2015-09-22,-2.34415672121606
2015-09-23,-2.4763547200307987
2015-09-24,-2.268952442309305
2015-09-25,-2.1042101404527678
2015-09-28,-2.0224175833278655
2015-09-29,-3.1145726000005554
2015-09-30,-2.8496969120922486
2015-10-01,-3.097022937938904
2015-10-02,-2.8150533605325125
2015-10-05,-2.8623049736376296
2015-10-06,-2.9590333675669385
2015-10-07,-2.7372854602097827
2015-10-08,-2.5796348554460153
2015-10-09,-2.422688939363634
2015-10-12,-2.225357287636228
