,Copula-MSM plackett
2014-05-21,-1.2843657680711589
2014-05-22,-1.3138665279006347
2014-05-23,-1.2431397773484496
2014-05-27,-1.2250573460593908
2014-05-28,-1.280882377187861
2014-05-29,-1.2138046717876334
2014-05-30,-1.1879706378715544
2014-06-02,-1.1330775484501434
2014-06-03,-1.0819305537684365
2014-06-04,-1.0326407931599966
2014-06-05,-0.9928932488317471
2014-06-06,-1.0917147162075138
2014-06-09,-1.0771220469520355
2014-06-10,-1.0303129842071597
2014-06-11,-0.980216967847645
2014-06-12,-0.9585543895510782
2014-06-13,-1.0547815817630326
2014-06-16,-1.004175544899587
2014-06-17,-0.9563246948721247
2014-06-18,-1.0229963151461594
2014-06-19,-1.0694843254723734
2014-06-20,-1.0276032140612048
2014-06-23,-1.0099893557953652
2014-06-24,-0.8362930696835053
2014-06-25,-1.0320473348939359
2014-06-26,-1.0499619323110922
2014-06-27,-0.8633217868906737
2014-06-30,-0.8441560838307226
2014-07-01,-0.8112556761475582
2014-07-02,-1.0819090674225853
2014-07-03,-1.01577010030357
2014-07-07,-1.0448911049647596
2014-07-08,-0.9868227084432987
2014-07-09,-1.2396195275300372
2014-07-10,-1.197863946252809
2014-07-11,-1.1817416184778238
2014-07-14,-1.1186675989366313
2014-07-15,-1.1118252883178037
2014-07-16,-1.0473372746875302
2014-07-17,-1.062904718841669
2014-07-18,-1.2430289355820852
2014-07-21,-1.4440318419845688
2014-07-22,-1.2837437835708565
2014-07-23,-1.2936434558854575
2014-07-24,-1.1631273191837097
2014-07-25,-1.0826026076839703
2014-07-28,-1.0850903520635407
2014-07-29,-1.0119090262874968
2014-07-30,-1.0489927231435108
2014-07-31,-1.0209969696125827
2014-08-01,-1.5287617454163198
2014-08-04,-1.4257380600114393
2014-08-05,-1.406341664371255
2014-08-06,-1.4492329374902437
2014-08-07,-1.3284721708582903
2014-08-08,-1.3065379618882742
2014-08-11,-1.3591058128048175
2014-08-12,-1.2946038849856323
2014-08-13,-1.206818759138518
2014-08-14,-1.2412623495800157
2014-08-15,-1.165352840346524
2014-08-18,-1.1018589743607397
