,Historical,Variance-Covariance,RiskMetrics,CCC-GARCH,Copula-GARCH Student,Copula-MSM Student
2014-05-22,-3.0801747476922774,-2.4759809796029604,-1.7741464241460865,-1.7715523410863068,-1.773234375461208,-2.168994211291726
2014-05-23,-3.0801747476922774,-2.47525473423351,-1.7346257789335393,-1.7072719892697343,-1.7088932067896676,-2.0458325979463305
2014-05-27,-3.0801747476922774,-2.4751518709525318,-1.7149804143051397,-1.6731603841286944,-1.6747447722668547,-2.01817659162183
2014-05-28,-3.0801747476922774,-2.474713031041875,-1.741224406154288,-1.715473034727064,-1.7170880146218197,-2.1009645625280307
2014-05-29,-3.0801747476922774,-2.4713040952828185,-1.691923899478101,-1.6526429235897044,-1.6542229402535895,-1.9898264552849536
2014-05-30,-3.0801747476922774,-2.470483066890824,-1.6687364003199796,-1.617327317296462,-1.6188884631438347,-1.9484476708116905
2014-06-02,-3.0801747476922774,-2.4700295122229528,-1.6179862472813702,-1.5584431496100708,-1.559914038731814,-1.8620983449267112
2014-06-03,-3.0801747476922774,-2.469844619946006,-1.568774349905814,-1.5003900225143547,-1.5018267205306948,-1.7813865828472404
2014-06-04,-3.0801747476922774,-2.4701400053150824,-1.5213154454588709,-1.448806992631173,-1.4502083421853462,-1.7086110787624085
2014-06-05,-3.0801747476922774,-2.4653487639155376,-1.4849378029137272,-1.4064019298397317,-1.407789747477976,-1.6478699863597537
2014-06-06,-3.0801747476922774,-2.465415891195471,-1.5184241665211995,-1.475125379274109,-1.4765684064563025,-1.798690773272297
2014-06-09,-3.0801747476922774,-2.464807317694385,-1.5020219653422182,-1.4607472512656792,-1.4621943077886044,-1.778873848820843
2014-06-10,-3.0801747476922774,-2.464813068321509,-1.4615690918625612,-1.413500999895945,-1.4149152866870167,-1.7042714317387215
2014-06-11,-3.0801747476922774,-2.4636632460086503,-1.4170511174996268,-1.367648833061608,-1.3690397436952109,-1.6276046667574853
2014-06-12,-3.0801747476922774,-2.4641666384997287,-1.381083081335694,-1.358585604641702,-1.359986089220024,-1.5964650256629818
2014-06-13,-3.0801747476922774,-2.465166496432862,-1.4061124938127652,-1.4705652741115482,-1.4720668035373896,-1.7547483382535556
2014-06-16,-3.0801747476922774,-2.463309520572839,-1.3745084449246103,-1.4258168377243816,-1.4272927273811868,-1.6744231770256597
2014-06-17,-3.0801747476922774,-2.463422773872357,-1.3358638329920212,-1.3785007126286453,-1.379921553108114,-1.5923299814891068
2014-06-18,-3.0801747476922774,-2.4634667300036583,-1.3060172019960778,-1.3433406937865564,-1.3447330583213664,-1.7275121292034843
2014-06-19,-3.0801747476922774,-2.4633751756337645,-1.3239977584306346,-1.3838215895040096,-1.3852369061464622,-1.815283914885493
2014-06-20,-3.0801747476922774,-2.463510705594488,-1.283733856552792,-1.3425077539798262,-1.3438785906588062,-1.7434013197922855
2014-06-23,-3.0801747476922774,-2.4625745534322894,-1.249141984585182,-1.30211867298246,-1.3034453059741222,-1.706403506261249
2014-06-24,-3.0801747476922774,-2.462726539141605,-1.2110881538597125,-1.2668817552707865,-1.2681728852086254,-1.401401744249159
2014-06-25,-3.0801747476922774,-2.4609524124833744,-1.2128440140977008,-1.3323321815147346,-1.3336670456035415,-1.7551591279480054
2014-06-26,-3.0801747476922774,-2.4607274293238963,-1.221638441910535,-1.3445569070245038,-1.3459157626906104,-1.7887581015894938
2014-06-27,-3.0801747476922774,-2.460727029243584,-1.1850391466163055,-1.3097468730735222,-1.3110754092011037,-1.445314090258314
2014-06-30,-3.0801747476922774,-2.4607680629633224,-1.1624876525846803,-1.2827193057068726,-1.2840221528621727,-1.4107882594852796
2014-07-01,-3.0801747476922774,-2.46093512350772,-1.1284500285659538,-1.2496975796167318,-1.250972741240223,-1.3578208812377264
2014-07-02,-3.0801747476922774,-2.461066015132122,-1.2087899497127974,-1.3692327718229715,-1.3705955254568911,-1.8482036611132164
2014-07-03,-3.0801747476922774,-2.4611876285202823,-1.1720361724699793,-1.3235530919691678,-1.324870287238106,-1.7399113914490183
2014-07-07,-3.0801747476922774,-2.4607947620852006,-1.1847877272176548,-1.3352925892858896,-1.336619910920217,-1.7847681557396056
2014-07-08,-3.0801747476922774,-2.4617542176224734,-1.1955270192259664,-1.3944509534698295,-1.395799911806736,-1.6371214368230311
2014-07-09,-3.0801747476922774,-2.461878163287408,-1.3000079173926526,-1.6017793887990135,-1.6032515159152858,-2.123466807244006
2014-07-10,-3.0801747476922774,-2.4606545375625237,-1.2980465895059436,-1.571583678502054,-1.573053736460077,-2.062192766121882
2014-07-11,-3.0801747476922774,-2.4614517740126503,-1.286208051980219,-1.5616180377315096,-1.563092310765966,-2.0340836647641747
2014-07-14,-3.0801747476922774,-2.461092566943841,-1.2581076393165287,-1.5024875725248643,-1.503904217147303,-1.9225685335140588
2014-07-15,-3.0801747476922774,-2.460982819672516,-1.2556736654562697,-1.4778285684625572,-1.4792367488078473,-1.9048550590679307
2014-07-16,-3.0801747476922774,-2.461726084967635,-1.2353503675591264,-1.4637998821592566,-1.4651667752312616,-1.7153097056031437
2014-07-17,-3.0801747476922774,-2.4614947019748663,-1.2113433136494227,-1.4222740473067446,-1.4235899403457262,-1.811842153579728
2014-07-18,-3.0801747476922774,-2.4620874361787464,-1.3905478224427608,-1.7351666879203826,-1.7367320054879345,-2.0511827138358045
2014-07-21,-3.0801747476922774,-2.4624604332116227,-1.5360338105640974,-1.8846195578869067,-1.8862685708629827,-2.4381445259136854
2014-07-22,-3.0801747476922774,-2.462908694674148,-1.4936057636248148,-1.798205333577184,-1.799772596121452,-2.129830751813745
2014-07-23,-3.0801747476922774,-2.4602187316396336,-1.48829378327702,-1.7491649025846978,-1.7506793225382062,-2.224955848134226
2014-07-24,-3.0801747476922774,-2.4596515767123077,-1.452105481242116,-1.6706272590303568,-1.6720605088584175,-1.9305181745803637
2014-07-25,-3.0801747476922774,-2.457211516085412,-1.407873559106813,-1.594729787130781,-1.5960897507626404,-1.7949387630538882
2014-07-28,-3.0801747476922774,-2.4542519981012663,-1.393916122817045,-1.5894178405636123,-1.5908080560194933,-1.7985341188241648
2014-07-29,-3.0801747476922774,-2.4460381246943528,-1.3516241280187218,-1.5259238523028564,-1.5272788860678663,-1.6827217123699163
2014-07-30,-3.0801747476922774,-2.446578466197047,-1.3182781783331066,-1.4976561908379695,-1.49899450844702,-1.7937656925177166
2014-07-31,-3.0801747476922774,-2.445903555306744,-1.2848125503575816,-1.4483106859279058,-1.4496003021032855,-1.74095596329853
2014-08-01,-3.0801747476922774,-2.4522435989132845,-1.7133887648231545,-2.1440632481432838,-2.1457925870469188,-2.473914668349759
2014-08-04,-3.0801747476922774,-2.448839355328399,-1.672422400520223,-2.0428299643186327,-2.0445536726603954,-2.342299263024768
2014-08-05,-3.0801747476922774,-2.445976705628529,-1.671998368525277,-1.9850627949284472,-1.9867479777616917,-2.314906572370031
2014-08-06,-3.0801747476922774,-2.4472170436174143,-1.6905836966986918,-2.0082005481823195,-2.009902971349271,-2.3612338122214758
2014-08-07,-3.0801747476922774,-2.4471480728891337,-1.639149496121759,-1.9003380482208536,-1.9019577041847533,-2.201871383659153
2014-08-08,-3.0801747476922774,-2.4475845959529745,-1.6155344442829984,-1.859097070856228,-1.860704277070988,-2.1644076564109325
2014-08-11,-3.0143361361698195,-2.435300487869457,-1.6640393379358995,-1.8906566618249627,-1.8922565997440413,-2.2169813195668584
2014-08-12,-3.0143361361698195,-2.435301540170069,-1.6368151004947822,-1.8227219285614191,-1.8242729972631293,-2.135723219356437
2014-08-13,-3.0143361361698195,-2.434162865907318,-1.5918646232976,-1.749207342125641,-1.7506904964089771,-2.015397408474514
2014-08-14,-3.0143361361698195,-2.433781503023217,-1.616381218336045,-1.7576407090574862,-1.759135127878213,-1.9916943545373484
2014-08-15,-3.0143361361698195,-2.433319842570373,-1.5861051894654998,-1.6931933124353935,-1.6946323275276798,-1.8989104265086527
2014-08-18,-3.0143361361698195,-2.4330635215521967,-1.5395887607187797,-1.6215360029533503,-1.622917304940629,-1.8930713089374005
2014-08-19,-3.0143361361698195,-2.4329549665121726,-1.5798590096646226,-1.6621341723430056,-1.6635643091885115,-1.88052446067717
2014-08-20,-3.0143361361698195,-2.4318584084678423,-1.5541794206318054,-1.6160124838633512,-1.617457939196946,-2.037048014954314
2014-08-21,-3.0143361361698195,-2.432014350466637,-1.5081926097727414,-1.5520068431078804,-1.5533778696343352,-1.814140188867807
2014-08-22,-3.0143361361698195,-2.4320813791102944,-1.4671037590770142,-1.494949965336965,-1.4962566893704798,-1.725531267140734
2014-08-25,-3.0143361361698195,-2.4322425587069705,-1.422503382390805,-1.4457109361702878,-1.4469743875750678,-1.6671168783221566
2014-08-26,-3.0143361361698195,-2.431890854104592,-1.4023384620887374,-1.416916146735642,-1.4181548092969265,-1.64688045044568
2014-08-27,-3.0143361361698195,-2.4289917511723567,-1.364296844891694,-1.3681144172029034,-1.369310840587343,-1.6164356451997686
2014-08-28,-3.0143361361698195,-2.429043992479182,-1.3227440727826465,-1.327430822309753,-1.3285956339657476,-1.576598983916196
2014-08-29,-3.0143361361698195,-2.429141940172337,-1.2882955331172334,-1.3072911353646328,-1.3084445473047444,-1.5737640293153732
2014-09-02,-3.0143361361698195,-2.429030570806848,-1.2709989275995917,-1.2900518257412832,-1.2911986591076283,-1.3008875972285423
2014-09-03,-3.0143361361698195,-2.4285753090352697,-1.2359934449881038,-1.2643066287249076,-1.2654773699020374,-1.6173395109454898
