,Copula-MSM student
2014-10-14,-3.2563142046136537
2014-10-15,-3.003146203181928
2014-10-16,-2.795458612383783
2014-10-17,-2.6198075783410815
2014-10-20,-2.672640373737506
2014-10-21,-2.737071047677849
2014-10-22,-3.0739211559186512
2014-10-23,-2.8472322713775866
2014-10-24,-2.8809221531598883
2014-10-27,-2.7451069436271314
2014-10-28,-2.563503120308614
2014-10-29,-2.842031087342
2014-10-30,-2.697710747769706
2014-10-31,-2.6167082264642834
2014-11-03,-2.702803776232532
2014-11-04,-2.5924134504403935
2014-11-05,-2.369618591672708
2014-11-06,-2.256551040672695
2014-11-07,-2.2844169394614786
2014-11-10,-2.0810625872925814
2014-11-11,-1.9590054581542935
2014-11-12,-1.8320225860128097
2014-11-13,-1.762104169775442
2014-11-14,-1.6991195917569548
2014-11-17,-1.4221319501850127
2014-11-18,-1.3292566662502285
2014-11-19,-1.7136795044565174
2014-11-20,-1.519820217997614
2014-11-21,-1.6029872145216717
2014-11-24,-1.7080087829201356
2014-11-25,-1.7585025890239563
2014-11-26,-1.6959640681927195
2014-11-28,-1.7040693450717324
2014-12-01,-1.40159317814504
2014-12-02,-1.9608289239700298
2014-12-03,-1.9409944341518044
2014-12-04,-1.7799353018945125
2014-12-05,-1.7339163954013899
2014-12-08,-1.6745937036964615
2014-12-09,-1.8583148932568496
2014-12-10,-1.7765606232489166
2014-12-11,-2.436255042038862
2014-12-12,-2.261849914306841
2014-12-15,-2.5944424193777196
2014-12-16,-2.6088253434575432
2014-12-17,-2.686722726467115
2014-12-18,-2.867277451238851
2014-12-19,-2.9386119228303116
2014-12-22,-2.8183822566802874
2014-12-23,-2.717607368009439
2014-12-24,-2.582765911132412
2014-12-26,-2.3137443144032286
2014-12-29,-2.3202411289212
2014-12-30,-2.120535062605857
2014-12-31,-2.1359480766608274
2015-01-02,-2.2329335740437104
2015-01-05,-2.147940912203495
2015-01-06,-2.666598380533549
2015-01-07,-2.7043010197280166
2015-01-08,-2.7359759396457854
2015-01-09,-2.822111202482251
2015-01-12,-2.800276414465481
2015-01-13,-2.7701377554963855
2015-01-14,-2.640551317265512
2015-01-15,-2.4877293203000383
2015-01-16,-2.724873696243389
2015-01-20,-2.784715897309207
2015-01-21,-2.6236187741873103
2015-01-22,-2.5369486269534773
2015-01-23,-2.7598009876909066
2015-01-26,-2.6290859933893502
2015-01-27,-2.502359624557917
2015-01-28,-2.7701682098639577
2015-01-29,-2.785722199595223
2015-01-30,-2.6242449256685725
2015-02-02,-2.6645649868696255
2015-02-03,-2.652593940516596
2015-02-04,-2.685555292639751
2015-02-05,-2.561650197870863
2015-02-06,-2.5813080974597553
2015-02-09,-2.4984111075025046
2015-02-10,-2.3006664353492217
2015-02-11,-2.532053488155514
2015-02-12,-2.408972183878794
2015-02-13,-2.4920618393529965
2015-02-17,-2.411752478512658
2015-02-18,-2.265702625449393
2015-02-19,-2.0927491516788383
2015-02-20,-1.935742844688026
2015-02-23,-1.9187574666089788
2015-02-24,-1.7648777286401203
2015-02-25,-1.6563487202371028
2015-02-26,-1.5819115862482411
2015-02-27,-1.5481224531951552
2015-03-02,-1.577523079224303
2015-03-03,-1.6870213911248042
2015-03-04,-1.71592566786739
2015-03-05,-1.6117167927114353
2015-03-06,-1.5276724267931532
2015-03-09,-2.1476963976965706
2015-03-10,-2.0299474378743945
2015-03-11,-2.445232238656174
2015-03-12,-2.292865367489167
2015-03-13,-2.3548736044465954
2015-03-16,-2.289995398867883
2015-03-17,-2.415467538317041
2015-03-18,-2.279861040070189
2015-03-19,-2.3507875870869506
2015-03-20,-2.231054053552106
2015-03-23,-2.181403439304553
2015-03-24,-2.1311295774331107
2015-03-25,-2.0855026652494164
2015-03-26,-2.5861945804609183
2015-03-27,-2.4543919486214887
2015-03-30,-2.3636482355929584
2015-03-31,-2.4752288854826645
2015-04-01,-2.4000407396613337
2015-04-02,-2.422305636506195
2015-04-06,-2.2414340393106347
2015-04-07,-2.154253823207921
2015-04-08,-2.1317881967200094
2015-04-09,-2.077084709475878
2015-04-10,-1.8612467664334331
2015-04-13,-1.7804493486396522
2015-04-14,-1.701473273207293
2015-04-15,-1.6123222686266556
2015-04-16,-1.626145189922468
2015-04-17,-1.539091686027891
2015-04-20,-2.174650587007442
2015-04-21,-2.2859153554351663
2015-04-22,-2.166896173480919
2015-04-23,-2.034405194422105
2015-04-24,-1.895518967563158
2015-04-27,-1.826054081705487
2015-04-28,-1.829680154270233
2015-04-29,-1.70955708626692
2015-04-30,-1.7372128943320224
2015-05-01,-2.13118270024452
2015-05-04,-2.3264169607541607
2015-05-05,-2.2282029552645333
2015-05-06,-2.4977918695573993
2015-05-07,-2.3454230620143983
2015-05-08,-2.258350783783336
2015-05-11,-2.3692328490757633
2015-05-12,-2.312251764773728
2015-05-13,-2.28845116157265
2015-05-14,-2.0754562389124485
2015-05-15,-2.247794922515466
2015-05-18,-2.1426588633764934
2015-05-19,-2.109334887355306
2015-05-20,-1.9438233246481158
2015-05-21,-1.7871304677171107
2015-05-22,-1.6881427101741078
2015-05-26,-1.6117047639667335
2015-05-27,-1.99797210760758
2015-05-28,-2.2183605811312614
2015-05-29,-2.0749291598402255
2015-06-01,-2.0460349292363804
2015-06-02,-1.8860257596262733
2015-06-03,-1.7506244030936131
2015-06-04,-1.6721105337039053
2015-06-05,-1.8847792407558026
2015-06-08,-1.7488742884001236
2015-06-09,-1.88193089617844
2015-06-10,-1.7396360635574841
2015-06-11,-2.036887124105308
2015-06-12,-1.8782048563071538
2015-06-15,-1.9859537237120424
2015-06-16,-1.9239973763261655
2015-06-17,-1.7957694090089338
2015-06-18,-1.7437206142312816
2015-06-19,-1.9426550988871083
2015-06-22,-1.9507883595588773
2015-06-23,-1.861968242292871
2015-06-24,-1.7898132613457374
2015-06-25,-1.9040124846593365
2015-06-26,-1.7948994862724663
2015-06-29,-1.7543030837590428
2015-06-30,-2.622427270403149
2015-07-01,-2.4938649449214805
2015-07-02,-2.4269101159497524
2015-07-06,-2.2959168360454014
2015-07-07,-2.1837801872601768
2015-07-08,-2.0121506314618043
2015-07-09,-2.5240308051040174
2015-07-10,-2.362547886301126
2015-07-13,-2.53369598774433
2015-07-14,-2.589355215697692
2015-07-15,-2.5071805807941288
2015-07-16,-2.3933202387131605
2015-07-17,-2.448486478611606
2015-07-20,-2.3907403033768984
2015-07-21,-2.218427108305328
2015-07-22,-2.121043090994639
2015-07-23,-2.0740731321570522
2015-07-24,-2.0578832313074797
2015-07-27,-2.3228588727516533
2015-07-28,-2.338845062365515
2015-07-29,-2.4474508424650057
2015-07-30,-2.3818566637969507
2015-07-31,-2.1385482448246873
2015-08-03,-2.017602360119946
2015-08-04,-1.9155565159790007
2015-08-05,-1.877242173919308
2015-08-06,-1.7603545480923537
2015-08-07,-2.001294318980588
2015-08-10,-1.998947677631454
2015-08-11,-2.2948169293622747
2015-08-12,-2.433563946610071
2015-08-13,-2.286686695928842
2015-08-14,-2.0547097354267736
2015-08-17,-1.9585156477825607
2015-08-18,-1.9520020845031227
2015-08-19,-1.8954252443003357
2015-08-20,-2.020998624942321
2015-08-21,-2.779475717560521
2015-08-24,-3.6278547791519564
2015-08-25,-4.476059263302348
2015-08-26,-4.118661005179779
2015-08-27,-4.820236687077964
2015-08-28,-4.8403512553633785
2015-08-31,-4.449044446364171
2015-09-01,-4.20215411855532
2015-09-02,-4.594503938191824
