,Historical,Variance-Covariance,RiskMetrics,CCC-GARCH,Copula-GARCH Student,Copula-MSM Student
2013-12-20,-1.8239569256713264,-1.770890217945225,-1.1068797799392585,-1.1923777346488966,-1.192382546481795,-1.2081691315250105
2013-12-23,-1.8239569256713264,-1.770891866764924,-1.1218315319122545,-1.2033414713186736,-1.2033518309619675,-1.252938191779355
2013-12-24,-1.7964181884225194,-1.7604625644955498,-1.134438463579478,-1.2059885363254297,-1.2060142430373146,-1.2723830854849365
2013-12-26,-1.7964181884225194,-1.7603505125670331,-1.1035783849042264,-1.153595602823857,-1.1536178890333817,-1.1776731542396337
2013-12-27,-1.7964181884225194,-1.760357567454767,-1.0807448213514983,-1.1153823488258865,-1.1154030119204392,-1.1304121275106258
2013-12-30,-1.7964181884225194,-1.759689364132505,-1.049427386807387,-1.0802768635380533,-1.0802922472417675,-1.0847660314522394
2013-12-31,-1.7964181884225194,-1.7598670306607564,-1.0175710787911976,-1.040155497523822,-1.04017276118866,-1.0451972473904394
2014-01-02,-1.7964181884225194,-1.7599050436819703,-1.0043049890395106,-1.0180547151290316,-1.0180741442497705,-1.047546687604847
2014-01-03,-1.7964181884225194,-1.7602471982686176,-1.0319097412113714,-1.0996961819538686,-1.0997149389961007,-1.1545565651405654
2014-01-06,-1.7964181884225194,-1.7607314654757384,-1.0023342326491322,-1.0646803087897665,-1.0646996744227746,-1.0895515266449012
2014-01-07,-1.7863824034000686,-1.753167721238303,-0.981794850853852,-1.0492435690101696,-1.0492671180756106,-1.0725569512964412
2014-01-08,-1.7863824034000686,-1.752676244038131,-1.0025457248857426,-1.0677306363088668,-1.0677561002208866,-1.1198404424422783
2014-01-09,-1.77439363978817,-1.747391706384161,-0.973611685311405,-1.028797400893217,-1.0288212132192296,-1.065389494551065
2014-01-10,-1.77439363978817,-1.7474355909936623,-0.9447400930069246,-0.99791092466144,-0.9979317142573894,-1.035860300359278
2014-01-13,-1.77439363978817,-1.7474322417165664,-0.9259701793627204,-0.970688632177039,-0.9707095431924128,-1.0223525421989297
2014-01-14,-1.77439363978817,-1.749899002065201,-1.05457104888107,-1.2122223495365478,-1.2122465091007475,-1.2500526237632414
2014-01-15,-1.77439363978817,-1.7486133343261336,-1.163536698848978,-1.3286821883327995,-1.3286934744475185,-1.426137287214382
2014-01-16,-1.77439363978817,-1.7485637860047765,-1.1569197658814072,-1.2923653245632991,-1.2923836194421363,-1.367300078980256
2014-01-17,-1.77439363978817,-1.745004961921751,-1.1217110688607603,-1.2333107800139582,-1.233362310062431,-1.2547485446830675
2014-01-21,-1.77439363978817,-1.7458683234396934,-1.102282438511691,-1.209640294541591,-1.2096898144211312,-1.2330993588218653
2014-01-22,-1.77439363978817,-1.7455801172671384,-1.085564185862646,-1.171279948997947,-1.1713245910751475,-1.1918421965333548
2014-01-23,-1.77439363978817,-1.745622254408964,-1.0566472278504648,-1.1248155024008613,-1.124854440886652,-1.1296942015048277
2014-01-24,-1.77439363978817,-1.7469438913546862,-1.0660106936940326,-1.1692130968024503,-1.169251661068351,-1.2020573620010608
2014-01-27,-1.7863824034000686,-1.7522182212392996,-1.3463739564035344,-1.6191074488098938,-1.6191605864612215,-1.6960002127869451
2014-01-28,-1.7863824034000686,-1.7519761214216625,-1.3433226825846778,-1.6026602619895582,-1.6027636473475233,-1.6396853887377747
2014-01-29,-1.7863824034000686,-1.7516258946627845,-1.3167681296572384,-1.5228520096573557,-1.522944180248187,-1.5665780185831746
2014-01-30,-1.7863824034000686,-1.753602346228951,-1.3493015900814376,-1.562732657923389,-1.5628198622085985,-1.647486417866562
2014-01-31,-1.7863824034000686,-1.7536428749323458,-1.4306454030337876,-1.632010721906952,-1.6320967201941694,-1.7199650256661874
2014-02-03,-1.7863824034000686,-1.7538566134854547,-1.4051834200600102,-1.574550257059493,-1.574626649917694,-1.6579082627096144
2014-02-04,-1.7964181884225194,-1.7605456430087283,-1.6882746048159438,-2.0138958869065844,-2.0139969038711047,-1.8674281797360264
2014-02-05,-1.7964181884225194,-1.760090745885255,-1.6691445978172257,-1.9171228450514424,-1.9172135643424937,-1.773400173260904
2014-02-06,-1.7964181884225194,-1.760441855914027,-1.624421244675646,-1.810504326454926,-1.8105954210700157,-1.691433909081218
2014-02-07,-1.7964181884225194,-1.7604091035320693,-1.6454719954595438,-1.793773496966072,-1.793854603064348,-1.730949615427784
2014-02-10,-1.7964181884225194,-1.7596405797517998,-1.7060900474858878,-1.8367054956395956,-1.836787171870875,-1.7882753965764235
2014-02-11,-1.7964181884225194,-1.7582335845784332,-1.6600489015490203,-1.7268907912387177,-1.7269629295884603,-1.6803054725366782
2014-02-12,-1.7964181884225194,-1.758054962415667,-1.6656186676879727,-1.701712987954485,-1.7017807677276091,-1.705894215476011
2014-02-13,-1.7964181884225194,-1.7575169234600212,-1.6154693851679414,-1.598953792251816,-1.5990118404822975,-1.6240248772082373
2014-02-14,-1.7964181884225194,-1.7550562698860783,-1.5956097977196682,-1.5435633847870218,-1.5436142831281254,-1.5861327483169287
2014-02-18,-1.7964181884225194,-1.7549742975164304,-1.5510905592808888,-1.4638451209346586,-1.4638852714627228,-1.487583506848463
2014-02-19,-1.7964181884225194,-1.7550379795280435,-1.5122601120292964,-1.394689978368182,-1.3947262708665262,-1.390760581912979
2014-02-20,-1.7964181884225194,-1.754427294739704,-1.4959206162122751,-1.38948614165466,-1.389517551891637,-1.4210792958873253
2014-02-21,-1.7863824034000686,-1.7470226886589608,-1.4737088473462263,-1.3446359491035749,-1.3447044588990569,-1.4073493339519458
2014-02-24,-1.7863824034000686,-1.7474111499662122,-1.4300002618778174,-1.2821419716503386,-1.2822096931903193,-1.2965975046254892
2014-02-25,-1.7863824034000686,-1.7474133895857646,-1.4112429599711624,-1.2519518181141167,-1.2520144787045984,-1.288730562793629
2014-02-26,-1.7863824034000686,-1.7478324662474285,-1.3692550379938229,-1.1974388225305266,-1.1974987725581987,-1.1950986953102964
2014-02-27,-1.7863824034000686,-1.7474914725366566,-1.327714962746687,-1.143615039585339,-1.1436878248442104,-1.119242943830019
2014-02-28,-1.7863824034000686,-1.7470594384704736,-1.3068106741105674,-1.1186729040437022,-1.1187391832995568,-1.1201661108835104
2014-03-03,-1.7863824034000686,-1.747259213345029,-1.2670118697079755,-1.079874575420896,-1.079931673008082,-1.083992339961557
2014-03-04,-1.7863824034000686,-1.748320017342454,-1.2630662005758482,-1.1262346395932286,-1.126289073286359,-1.136045997546026
2014-03-05,-1.7863824034000686,-1.748680383718689,-1.3882350065769125,-1.3430588606401608,-1.3431176833897551,-1.4556922993268424
2014-03-06,-1.7863824034000686,-1.7485451503470857,-1.3462081832781714,-1.2720350609265658,-1.272090313746198,-1.315981230025219
2014-03-07,-1.7863824034000686,-1.7471419342460637,-1.305219224550595,-1.2109575269624069,-1.2110062891370053,-1.2114340193510147
2014-03-10,-1.77439363978817,-1.74226784065053,-1.2670212950867437,-1.1630876844635791,-1.1631602939381325,-1.1489321828238084
2014-03-11,-1.77439363978817,-1.7420778698549664,-1.2285482128142795,-1.11280764914806,-1.112875189869343,-1.0856228268671015
2014-03-12,-1.77439363978817,-1.7431857116575902,-1.2130751299689349,-1.123445074912484,-1.1235112992359115,-1.1130822695819027
2014-03-13,-1.77439363978817,-1.7429302246393723,-1.178940054634963,-1.0797252122538403,-1.0797995196712853,-1.0592819618567366
2014-03-14,-1.77439363978817,-1.7456790523356265,-1.2609366229987156,-1.2800830152820506,-1.2801651773758116,-1.3187217589236913
2014-03-17,-1.77439363978817,-1.7463661548078966,-1.2292136445123008,-1.23544856758426,-1.2355290264739942,-1.2450450771859598
2014-03-18,-1.77439363978817,-1.7462948807607936,-1.2438105049705737,-1.2511952425268609,-1.2512760953655369,-1.3027636888373146
2014-03-19,-1.77439363978817,-1.7458418769434774,-1.2688146483207208,-1.277238420512352,-1.277312742896624,-1.3526893086776235
2014-03-20,-1.77439363978817,-1.7469952351304467,-1.2540844042411314,-1.269177069287897,-1.2692452170471178,-1.345981551961353
2014-03-21,-1.77439363978817,-1.7469869058875778,-1.228540195284045,-1.2246080176527934,-1.2246651259581662,-1.293953056978311
2014-03-24,-1.77439363978817,-1.7478359294234616,-1.2188136764826587,-1.2364598308547832,-1.2365223233372888,-1.288803887165489
2014-03-25,-1.77439363978817,-1.7487464362119025,-1.2288126251965423,-1.2768627812151363,-1.2769159567659978,-1.379326425981209
2014-03-26,-1.77439363978817,-1.7487251448512215,-1.198027493288896,-1.2223869515463182,-1.222429176481465,-1.286295494036723
