,Historical,Variance-Covariance,RiskMetrics,CCC-GARCH,Copula-GARCH Student,Copula-GARCH Gaussian,Copula-GARCH Plackett,Copula-GARCH Clayton,Copula-GARCH Rotated Clayton,Copula-GARCH SJC,Copula-GARCH Frank,Copula-GARCH Gumbel,Copula-GARCH Rotated Gumbel,Copula-MSM Student,Copula-MSM Gaussian
2014-01-22,-3.0801747476922774,-2.495814988057854,-1.5353341443499444,-1.6981775778829225,-1.699835165800534,-1.6982043897219012,-1.6536560665355384,-1.7152039262051306,-1.4751305158714112,-1.7059813971554123,-1.597815716962926,-1.6639530088671066,-1.712702955451228,-2.050159234855456,-2.0448955935459336
2014-01-23,-3.0801747476922774,-2.495533812132215,-1.4944363387986723,-1.6322768767784994,-1.6338541669645803,-1.6322991145060606,-1.5892637600167607,-1.6487087217191805,-1.4173746088321812,-1.6400652001298066,-1.544659461425063,-1.5992096747882885,-1.6462895017212655,-1.9402566005707185,-1.935377826105641
2014-01-24,-3.0801747476922774,-2.497003976962201,-1.507679267228243,-1.6945118031865305,-1.6961310325703889,-1.694533373633804,-1.6495071034560562,-1.7116833489675347,-1.4696681259370965,-1.7023578650750513,-1.5903413408797158,-1.6599394258503664,-1.709161622591053,-2.0660139920794367,-2.060635389505911
2014-01-27,-3.0801747476922774,-2.503594842254792,-1.9042023799700225,-2.329965878381687,-2.3321221048592986,-2.329998531416692,-2.269051423630199,-2.353072433085296,-2.024680869105619,-2.3399341706653205,-2.205274133169258,-2.283307248782108,-2.3496760158186465,-2.7488283213657003,-2.74046271523498
2014-01-28,-3.0801747476922774,-2.502102923781968,-1.8998869051792535,-2.305959488092028,-2.308159047093834,-2.306066550406762,-2.245677011192048,-2.3290206687545383,-2.004280110263065,-2.3162097318633528,-2.1659764986997625,-2.259676090086844,-2.325650590547073,-2.683249398874869,-2.6736914533895613
2014-01-29,-3.0801747476922774,-2.501798703868112,-1.862330294222116,-2.1930758180102985,-2.19512683314276,-2.193166289758328,-2.1356294169017387,-2.2149437984466616,-1.9055820596210689,-2.202595271768783,-1.976207222763084,-2.1490342323832667,-2.2117432215171147,-2.5950150991186685,-2.586763915824354
2014-01-30,-3.0801747476922774,-2.5041260620155548,-1.908342988149963,-2.249087471872214,-2.251187572062092,-2.249168331657412,-2.190393319759462,-2.271443400996941,-1.9546237856822075,-2.2589762234692508,-2.129026617461084,-2.204009062072612,-2.2681697334486914,-2.684740213991036,-2.6761257074669857
2014-01-31,-3.0801747476922774,-2.5046851625650373,-2.023389095127152,-2.3474850241111564,-2.349634001181308,-2.347557421258654,-2.2866113373747603,-2.370628124081029,-2.041892694434549,-2.357593206066196,-2.2082039354127003,-2.3006806701333167,-2.3672374820711157,-2.77469911166428,-2.766672518377588
2014-02-03,-3.0801747476922774,-2.5049388731944786,-1.987377726705456,-2.2660937656912976,-2.2681592900522123,-2.266155314740986,-2.207054725899429,-2.288490037143087,-1.970198095787764,-2.2760413382510114,-2.131230520906614,-2.2207558596368133,-2.285207055528554,-2.702815673002142,-2.694778189677522
2014-02-04,-3.0801747476922774,-2.513127296427405,-2.387758991655604,-2.8869502991683653,-2.889627176825364,-2.8870306379512893,-2.8125531566674256,-2.915178513340924,-2.513020545920834,-2.8994739754995806,-2.7144761147095244,-2.8298632401186623,-2.9110367714699947,-2.998912318894252,-2.9914857728423274
2014-02-05,-3.0801747476922774,-2.5128199304497545,-2.360703057691233,-2.7501378197359245,-2.7527194279121576,-2.750201234394496,-2.679442056225924,-2.7770249111521355,-2.3936737968399555,-2.761535709216896,-2.588122311052634,-2.6957950351723103,-2.773086586794744,-2.8774014823493737,-2.8697611815326947
2014-02-06,-3.0801747476922774,-2.512635247193251,-2.2974499658682728,-2.5988308651685315,-2.6012533232677577,-2.59890150609393,-2.531858143249355,-2.6242904304924037,-2.261685098838212,-2.610055399318042,-2.4609522620935818,-2.5473530576914536,-2.6205564396001426,-2.763595537417884,-2.755810313825757
2014-02-07,-3.0801747476922774,-2.512941330008498,-2.327222444422396,-2.5753866500384555,-2.5777859343562097,-2.5754427297296547,-2.508868939349514,-2.600658328845143,-2.240374099623869,-2.586850774654447,-2.4384324500489964,-2.5242377901353863,-2.596951734505482,-2.805156989455663,-2.79740357038055
2014-02-10,-3.0801747476922774,-2.5126219451598404,-2.4129557122033973,-2.6365831973180884,-2.6390736331535734,-2.636630702805285,-2.568837811381071,-2.6623504987302686,-2.294393607950101,-2.64797965986626,-2.493630723706732,-2.58443646190395,-2.658573728057836,-2.886593866441925,-2.8788752945633123
2014-02-11,-3.0801747476922774,-2.5110450676438782,-2.347838840882059,-2.481483985435013,-2.483835771741768,-2.4815211005195543,-2.417681258400392,-2.505768656976098,-2.1590283425946004,-2.492570471911615,-2.349456425519465,-2.43232651864426,-2.502207443076345,-2.7499852481726004,-2.742081560656569
2014-02-12,-3.0801747476922774,-2.5106883998624894,-2.3557162674226024,-2.445843161309545,-2.448145881198407,-2.445876281651385,-2.3827144898319057,-2.469836484839756,-2.1271514187451914,-2.4564490505013623,-2.2917506539748045,-2.397218115103367,-2.4663151497503883,-2.7734911908979973,-2.7656268165025275
2014-02-13,-3.0801747476922774,-2.510101458392679,-2.2847891801343723,-2.300666012314202,-2.3028228333959047,-2.300689753519665,-2.241034837008119,-2.323298240587513,-2.000258177716863,-2.310537469534043,-2.1778207152278326,-2.254782407945763,-2.319975389667729,-2.6199194613884838,-2.614395138895257
2014-02-14,-3.0801747476922774,-2.5073372768431,-2.2567013866173014,-2.2227342490453426,-2.224808613267799,-2.2227504952295107,-2.1650400229687663,-2.2446165002653813,-1.932493713988979,-2.232309191878712,-2.1040334197190638,-2.178364077005929,-2.241403065070916,-2.569831245186032,-2.564360790546919
2014-02-18,-3.0801747476922774,-2.5068474990164797,-2.193736978113719,-2.1098788640565664,-2.111815875878671,-2.1098877495698307,-2.05478044688949,-2.130736671498878,-1.8334765557359336,-2.118737472615702,-1.996978340112052,-2.067538105601638,-2.1276666451271766,-2.439700259122939,-2.4344391803244942
2014-02-19,-3.0801747476922774,-2.5068600080918726,-2.138818335547804,-2.012231279589341,-2.0140714897420384,-2.012238293041956,-1.9595758957102796,-2.032199960886724,-1.748372197538325,-2.020804803444632,-1.8894706312113876,-1.971718569522493,-2.029256821676042,-2.309204444495969,-2.3041979882943537
2014-02-20,-3.0801747476922774,-2.5061015747913813,-2.1157090748002227,-2.0047676210613314,-2.0066003317008305,-2.00476687566722,-1.9523971602001329,-2.024646228198655,-1.741938139708801,-2.0133089964724435,-1.897560652420173,-1.9644056777689272,-2.021716695809362,-2.3448875280431167,-2.3397976346349685
2014-02-21,-3.0801747476922774,-2.496823856114351,-2.0842945462163103,-1.9425959216711424,-1.9444007891037731,-1.942646902357048,-1.8917418052373265,-1.961949556479808,-1.6872350421304805,-1.951086478442817,-1.8384326991190505,-1.903441771841924,-1.9591038245699264,-2.398243982287244,-2.390922536678801
2014-02-24,-3.0801747476922774,-2.4969007002224624,-2.022476659678759,-1.8538873969657472,-1.855639670199696,-1.8539373484455672,-1.80533539427835,-1.8723988731106616,-1.609815820928889,-1.8620586015992704,-1.740011510678002,-1.8164996648216276,-1.8696761771899404,-2.241202074756657,-2.2347495892360763
2014-02-25,-3.0801747476922774,-2.4968938747101763,-1.995947849638584,-1.811248549544175,-1.812966505288189,-1.8112921902655428,-1.7637321639608197,-1.829369389062851,-1.5723955557338587,-1.819372459955007,-1.7137943608726551,-1.7746556570598375,-1.8267048396027463,-2.225944711731439,-2.2195766350811423
2014-02-26,-3.0801747476922774,-2.497056077677452,-1.9365635303126072,-1.733876802094,-1.7355188196140885,-1.733916110113086,-1.6883103946307414,-1.751276894559714,-1.5046888408584085,-1.7414996952013808,-1.6404463928659234,-1.6987263163696045,-1.7487154159194207,-2.0711380371905035,-2.065880988826085
2014-02-27,-3.0801747476922774,-2.495968056293413,-1.8778126091636085,-1.6572624482611693,-1.6588131083128348,-1.6573200038224802,-1.613720512668802,-1.6739336828166833,-1.4380273342521623,-1.664412528124403,-1.5554975491748502,-1.623692067798849,-1.671482739503796,-1.9281773967362392,-1.923834779006048
2014-02-28,-3.0801747476922774,-2.495597376690964,-1.8482472748200875,-1.62232711715399,-1.623867892977798,-1.62237494429271,-1.5796664019277489,-1.638673213280765,-1.4074383454378931,-1.6293152205884447,-1.5346815975638055,-1.5894202956484953,-1.6362733379865173,-1.9222002992384528,-1.9179444557056036
2014-03-03,-3.0801747476922774,-2.4957852621410104,-1.7919590662559417,-1.567471226734886,-1.568981883409848,-1.5675109728202414,-1.5260220121803998,-1.583376437947364,-1.3593755991705352,-1.5745184677328896,-1.48280923060539,-1.5354923269466878,-1.5810406958723355,-1.8485271430504029,-1.8444660066677687
2014-03-04,-3.0801747476922774,-2.4970154279665184,-1.7863786311054863,-1.6326255071534228,-1.6342072102335783,-1.6326607024931312,-1.5894130578539216,-1.6491905687636257,-1.4156553713808164,-1.6400700341880905,-1.544430815098261,-1.5992810818669416,-1.646758012365217,-1.875269386099614,-1.871613649843687
