,Copula-MSM gaussian
2014-03-19,-2.2232754683144775
2014-03-20,-2.1990701924797165
2014-03-21,-2.2257494252788717
2014-03-24,-2.111799344269881
2014-03-25,-2.313449056561746
2014-03-26,-2.185239745714523
2014-03-27,-2.3939021007590386
2014-03-28,-2.1643477913562164
2014-03-31,-2.0690309898527106
2014-04-01,-2.1486032720953423
2014-04-02,-2.2920128656548657
2014-04-03,-2.1624765893524445
2014-04-04,-2.118767214895609
2014-04-07,-2.636221751561511
2014-04-08,-2.7681452479665056
2014-04-09,-2.6109947059217182
2014-04-10,-2.770103910824463
2014-04-11,-3.4023441838316737
2014-04-14,-3.160127083448053
2014-04-15,-3.0156935269261447
2014-04-16,-2.834734140736948
2014-04-17,-2.8952577503521315
2014-04-21,-2.6898232070423242
2014-04-22,-2.643783099206438
2014-04-23,-2.5640232172593387
2014-04-24,-2.470403936092836
2014-04-25,-2.3288708270251752
2014-04-28,-2.588735010740607
2014-04-29,-2.415975898832476
2014-04-30,-2.357533462101201
2014-05-01,-2.2291155908134233
2014-05-02,-2.08075013639353
2014-05-05,-1.9804225768371557
2014-05-06,-1.8857509411917284
2014-05-07,-2.2185044638803584
2014-05-08,-2.0902677236531373
2014-05-09,-1.991005619069848
2014-05-12,-1.8893109891179085
2014-05-13,-2.231700078319724
2014-05-14,-2.1027759421421477
2014-05-15,-2.1015849780218656
2014-05-16,-2.2165018438857
2014-05-19,-2.111010342840663
2014-05-20,-2.063899366055086
2014-05-21,-2.113171805968871
2014-05-22,-2.164821925832194
2014-05-23,-2.04207933851259
2014-05-27,-2.0147400965789237
2014-05-28,-2.0972886215229116
2014-05-29,-1.9865412616578204
2014-05-30,-1.9449170285099708
2014-06-02,-1.8590583523878008
2014-06-03,-1.7783872974819348
2014-06-04,-1.70554761615158
2014-06-05,-1.6449388815459267
2014-06-06,-1.7956991207399808
2014-06-09,-1.7757188568004623
2014-06-10,-1.7012466691870225
2014-06-11,-1.6246354628875734
2014-06-12,-1.5936223692805132
2014-06-13,-1.7516722297966085
2014-06-16,-1.6714177300747421
2014-06-17,-1.5894854172772592
2014-06-18,-1.7233968104212118
2014-06-19,-1.8111778181865554
2014-06-20,-1.7393405561443898
2014-06-23,-1.702386198952837
2014-06-24,-1.3989996776254228
2014-06-25,-1.7511354978923448
2014-06-26,-1.784665284629266
2014-06-27,-1.4429664198404475
2014-06-30,-1.4084935620076215
2014-07-01,-1.355590603696852
2014-07-02,-1.84399446126075
2014-07-03,-1.735793296187299
2014-07-07,-1.7807000505841424
2014-07-08,-1.634287550323921
2014-07-09,-2.11803737680645
2014-07-10,-2.056723134329245
2014-07-11,-2.0288756319456716
2014-07-14,-1.918069499900256
2014-07-15,-1.900571164249006
2014-07-16,-1.7124684766995515
2014-07-17,-1.8078360728265712
2014-07-18,-2.0473692092822375
2014-07-21,-2.4304193998914694
2014-07-22,-2.1256302407903136
2014-07-23,-2.21837969738745
2014-07-24,-1.9271559800067153
2014-07-25,-1.7918875398872325
2014-07-28,-1.7955176372900965
2014-07-29,-1.6799002916890016
2014-07-30,-1.789805191400191
2014-07-31,-1.7369809571981194
2014-08-01,-2.468337772126934
2014-08-04,-2.336954543963511
2014-08-05,-2.3096242288871753
2014-08-06,-2.355824856054147
2014-08-07,-2.1966632707361806
2014-08-08,-2.159690299056802
2014-08-11,-2.212435730440152
2014-08-12,-2.1313556957315165
2014-08-13,-2.011311823920618
2014-08-14,-1.9877291904266114
2014-08-15,-1.8949840096218682
2014-08-18,-1.8885013937363557
2014-08-19,-1.8765611065803152
2014-08-20,-2.031259337177976
2014-08-21,-1.8100705562407045
2014-08-22,-1.7219455109719861
2014-08-25,-1.6638260523069206
2014-08-26,-1.644197227031141
2014-08-27,-1.613512944644399
2014-08-28,-1.5738175162305608
2014-08-29,-1.570979166044632
2014-09-02,-1.2987827358056225
2014-09-03,-1.6131550896322377
2014-09-04,-1.6383589485910797
2014-09-05,-1.3512428450267069
2014-09-08,-1.6381271128158599
2014-09-09,-1.3573103370203077
2014-09-10,-1.8110243885599115
2014-09-11,-1.5779866219133811
2014-09-12,-1.6981060219485422
2014-09-15,-1.5659204621739438
2014-09-16,-1.8698404570284666
2014-09-17,-1.9402120762901192
2014-09-18,-1.8142884216107658
2014-09-19,-1.8286129950446461
2014-09-22,-1.747777447578419
2014-09-23,-2.0195961608017114
2014-09-24,-1.9971081722294561
2014-09-25,-2.0755945806735476
2014-09-26,-2.5470931154075784
2014-09-29,-2.512468082019384
2014-09-30,-2.3921043275230582
2014-10-01,-2.2900265564923092
2014-10-02,-2.422116130148795
2014-10-03,-2.2928840828729444
2014-10-06,-2.330461877612102
2014-10-07,-2.2332645171562358
2014-10-08,-2.465484188219573
2014-10-09,-2.754831646220919
2014-10-10,-2.994044872399034
2014-10-13,-3.165111439865829
2014-10-14,-3.2490807855386654
2014-10-15,-2.9959429279537133
2014-10-16,-2.786519803395783
2014-10-17,-2.612479340078658
2014-10-20,-2.66484224702299
2014-10-21,-2.7300706231413203
2014-10-22,-3.0665363827456185
2014-10-23,-2.842353075320106
2014-10-24,-2.8760427982523136
2014-10-27,-2.740035898651579
2014-10-28,-2.5573981257013143
2014-10-29,-2.8333812374953182
2014-10-30,-2.689118649988945
2014-10-31,-2.6080551095177156
2014-11-03,-2.6954500798829413
2014-11-04,-2.5835677188831694
2014-11-05,-2.3633451087183386
2014-11-06,-2.2501874866107956
2014-11-07,-2.276686281061822
2014-11-10,-2.0748166326211837
2014-11-11,-1.953864532088424
